name,playerid
차영화,10005
황태환,10082
황기선,10182
조창수,20002
김광현,20003
김재호,20007
김상수,20006
우용득,20001
김현수,20010
손아섭,20016
박병호,20014
나성범,20011
심창민,20018
민병헌,20013
오재원,20022
양의지,20020
이대은,20024
우규민,20023
이용규,20026
이대호,20025
정근우,20031
장원준,20030
이현승,20028
이태양,20027
정대현,20032
임창민,20029
조무근,20034
정우람,20033
조상우,20035
구리엘,20041
차우찬,20036
구리엘,20042
황재균,20040
허경민,20038
가르시아,20044
구리엘,20043
레이에스,20048
그라시알,20046
곤잘레스,20045
데스파이그네,20047
마르티네스,20050
마르티네스,20049
만둘레이,20051
마예타,20052
몬티에트,20056
바스케스,20057
모레혼,20054
멘도사,20053
베탄쿠르트,20058
보로토,20059
모이넬로,20055
알라르콘,20062
알바레스,20063
산토야,20061
에르난데스,20064
크루스,20067
토레스,20068
예라,20065
카노,20066
강민호,20069
마에다,20071
니시,20075
마키타,20072
마츠이,20074
노리모토,20076
마스이,20073
오노,20077
오타니,20078
오가와,20083
다케다,20081
스가노,20080
야마자키,20082
사와무라,20079
시마,20085
나카무라,20084
스미타니,20086
나카무라,20089
가와바타,20087
야마다,20093
나카타,20091
나카시마,20090
사카모토,20092
마츠다,20088
아키야마,20094
히라타,20095
나카무라,20097
배럿,20099
처치,20100
콜먼,20101
이마미야,20098
츠츠고,20096
데나토,20102
이브랜드,20103
포사이스,20104
래피,20106
그루브,20105
세고비아,20109
시먼스,20110
스프루일,20111
파운더스,20107
새터와이트,20108
바스케스,20112
윌커슨,20114
웬델켄,20113
모린,20115
롤핑,20116
댄블랙,20117
마틴,20119
패스토니키,20120
프레이저,20118
필립스,20126
메이,20124
아이브너,20123
카브레라,20127
소토,20122
아라우호,20128
스클라파니,20121
맥브라이드,20125
데폴라,20130
크루스,20129
페르민,20131
마테오,20132
페레스,20135
파잠프스,20134
로드리게스,20136
모리요,20133
시렛트,20138
소리아노,20139
메르세데스,20140
올리보,20141
디아스,20143
베테미트,20142
론돈,20137
펠리스,20144
펠리스,20145
갈베스,20146
에르난데스,20151
칼데론,20150
페레스,20152
루나,20147
라미레스,20153
로드리게스,20148
따바레스,20154
루이스,20149
알파로,20155
카라바요,20157
게라,20162
까레뇨,20158
가르시아,20161
카스테야노,20159
차베스,20160
바사르도,20156
파울리노,20168
에르난데스,20163
모나스테리오,20165
마르티네스,20164
니에베,20166
팔렌시아,20167
아포다카,20169
하스페,20170
호세,20171
히메네스,20172
올메도,20174
페티트,20176
카라바요,20177
오수나,20175
마르티네스,20173
디아스,20178
란다에타,20179
마르티네스,20180
칼데라,20184
베르나르디노,20183
가르시아,20186
리베라,20181
시비라,20182
가르시아,20187
마초로,20188
카리요,20185
페나,20190
마드리갈,20189
로드리게스,20191
코레아,20196
비라몬테스,20195
산체스,20193
세라노,20194
로모,20192
가르시아,20197
소사,20198
아베나,20200
사발라,20199
메드라노,20203
플로레스,20201
마시아스,20202
토레스,20205
페나,20204
드라케,20206
로페스,20207
로페스,20208
라헤라,20211
토레스,20210
페레스,20209
강백호,21002
구자욱,21000
강민호,21001
고우석,21004
고영표,21003
김민우,21005
박건우,21008
양의지,21012
오재일,21013
박해민,21011
김진욱,21009
김혜성,21007
박세웅,21010
김현수,21006
오지환,21014
이의리,21016
최주환,21021
차우찬,21019
이정후,21017
조상우,21018
최원준,21020
원태인,21015
오승환,21022
황재균,21024
김현수,21025
민병헌,21026
이정후,21028
허경민,21023
J.톨스,21030
J.가이어,21029
박건우,21027
S.스트리트,21031
T.애서튼,21032
D.루직,21036
P.모이란,21035
S.켄트,21034
T.반스틴셀,21038
R.설,21037
D.슈미트,21033
L.윌킨스,21039
L.웨이드,21046
S.홀란드,21041
A.디산미구엘,21044
R.펄킨스,21043
J.케네디,21040
R.바타글리아,21042
D.서덜랜드,21045
R.글랜디닝,21047
M.닐슨,21050
L.휴즈,21051
D.조지,21048
A.캠벨,21053
D.칸딜라스,21054
A.화이트필드,21055
W.두톤,21052
T.단토니오,21049
J.라카,21057
B.다익손,21058
B.마크런드,21059
D.레오,21061
C.르루,21060
D.몰리켄,21062
D.프로코피오,21063
T.케넬리,21056
E.러스키,21064
P.오몽트,21065
S.리치몬드,21067
W.맥카퍼,21069
R.자스트리즈니,21066
K.디글랜,21071
D.홀,21070
S.메티슨,21068
A.예지,21072
C.르블랑,21073
W.다빌,21075
D.오리몰로예,21078
C.판나스,21079
E.우드,21076
J.레너튼,21077
D.폼페이,21080
G.모건,21081
J.말로,21074
M.사운더스,21082
R.토소니,21083
T.폼페이,21084
L.모이넬로,21088
L.블랑코,21089
C.비에라,21086
A.로드리게즈,21085
F.알바레즈,21087
R.마르티네즈,21090
V.가르시아,21091
B.바노스,21092
Y.커슨,21096
Y.로드리게즈,21093
Y.아이바라,21099
A.마르티네즈,21098
Y.예라,21095
F.마단,21097
Y.로드리게즈,21094
Y.알라콘,21100
E.아루에바레나,21101
C.프리에토,21102
W.사베드라,21107
R.곤잘레즈,21104
P.퀘사다,21103
A.아얄라,21108
Y.그라시엘,21105
Y.사몬,21106
A.데스파이네,21109
A.플로레스,21113
F.세페다,21110
A.산티아고,21114
R.산토스,21112
Y.구이베르트,21111
F.카브레라,21115
F.무니즈,21116
F.크루즈,21117
O.로만,21120
I.말도나도,21119
B.에스카니오,21118
L.신트론,21123
G.소토,21125
M.마르티네스,21122
E.네비스,21124
M.메히아,21121
K.토레스,21128
L.마테오,21129
W.로드리게스,21127
J.도밍게즈,21131
O.마르티네즈,21133
J.로페즈,21130
D.비달,21132
R.로사,21126
I.D.제수스,21137
J.발렌틴,21136
E.고메즈,21135
D.오티즈,21140
J.곤잘레스,21139
C.앤드류스,21141
A.가르시아,21138
Y.곤잘레스,21134
B.딕슨,21142
T.훅,21146
S.존스,21147
P.머피,21149
J.파이어라이젠,21144
C.폰스,21150
P.던쉬,21143
B.플린,21145
W.밀스,21148
C.티엘바,21154
T.거쉬,21156
B.파운더스,21151
N.송,21153
C.리차드,21152
E.크라츠,21157
D.틸로,21155
D.바쇼,21158
A.본,21164
J.크로넨워스,21161
R.달벡,21162
X.에드워즈,21163
J.아델,21165
M.페이튼,21166
A.봄,21159
C.채텀,21160
D.워터스,21168
B.루커,21167
센가,21169
오노,21173
야마사키,21174
이와자키,21172
아오야기,21171
"모리시타
",21175
다이라,21177
이토,21170
구리바야시,21176
우메노,21180
카이,21181
사카모토,21182
무라카미,21185
야마다,21184
기쿠치,21183
다나카,21178
야마모토,21179
겐다,21186
아사무라,21187
요시다,21190
구리하라,21192
슈토,21194
곤도,21191
야나기타,21189
스즈키,21188
곤도,21193
스즈키,21195
M.바레다,21197
J.크루즈,21201
C.부스타만테,21199
H.카스텔라노스,21200
요시다,21196
B.베르나르디노,21198
J.켈리,21203
F.곤잘레즈,21202
J.리오스,21206
E.베라,21208
N.살라스,21207
A.퀸타나,21204
H.라미레즈,21209
J.아라이자,21211
A.레예스,21205
R.버두고,21210
R.솔리스,21212
E.퀴로즈,21216
H.소사,21213
J.플로레스,21214
C.비야누에바,21219
J.바르가스,21218
J.살라자르,21217
E.나바로,21215
M.클라크,21220
J.요네스,21222
천관위,21228
J.페레즈,21223
천홍원,21227
P.에반스,21221
N.페리오,21224
챵이,21225
천위쉰,21226
쟝사오칭,21229
황즈펑,21231
린카이웨이,21234
라오이청,21233
린진지예,21232
왕쑹하오,21235
