,타자명,타수,득점,안타,타점,홈런,볼넷,삼진,타율,연도,월,일,소속팀,상대팀,경기장,matchid
0,이용규,3,1,1,0,0,0,0,0.304,2020,06,02,한화,키움,홈,20200602WOHH02020
1,김문호,1,0,0,0,0,0,1,0.238,2020,06,02,한화,키움,홈,20200602WOHH02020
2,정은원,4,0,2,1,0,0,0,0.288,2020,06,02,한화,키움,홈,20200602WOHH02020
3,호잉,4,1,0,0,0,0,1,0.213,2020,06,02,한화,키움,홈,20200602WOHH02020
4,최진행,4,0,1,1,0,0,1,0.167,2020,06,02,한화,키움,홈,20200602WOHH02020
5,이성열,3,0,0,0,0,0,1,0.242,2020,06,02,한화,키움,홈,20200602WOHH02020
6,김회성,1,0,0,0,0,0,1,0.200,2020,06,02,한화,키움,홈,20200602WOHH02020
7,정진호,2,0,1,0,0,0,0,0.287,2020,06,02,한화,키움,홈,20200602WOHH02020
8,장진혁,2,0,0,0,0,0,0,0.156,2020,06,02,한화,키움,홈,20200602WOHH02020
9,송광민,2,0,1,0,0,0,0,0.213,2020,06,02,한화,키움,홈,20200602WOHH02020
10,조한민,2,0,1,0,0,0,0,0.200,2020,06,02,한화,키움,홈,20200602WOHH02020
11,이해창,2,0,0,0,0,0,1,0.200,2020,06,02,한화,키움,홈,20200602WOHH02020
12,최재훈,1,0,0,0,0,0,0,0.206,2020,06,02,한화,키움,홈,20200602WOHH02020
13,노시환,3,1,1,0,0,0,1,0.217,2020,06,02,한화,키움,홈,20200602WOHH02020
14,김혜성,4,2,3,2,0,2,0,0.304,2020,06,02,한화,키움,원정,20200602WOHH02020
15,김하성,4,1,1,0,0,2,0,0.237,2020,06,02,한화,키움,원정,20200602WOHH02020
16,김주형,0,1,0,0,0,0,0,0.231,2020,06,02,한화,키움,원정,20200602WOHH02020
17,이정후,4,3,2,1,0,1,0,0.365,2020,06,02,한화,키움,원정,20200602WOHH02020
18,허정협,1,1,1,0,0,0,0,0.400,2020,06,02,한화,키움,원정,20200602WOHH02020
19,박병호,3,3,2,3,1,2,1,0.227,2020,06,02,한화,키움,원정,20200602WOHH02020
20,김성민,0,0,0,0,0,0,0,0.000,2020,06,02,한화,키움,원정,20200602WOHH02020
21,서건창,1,1,1,1,0,0,0,0.329,2020,06,02,한화,키움,원정,20200602WOHH02020
22,양현,0,0,0,0,0,0,0,0.000,2020,06,02,한화,키움,원정,20200602WOHH02020
23,박동원,4,0,1,1,0,0,0,0.342,2020,06,02,한화,키움,원정,20200602WOHH02020
24,이지영,1,0,0,1,0,0,0,0.361,2020,06,02,한화,키움,원정,20200602WOHH02020
25,김웅빈,5,2,2,4,1,0,3,0.333,2020,06,02,한화,키움,원정,20200602WOHH02020
26,전병우,5,0,4,2,0,1,1,0.333,2020,06,02,한화,키움,원정,20200602WOHH02020
27,김규민,5,1,0,0,0,1,0,0.205,2020,06,02,한화,키움,원정,20200602WOHH02020
28,박준태,2,0,0,0,0,1,2,0.196,2020,06,02,한화,키움,원정,20200602WOHH02020
29,박정음,1,0,0,0,0,0,0,0.091,2020,06,02,한화,키움,원정,20200602WOHH02020
