,월,일,원정,홈,원정점수,홈점수
37,3,23,한화,두산,4,5
38,3,23,KT,SK,4,7
39,3,23,LG,KIA,2,0
40,3,23,삼성,NC,0,7
41,3,23,키움,롯데,7,4
42,3,24,한화,두산,11,1
43,3,24,KT,SK,3,6
44,3,24,LG,KIA,9,3
45,3,24,삼성,NC,4,3
46,3,24,키움,롯데,2,6
47,3,26,한화,KIA,13,7
48,3,26,KT,NC,8,9
49,3,26,LG,SK,6,3
50,3,26,삼성,롯데,2,7
51,3,26,키움,두산,2,7
52,3,27,한화,KIA,4,9
53,3,27,KT,NC,1,4
54,3,27,LG,SK,1,2
55,3,27,삼성,롯데,23,4
56,3,27,키움,두산,2,3
57,3,28,한화,KIA,4,6
58,3,28,KT,NC,2,6
59,3,28,LG,SK,1,3
60,3,28,삼성,롯데,12,7
61,3,28,키움,두산,5,4
62,3,29,KIA,KT,3,6
63,3,29,롯데,LG,1,2
64,3,29,NC,한화,0,9
65,3,29,두산,삼성,3,2
66,3,29,SK,키움,5,2
67,3,30,KIA,KT,2,6
68,3,30,롯데,LG,7,1
69,3,30,NC,한화,5,13
70,3,30,두산,삼성,4,2
71,3,30,SK,키움,1,3
72,3,31,KIA,KT,4,2
73,3,31,롯데,LG,5,6
74,3,31,NC,한화,6,3
75,3,31,두산,삼성,9,4
76,3,31,SK,키움,8,7
77,4,2,KIA,삼성,4,1
78,4,2,KT,두산,0,9
79,4,2,LG,한화,2,6
80,4,2,롯데,SK,5,0
81,4,2,키움,NC,8,6
82,4,3,KIA,삼성,3,6
83,4,3,KT,두산,1,5
84,4,3,LG,한화,7,0
85,4,3,롯데,SK,3,1
86,4,3,키움,NC,1,9
87,4,4,KIA,삼성,7,12
88,4,4,KT,두산,4,5
89,4,4,LG,한화,1,2
90,4,4,롯데,SK,6,7
91,4,4,키움,NC,6,5
92,4,5,한화,롯데,2,5
93,4,5,LG,KT,13,0
94,4,5,NC,두산,7,3
95,4,5,삼성,SK,0,3
96,4,5,키움,KIA,4,6
97,4,6,한화,롯데,7,9
98,4,6,LG,KT,1,2
99,4,6,NC,두산,6,5
100,4,6,삼성,SK,1,2
101,4,6,키움,KIA,14,4
102,4,7,한화,롯데,16,1
103,4,7,LG,KT,3,4
104,4,7,NC,두산,5,3
105,4,7,삼성,SK,2,3
106,4,9,KT,키움,3,7
107,4,10,KT,키움,2,4
108,4,10,NC,KIA,1,2
109,4,10,두산,롯데,3,1
110,4,10,SK,한화,8,3
111,4,10,삼성,LG,6,5
112,4,11,KT,키움,8,1
113,4,11,NC,KIA,4,2
114,4,11,두산,롯데,5,1
115,4,11,SK,한화,1,0
116,4,11,삼성,LG,2,5
117,4,12,한화,키움,3,5
118,4,12,KIA,SK,4,4
119,4,12,KT,삼성,0,5
120,4,12,두산,LG,0,3
121,4,12,롯데,NC,1,2
122,4,13,한화,키움,3,5
123,4,13,KIA,SK,6,4
124,4,13,KT,삼성,5,3
125,4,13,롯데,NC,5,7
126,4,13,두산,LG,2,5
127,4,14,한화,키움,3,2
128,4,14,KIA,SK,4,2
129,4,14,KT,삼성,12,14
130,4,14,롯데,NC,1,8
131,4,14,두산,LG,8,0
132,4,16,한화,KT,2,4
133,4,16,KIA,롯데,9,10
134,4,16,LG,NC,7,2
135,4,16,SK,두산,3,8
136,4,16,키움,삼성,4,0
137,4,17,한화,KT,8,5
138,4,17,KIA,롯데,6,8
139,4,17,LG,NC,4,2
140,4,17,SK,두산,3,12
141,4,17,키움,삼성,5,3
142,4,18,한화,KT,5,6
143,4,18,KIA,롯데,9,10
144,4,18,LG,NC,6,1
145,4,18,SK,두산,4,3
146,4,18,키움,삼성,4,5
147,4,19,KT,롯데,6,5
148,4,19,NC,SK,14,11
149,4,19,두산,KIA,8,6
150,4,19,삼성,한화,3,4
151,4,19,키움,LG,13,3
152,4,20,KT,롯데,4,5
153,4,20,NC,SK,4,10
154,4,20,두산,KIA,10,1
155,4,20,삼성,한화,5,12
156,4,20,키움,LG,7,3
157,4,21,KT,롯데,6,3
158,4,21,NC,SK,1,4
159,4,21,두산,KIA,9,2
160,4,21,삼성,한화,16,0
161,4,21,키움,LG,3,5
162,4,23,KIA,LG,2,9
163,4,23,NC,KT,4,3
164,4,23,두산,키움,9,3
165,4,24,KIA,LG,3,10
166,4,24,롯데,한화,4,5
167,4,24,NC,KT,10,2
168,4,24,두산,키움,3,8
169,4,24,SK,삼성,9,8
170,4,25,두산,키움,6,9
171,4,25,SK,삼성,4,3
172,4,26,KIA,키움,4,8
173,4,26,롯데,두산,8,11
174,4,26,SK,KT,2,0
175,4,27,한화,NC,1,15
176,4,27,KIA,키움,6,4
177,4,27,LG,삼성,8,0
178,4,27,롯데,두산,0,7
179,4,27,SK,KT,2,1
180,4,28,한화,NC,4,10
181,4,28,KIA,키움,5,13
182,4,28,LG,삼성,2,1
183,4,28,롯데,두산,2,9
184,4,28,SK,KT,3,0
185,4,30,KT,LG,9,10
186,4,30,NC,롯데,1,6
187,4,30,두산,한화,1,2
188,4,30,삼성,KIA,0,8
189,4,30,키움,SK,15,5
190,5,1,KT,LG,2,3
191,5,1,NC,롯데,9,5
192,5,1,두산,한화,1,4
193,5,1,삼성,KIA,10,2
194,5,1,키움,SK,0,2
195,5,2,KT,LG,4,5
196,5,2,NC,롯데,7,6
197,5,2,두산,한화,5,4
198,5,2,삼성,KIA,1,8
199,5,2,키움,SK,10,8
200,5,3,KT,한화,5,4
201,5,3,LG,두산,2,7
202,5,3,SK,롯데,11,7
203,5,3,삼성,키움,3,8
204,5,3,KIA,NC,8,4
205,5,4,LG,두산,2,3
206,5,4,SK,롯데,10,4
207,5,4,삼성,키움,3,1
208,5,4,KIA,NC,1,4
209,5,4,KT,한화,9,10
