name,id,birthday,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
차영화,10005,1957-06-27,1982,해태,25,SS,76,323,282,46,73,9,1,1,87,12,32,10,31,3,0,20,3,5,2,0.259,0.337,0.309,0.645,0.305,82.5,1.63,
차영화,10005,1957-06-27,1983,해태,26,SS,82,252,229,20,61,6,2,1,74,23,16,11,13,2,0,17,3,5,3,0.266,0.308,0.323,0.631,0.291,81.5,1.01,
차영화,10005,1957-06-27,1984,해태,27,SS,69,185,162,16,33,3,1,0,38,12,11,6,15,1,0,24,2,6,1,0.204,0.274,0.235,0.508,0.241,43.4,-0.02,
차영화,10005,1957-06-27,1985,해태,28,SS,106,266,238,21,57,7,0,0,64,12,13,5,11,1,0,21,6,15,0,0.24,0.276,0.269,0.545,0.246,43.5,-0.0,
차영화,10005,1957-06-27,1986,해태,29,SS,85,192,176,18,35,4,0,0,39,3,3,5,9,1,0,9,5,6,0,0.199,0.242,0.222,0.464,0.22,30.8,-0.46,
차영화,10005,1957-06-27,1987,해태,30,2B,39,83,70,9,14,4,0,0,18,6,5,1,5,1,0,3,4,7,0,0.2,0.263,0.257,0.52,0.234,32.5,-0.14,
차영화,10005,1957-06-27,1988,해태,31,3B,54,85,70,6,15,0,0,0,15,5,0,3,6,2,0,6,1,6,1,0.214,0.291,0.214,0.505,0.235,37.2,-0.32,
차영화,10005,1957-06-27,1989,해태,32,2B,15,9,9,0,2,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0.222,0.222,0.222,0.444,0.215,21.3,-0.08,
우용득,20001,1950-02-13,1983,삼성,33,C,14,20,18,0,2,0,0,0,2,1,0,0,2,0,0,5,0,0,0,0.111,0.2,0.111,0.311,0.165,-5.6,-0.11,
손상대,30003,1954-10-20,1982,삼성,28,C,12,22,19,1,4,0,0,0,4,2,1,0,1,1,0,5,0,1,0,0.211,0.286,0.211,0.496,0.238,40.2,0.01,
손상대,30003,1954-10-20,1983,삼성,29,C,10,10,8,0,1,1,0,0,2,0,0,0,2,0,0,5,0,0,0,0.125,0.3,0.25,0.55,0.275,71.0,0.03,
손상대,30003,1954-10-20,1984,삼성,30,C,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667,0.316,97.2,0.02,
손상대,30003,1954-10-20,1985,삼성,31,C,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.01,
유지훤,30004,1955-10-04,1982,OB,27,SS,80,299,274,29,69,14,2,4,99,38,12,6,15,2,0,15,4,7,1,0.252,0.295,0.361,0.656,0.295,76.2,1.0,
유지훤,30004,1955-10-04,1983,OB,28,SS,87,282,250,24,53,8,1,0,63,18,3,5,11,4,0,17,8,16,1,0.212,0.256,0.252,0.508,0.229,37.8,-0.46,
유지훤,30004,1955-10-04,1984,OB,29,SS,63,142,130,13,27,1,0,3,37,20,2,3,4,3,0,13,6,4,1,0.208,0.246,0.285,0.531,0.245,47.5,-0.09,
유지훤,30004,1955-10-04,1985,OB,30,SS,107,356,321,32,67,9,4,3,93,35,5,9,21,3,0,34,9,8,3,0.209,0.262,0.29,0.551,0.256,51.3,-0.03,
유지훤,30004,1955-10-04,1986,OB,31,SS,100,367,330,31,89,8,2,2,107,37,8,2,17,8,1,27,7,11,0,0.27,0.321,0.324,0.645,0.301,89.8,2.03,
유지훤,30004,1955-10-04,1987,OB,32,SS,95,294,263,29,54,9,3,0,69,18,3,4,19,3,0,17,11,7,2,0.205,0.265,0.262,0.527,0.251,43.9,-0.18,
유지훤,30004,1955-10-04,1988,OB,33,SS,95,267,239,15,48,5,3,0,59,21,5,1,19,0,0,18,9,8,1,0.201,0.259,0.247,0.506,0.237,37.0,-0.27,
김인식,40006,1953-11-09,1982,MBC,29,2B,80,355,309,47,80,9,0,3,98,25,35,7,17,18,0,14,7,11,0,0.259,0.334,0.317,0.652,0.303,82.2,1.59,
김인식,40006,1953-11-09,1983,MBC,30,3B,100,416,380,48,100,16,2,1,123,30,14,10,11,13,0,18,0,11,0,0.263,0.307,0.324,0.631,0.291,80.1,1.32,
김인식,40006,1953-11-09,1984,MBC,31,DH,100,432,387,44,100,13,8,3,138,28,8,7,22,9,1,24,5,11,3,0.258,0.311,0.357,0.668,0.305,88.6,0.35,
김인식,40006,1953-11-09,1985,MBC,32,2B,110,454,404,48,111,14,0,2,131,16,17,11,30,8,1,22,8,11,1,0.275,0.336,0.324,0.661,0.309,87.9,1.77,
김인식,40006,1953-11-09,1986,MBC,33,3B,108,343,309,36,87,13,1,2,108,29,12,5,17,6,1,15,6,9,2,0.282,0.329,0.35,0.679,0.316,101.2,2.04,
김인식,40006,1953-11-09,1987,MBC,34,3B,108,309,288,24,62,1,0,0,63,19,7,3,7,3,0,15,11,10,1,0.215,0.241,0.219,0.46,0.218,19.9,-1.22,
김인식,40006,1953-11-09,1988,MBC,35,1B,57,100,90,13,13,1,0,0,14,6,6,3,3,3,0,2,1,4,0,0.144,0.198,0.156,0.354,0.171,-9.3,-1.0,
천보성,40002,1953-06-11,1982,삼성,29,2B,36,104,90,13,24,6,0,0,30,10,2,0,10,1,0,9,2,1,1,0.267,0.343,0.333,0.677,0.315,89.6,0.45,
천보성,40002,1953-06-11,1983,삼성,30,2B,71,199,174,23,43,8,1,6,71,25,3,1,16,1,0,17,2,7,1,0.247,0.313,0.408,0.721,0.321,103.1,1.21,
천보성,40002,1953-06-11,1984,삼성,31,2B,64,208,180,20,39,8,0,2,53,20,5,4,21,0,0,15,3,7,0,0.217,0.299,0.294,0.593,0.276,69.3,0.32,
최정우,40003,1955-06-02,1982,MBC,27,CF,31,65,56,6,12,0,0,0,12,4,3,2,7,0,0,12,1,1,0,0.214,0.302,0.214,0.516,0.251,48.8,-0.09,
최정우,40003,1955-06-02,1983,MBC,28,CF,46,76,71,10,12,2,1,0,16,4,2,0,5,0,0,13,2,0,0,0.169,0.224,0.225,0.449,0.216,24.0,-0.2,
최정우,40003,1955-06-02,1984,MBC,29,CF,28,15,14,5,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0.0,0.067,0.0,0.067,0.047,-108.6,-0.26,
박종훈,40007,1959-06-12,1983,OB,24,CF,97,427,375,53,117,19,6,3,157,24,7,6,38,3,3,28,3,8,3,0.312,0.377,0.419,0.796,0.361,131.4,4.35,
박종훈,40007,1959-06-12,1984,OB,25,CF,99,315,271,35,83,11,2,7,119,37,9,5,26,5,0,18,5,10,3,0.306,0.374,0.439,0.813,0.366,133.0,3.23,
박종훈,40007,1959-06-12,1985,OB,26,DH,101,395,348,48,119,19,4,6,164,51,17,8,29,4,1,16,2,9,5,0.342,0.394,0.471,0.865,0.39,145.3,3.18,
박종훈,40007,1959-06-12,1986,OB,27,DH,92,372,320,47,83,11,2,6,116,28,12,8,35,5,0,20,2,11,1,0.259,0.341,0.363,0.703,0.328,110.5,1.3,
박종훈,40007,1959-06-12,1987,OB,28,LF,80,294,264,33,75,10,1,6,105,34,5,3,22,0,0,15,4,5,3,0.284,0.336,0.398,0.733,0.341,109.4,1.42,
박종훈,40007,1959-06-12,1988,OB,29,DH,103,381,336,34,88,11,1,3,110,36,11,5,33,1,3,20,6,9,2,0.262,0.328,0.327,0.655,0.302,82.6,0.02,
박종훈,40007,1959-06-12,1989,OB,30,CF,107,334,295,31,75,13,1,1,93,21,10,5,30,3,1,28,6,5,1,0.254,0.328,0.315,0.644,0.309,87.0,1.31,
문상준,50007,2001-03-14,2022,KT,21,SS,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.0,0.439,171.0,0.04,0.07
문상준,50007,2001-03-14,2023,KT,22,2B,2,5,5,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.2,0.2,0.2,0.4,0.191,-5.2,-0.05,-0.04
천성호,50054,1997-10-30,2020,KT,23,2B,66,77,69,9,14,3,0,0,17,1,1,1,7,1,0,15,0,0,0,0.203,0.286,0.246,0.532,0.261,44.2,-0.25,-0.41
천성호,50054,1997-10-30,2021,KT,24,2B,41,47,42,13,12,1,0,0,13,4,1,0,3,2,0,9,0,0,0,0.286,0.362,0.31,0.671,0.332,92.1,0.19,0.25
