연도,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문,타자_타율,타자_타석,타자_타수,타자_득점,타자_안타,타자_2루타,타자_3루타,타자_홈런,타자_루타,타자_타점,타자_희생번트,타자_희생플라이,타자_볼넷,타자_고의4구,타자_사구,타자_삼진,타자_병살타,타자_장타율,타자_출루율,타자_출루율+장타율(OPS),타자_멀티히트,타자_득점권타율,타자_대타타율,투수_평균자책점,투수_승리,투수_패배,투수_세이브,투수_홀드,투수_승률,투수_이닝,투수_피안타,투수_피홈런,투수_볼넷,투수_사구,투수_삼진,투수_실점,투수_자책점,투수_이닝당 출루허용률,투수_완투,투수_완봉,투수_퀄리티스타트,투수_블론세이브,투수_타자수,투수_투구수,투수_피안타율,투수_피2루타,투수_피3루타,투수_희생번트,투수_희생플라이,투수_고의4구,투수_폭투,투수_보크,수비_실책,수비_견제사,수비_풋아웃,수비_어시스트,수비_병살,수비_수비율,수비_포일,수비_도루허용,수비_도루실패,수비_도루저지율,주루_도루시도,주루_도루성공,주루_도루실패,주루_도루성공률,주루_주루사,주루_견제사
2023,1,LG,144,86,56,2,0.606,0.0,5승0무5패,1승,45-1-25,41-1-31,0.279,5687,4881,767,1364,227,27,93,1924,714,94,55,583,16,73,804,89,0.394,0.361,0.755,144,0.298,0.217,3.67,86,56,37,92,0.606,1293 1/3,1266,74,491,76,977,610,527,1.36,0,9,50,18,5619,21814,0.256,215,17,64,42,15,47,5,128,8,3880,1341,131,0.976,10,115,30,20.7,267,166,101,62.2,78,15
2023,2,KT,144,79,62,3,0.56,6.5,6승0무4패,3승,41-2-30,38-1-32,0.265,5649,4973,672,1316,235,14,89,1846,621,57,47,524,13,48,1074,96,0.371,0.338,0.709,143,0.276,0.244,3.94,79,62,39,61,0.56,1287,1326,83,413,50,968,616,564,1.35,0,12,64,14,5542,20672,0.268,213,22,81,54,22,63,4,99,16,3861,1354,117,0.981,3,111,23,17.2,117,87,30,74.4,54,5
2023,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33,0.26,5630,4923,658,1279,229,16,125,1915,611,77,45,507,21,78,943,89,0.389,0.336,0.725,142,0.254,0.206,4.37,76,65,46,71,0.539,1288 1/3,1354,104,612,67,974,698,626,1.53,1,7,57,21,5722,22881,0.275,216,14,59,52,20,61,3,119,15,3865,1503,163,0.978,11,127,56,30.6,124,96,28,77.4,43,10
2023,4,NC,144,75,67,2,0.528,11.0,5승0무5패,2패,41-1-29,34-1-38,0.27,5606,4895,679,1321,223,28,98,1894,642,63,55,493,10,100,1005,122,0.387,0.345,0.732,143,0.268,0.147,3.83,75,67,33,88,0.528,1281 1/3,1160,99,513,62,1090,617,545,1.31,0,14,53,17,5493,21941,0.241,179,24,63,42,6,58,3,130,7,3844,1339,126,0.976,7,96,42,30.4,157,111,46,70.7,53,8
2023,5,두산,144,74,68,2,0.521,12.0,4승0무6패,3패,37-1-35,37-1-33,0.255,5538,4859,620,1238,210,32,100,1812,565,57,41,505,25,76,975,90,0.373,0.332,0.705,144,0.242,0.214,3.92,74,68,41,70,0.521,1284 2/3,1245,90,501,82,1013,625,560,1.36,0,9,64,17,5582,22142,0.255,239,17,79,39,12,60,3,114,11,3854,1300,108,0.978,12,60,40,40.0,181,133,48,73.5,52,11
2023,6,KIA,144,73,69,2,0.514,13.0,7승0무3패,2승,38-2-31,35-0-38,0.276,5607,4954,726,1365,224,21,101,1934,673,63,44,500,15,46,957,115,0.39,0.345,0.735,144,0.3,0.285,4.13,73,69,33,66,0.514,1269,1244,89,564,59,980,650,583,1.42,1,8,46,10,5558,21710,0.258,220,25,67,45,20,55,4,102,10,3807,1356,137,0.981,12,98,35,26.3,156,122,34,78.2,41,6
2023,7,롯데,144,68,76,0,0.472,19.0,4승0무6패,1승,38-0-35,30-0-41,0.265,5576,4871,653,1289,231,19,69,1765,608,75,57,522,18,51,1000,110,0.362,0.338,0.7,144,0.288,0.263,4.15,68,76,35,82,0.472,1272 1/3,1328,80,532,82,1070,660,586,1.46,1,10,66,21,5653,22286,0.27,223,24,72,55,20,71,2,103,3,3817,1365,111,0.981,13,91,46,33.6,143,101,42,70.6,42,12
2023,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43,0.263,5581,4912,636,1290,208,23,88,1808,603,77,43,487,15,62,954,114,0.368,0.334,0.702,143,0.267,0.199,4.6,61,82,38,69,0.427,1278 1/3,1414,120,464,52,899,728,654,1.47,1,5,63,17,5676,22135,0.28,238,22,66,51,19,51,7,103,9,3835,1403,111,0.981,6,86,32,27.1,138,103,35,74.6,56,10
2023,9,한화,144,58,80,6,0.42,26.0,3승0무7패,1패,32-1-40,26-5-40,0.241,5628,4906,604,1184,211,12,100,1719,568,59,40,535,21,88,1162,103,0.35,0.324,0.674,144,0.24,0.178,4.38,58,80,20,68,0.42,1291 2/3,1292,101,518,103,1037,708,628,1.4,0,8,40,24,5682,22355,0.261,241,34,60,48,23,73,7,109,7,3875,1359,106,0.98,10,94,48,33.8,89,67,22,75.3,35,7
2023,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47,0.261,5729,5062,607,1323,223,30,61,1789,576,51,58,484,21,74,1096,87,0.353,0.331,0.684,144,0.258,0.18,4.42,58,83,33,61,0.411,1288 1/3,1340,84,532,63,962,710,632,1.45,1,11,68,24,5704,21903,0.269,237,23,62,57,18,56,7,114,5,3865,1424,125,0.979,9,129,45,25.9,65,54,11,83.1,37,7
