,year,구단명,등록명,성명,포지션,국적,비고
0,2014,삼성,밴덴헐크,릭 밴덴헐크,투수,NED,"2번째 시즌, 2관왕(평균자책점&탈삼진)"
1,2014,삼성,마틴,J.D. 마틴,투수,USA,신규 영입
2,2014,삼성,나바로,야마이코 나바로,내야수,DOM,신규 영입
3,2014,두산,니퍼트,더스틴 니퍼트,투수,USA,4번째 시즌
4,2014,두산,볼스테드,크리스 볼스테드,투수,USA,시즌 중 방출
5,2014,두산,마야,유네스키 마야,투수,CUB,↖대체 영입
6,2014,두산,칸투,호르헤 칸투,내야수,MEX,신규 영입
7,2014,LG,티포드,에버렛 티포드,투수,USA,신규 영입
8,2014,LG,리오단,코리 리오단,투수,USA,신규 영입
9,2014,LG,조쉬벨,조쉬 벨,내야수,USA,시즌 중 방출
10,2014,LG,스나이더,브래드 스나이더,외야수,USA,↖대체 영입
11,2014,넥센,밴헤켄,앤디 밴 헤켄,투수,USA,"3번째 시즌, 다승 1위&골든글러브"
12,2014,넥센,나이트,브랜든 나이트,투수,USA,"6번째 시즌, 시즌 중 방출"
13,2014,넥센,소사,헨리 소사,투수,DOM,"↖대체 영입, 3번째 시즌, 승률 1위"
14,2014,넥센,로티노,비니 로티노,외야수,USA,신규 영입
15,2014,롯데,유먼,쉐인 유먼,투수,USA,3번째 시즌
16,2014,롯데,옥스프링,크리스 옥스프링,투수,AUS,4번째 시즌
17,2014,롯데,히메네스,루이스 히메네스,내야수,VEN,신규 영입
18,2014,SK,레이예스,조조 레이예스,투수,USA,"2번째 시즌, 시즌 중 방출"
19,2014,SK,밴와트,트래비스 밴와트,투수,USA,↖대체 영입
20,2014,SK,울프,로스 울프,투수,USA,신규 영입
21,2014,SK,스캇,루크 스캇,외야수,USA,시즌 중 방출
22,2014,NC,찰리,찰리 쉬렉,투수,USA,2번째 시즌
23,2014,NC,해커,에릭 해커,투수,USA,2번째 시즌
24,2014,NC,웨버,태드 웨버,투수,USA,신규 영입
25,2014,NC,테임즈,에릭 테임즈,내야수,USA,신규 영입
26,2014,KIA,홀튼,데니스 홀튼,투수,USA,시즌 중 방출
27,2014,KIA,토마스,저스틴 토마스,투수,USA,↖대체 영입
28,2014,KIA,어센시오,하이로 어센시오,투수,DOM,신규 영입
29,2014,KIA,필,브렛 필,내야수,USA,신규 영입
30,2014,한화,클레이,케일럽 클레이,투수,USA,시즌 중 방출
31,2014,한화,타투스코,라이언 타투스코,투수,USA,↖대체 영입
32,2014,한화,앨버스,앤드류 앨버스,투수,CAN,신규 영입
33,2014,한화,피에,펠릭스 피에,외야수,DOM,신규 영입
34,2015,삼성,피가로,알프레도 피가로,투수,DOM,신규 영입
35,2015,삼성,클로이드,타일러 클로이드,투수,USA,신규 영입
36,2015,삼성,나바로,야마이코 나바로,내야수,DOM,"2번째 시즌, 골든글러브"
37,2015,넥센,밴헤켄,앤디 밴 헤켄,투수,USA,4번째 시즌
38,2015,넥센,피어밴드,라이언 피어밴드,투수,USA,신규 영입
39,2015,넥센,스나이더,브래드 스나이더,외야수,USA,2번째 시즌
40,2015,NC,찰리,찰리 쉬렉,투수,USA,"3번째 시즌, 시즌 중 방출"
41,2015,NC,스튜어트,재크 스튜어트,투수,USA,↖대체 영입
42,2015,NC,해커,에릭 해커,투수,USA,"3번째 시즌, 2관왕(다승&승률)&골든글러브"
43,2015,NC,테임즈,에릭 테임즈,내야수,USA,"2번째 시즌, 4관왕(타율&득점&장타율&출루율)&MVP&골든글러브"
44,2015,LG,소사,헨리 소사,투수,DOM,4번째 시즌
45,2015,LG,루카스,루카스 하렐,투수,USA,신규 영입
46,2015,LG,한나한,잭 한나한,내야수,USA,시즌 중 방출
47,2015,LG,히메네스,루이스 히메네스,내야수,DOM,↖대체 영입
48,2015,SK,켈리,메릴 켈리,투수,USA,신규 영입
49,2015,SK,밴와트,트래비스 밴와트,투수,USA,"2번째 시즌, 시즌 중 방출"
