,타자명,타수,득점,안타,타점,홈런,볼넷,삼진,타율,연도,월,일,소속팀,상대팀,경기장,matchid
0,허경민,4,0,0,0,0,0,0,0.000,2019,03,23,두산,한화,홈,20190323HHOB02019
1,정수빈,3,1,1,0,0,1,0,0.333,2019,03,23,두산,한화,홈,20190323HHOB02019
2,박건우,4,2,2,2,1,0,0,0.500,2019,03,23,두산,한화,홈,20190323HHOB02019
3,김재환,2,1,0,0,0,2,1,0.000,2019,03,23,두산,한화,홈,20190323HHOB02019
4,오재일,2,1,0,0,0,2,0,0.000,2019,03,23,두산,한화,홈,20190323HHOB02019
5,페르난데,4,0,2,3,0,0,0,0.500,2019,03,23,두산,한화,홈,20190323HHOB02019
6,오재원,3,0,0,0,0,0,1,0.000,2019,03,23,두산,한화,홈,20190323HHOB02019
7,박세혁,3,0,1,0,0,0,0,0.333,2019,03,23,두산,한화,홈,20190323HHOB02019
8,김재호,3,0,0,0,0,0,1,0.000,2019,03,23,두산,한화,홈,20190323HHOB02019
9,정근우,5,2,3,0,0,0,1,0.600,2019,03,23,두산,한화,원정,20190323HHOB02019
10,송광민,4,1,1,1,0,1,1,0.250,2019,03,23,두산,한화,원정,20190323HHOB02019
11,호잉,4,0,3,0,0,1,1,0.750,2019,03,23,두산,한화,원정,20190323HHOB02019
12,김태균,4,0,2,1,0,1,1,0.500,2019,03,23,두산,한화,원정,20190323HHOB02019
13,이성열,2,1,1,1,0,1,0,0.500,2019,03,23,두산,한화,원정,20190323HHOB02019
14,하주석,4,0,0,0,0,0,0,0.000,2019,03,23,두산,한화,원정,20190323HHOB02019
15,김민하,2,0,0,0,0,0,0,0.000,2019,03,23,두산,한화,원정,20190323HHOB02019
16,양성우,2,0,0,0,0,0,1,0.000,2019,03,23,두산,한화,원정,20190323HHOB02019
17,최재훈,4,0,2,1,0,0,0,0.500,2019,03,23,두산,한화,원정,20190323HHOB02019
18,정은원,3,0,0,0,0,1,2,0.000,2019,03,23,두산,한화,원정,20190323HHOB02019
19,노수광,4,1,1,1,0,1,1,0.250,2019,03,23,SK,KT,홈,20190323KTSK02019
20,한동민,3,2,1,2,1,1,0,0.333,2019,03,23,SK,KT,홈,20190323KTSK02019
21,최정,4,0,0,0,0,0,2,0.000,2019,03,23,SK,KT,홈,20190323KTSK02019
22,로맥,4,2,2,2,1,0,0,0.500,2019,03,23,SK,KT,홈,20190323KTSK02019
23,이재원,3,0,1,0,0,1,1,0.333,2019,03,23,SK,KT,홈,20190323KTSK02019
24,정의윤,4,0,1,1,0,0,0,0.250,2019,03,23,SK,KT,홈,20190323KTSK02019
25,김강민,3,2,1,0,0,1,1,0.333,2019,03,23,SK,KT,홈,20190323KTSK02019
26,최항,2,0,1,0,0,2,0,0.500,2019,03,23,SK,KT,홈,20190323KTSK02019
27,김재현,0,0,0,0,0,0,0,0.000,2019,03,23,SK,KT,홈,20190323KTSK02019
28,강승호,0,0,0,0,0,0,0,0.000,2019,03,23,SK,KT,홈,20190323KTSK02019
29,김성현,4,0,0,0,0,0,0,0.000,2019,03,23,SK,KT,홈,20190323KTSK02019
30,황재균,5,1,1,0,0,0,1,0.200,2019,03,23,SK,KT,원정,20190323KTSK02019
31,박경수,4,1,1,0,0,1,2,0.250,2019,03,23,SK,KT,원정,20190323KTSK02019
32,심우준,0,0,0,0,0,0,0,0.000,2019,03,23,SK,KT,원정,20190323KTSK02019
33,강백호,5,0,1,0,0,0,1,0.200,2019,03,23,SK,KT,원정,20190323KTSK02019
34,로하스,3,0,0,0,0,1,2,0.000,2019,03,23,SK,KT,원정,20190323KTSK02019
35,유한준,4,0,1,2,0,0,0,0.250,2019,03,23,SK,KT,원정,20190323KTSK02019
36,윤석민,4,0,1,0,0,0,2,0.250,2019,03,23,SK,KT,원정,20190323KTSK02019
37,오태곤,3,1,1,0,0,1,1,0.333,2019,03,23,SK,KT,원정,20190323KTSK02019
38,장성우,4,1,2,2,1,0,1,0.500,2019,03,23,SK,KT,원정,20190323KTSK02019
39,배정대,3,0,1,0,0,0,0,0.333,2019,03,23,SK,KT,원정,20190323KTSK02019
40,이해창,1,0,0,0,0,0,0,0.000,2019,03,23,SK,KT,원정,20190323KTSK02019
41,김선빈,3,0,0,0,0,1,1,0.000,2019,03,23,KIA,LG,홈,20190323LGHT02019
42,해즐베이,4,0,1,0,0,0,1,0.250,2019,03,23,KIA,LG,홈,20190323LGHT02019
43,안치홍,3,0,0,0,0,1,1,0.000,2019,03,23,KIA,LG,홈,20190323LGHT02019
44,최형우,4,0,0,0,0,0,0,0.000,2019,03,23,KIA,LG,홈,20190323LGHT02019
45,김주찬,4,0,1,0,0,0,1,0.250,2019,03,23,KIA,LG,홈,20190323LGHT02019
46,이명기,4,0,1,0,0,0,2,0.250,2019,03,23,KIA,LG,홈,20190323LGHT02019
47,나지완,2,0,0,0,0,0,0,0.000,2019,03,23,KIA,LG,홈,20190323LGHT02019
48,한승택,2,0,0,0,0,0,0,0.000,2019,03,23,KIA,LG,홈,20190323LGHT02019
49,최원준,2,0,0,0,0,1,0,0.000,2019,03,23,KIA,LG,홈,20190323LGHT02019
50,이형종,4,0,2,1,0,0,1,0.500,2019,03,23,KIA,LG,원정,20190323LGHT02019
51,오지환,4,0,0,0,0,0,3,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
52,김현수,4,0,0,0,0,0,2,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
53,조셉,4,0,0,0,0,0,3,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
54,채은성,4,1,2,0,0,0,1,0.500,2019,03,23,KIA,LG,원정,20190323LGHT02019
55,박용택,3,0,2,0,0,1,0,0.667,2019,03,23,KIA,LG,원정,20190323LGHT02019
56,신민재,0,0,0,0,0,0,0,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
57,양종민,2,0,0,0,0,0,1,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
58,서상우,1,0,0,0,0,0,0,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
59,윤진호,1,0,0,0,0,0,0,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
60,유강남,3,0,2,1,0,0,1,0.667,2019,03,23,KIA,LG,원정,20190323LGHT02019
61,정주현,1,1,0,0,0,2,0,0.000,2019,03,23,KIA,LG,원정,20190323LGHT02019
62,이상호,4,2,3,0,0,0,0,0.750,2019,03,23,NC,삼성,홈,20190323SSNC02019
63,노진혁,2,3,1,2,1,2,1,0.500,2019,03,23,NC,삼성,홈,20190323SSNC02019
64,손시헌,0,0,0,0,0,0,0,0.000,2019,03,23,NC,삼성,홈,20190323SSNC02019
65,박석민,3,0,1,0,0,1,1,0.333,2019,03,23,NC,삼성,홈,20190323SSNC02019
66,베탄코트,3,1,2,3,1,1,0,0.667,2019,03,23,NC,삼성,홈,20190323SSNC02019
67,양의지,3,1,1,2,1,1,1,0.333,2019,03,23,NC,삼성,홈,20190323SSNC02019
68,모창민,4,0,0,0,0,0,0,0.000,2019,03,23,NC,삼성,홈,20190323SSNC02019
69,권희동,4,0,0,0,0,0,0,0.000,2019,03,23,NC,삼성,홈,20190323SSNC02019
70,지석훈,4,0,0,0,0,0,2,0.000,2019,03,23,NC,삼성,홈,20190323SSNC02019
