,월,일,원정,홈,원정점수,홈점수
0,3,31,한화,두산,0,3
1,3,31,KIA,삼성,7,2
2,3,31,KT,SSG,3,2
3,3,31,LG,키움,2,1
4,3,31,롯데,NC,5,6
5,4,1,한화,두산,6,5
6,4,1,KIA,삼성,9,7
7,4,1,LG,키움,8,3
8,4,1,KT,SSG,2,0
9,4,1,롯데,NC,3,0
10,4,2,한화,두산,4,5
11,4,2,KIA,삼성,3,16
12,4,2,KT,SSG,8,1
13,4,2,LG,키움,9,2
14,4,2,롯데,NC,12,4
15,4,4,NC,한화,0,6
16,4,4,SSG,KIA,1,6
17,4,4,삼성,LG,0,11
18,4,4,키움,롯데,2,5
19,4,4,두산,KT,2,0
20,4,6,NC,한화,5,2
21,4,6,두산,KT,1,5
22,4,6,SSG,KIA,4,6
23,4,6,삼성,LG,0,4
24,4,6,키움,롯데,3,12
25,4,7,한화,KIA,2,4
26,4,7,LG,롯데,6,4
27,4,7,NC,SSG,5,3
28,4,7,삼성,KT,2,3
29,4,7,키움,두산,7,3
30,4,8,한화,KIA,4,3
31,4,8,LG,롯데,6,8
32,4,8,NC,SSG,2,9
33,4,8,삼성,KT,0,1
34,4,8,키움,두산,13,10
35,4,9,한화,KIA,2,3
36,4,9,LG,롯데,1,7
37,4,9,NC,SSG,5,8
38,4,9,삼성,KT,0,3
39,4,9,키움,두산,13,2
40,4,11,한화,삼성,11,8
41,4,11,KIA,두산,4,16
42,4,11,KT,키움,2,12
43,4,11,LG,NC,3,4
44,4,11,롯데,SSG,6,4
45,4,12,한화,삼성,5,3
46,4,12,KIA,두산,8,4
47,4,12,KT,키움,3,5
48,4,12,LG,NC,0,5
49,4,12,롯데,SSG,1,2
50,4,13,한화,삼성,1,5
51,4,13,KIA,두산,4,3
52,4,13,KT,키움,7,6
53,4,13,LG,NC,1,3
54,4,13,롯데,SSG,10,11
55,4,14,KT,LG,2,5
56,4,14,두산,NC,10,6
57,4,14,SSG,한화,6,2
58,4,14,삼성,롯데,6,9
59,4,14,키움,KIA,2,3
60,4,15,KT,LG,1,0
61,4,15,두산,NC,11,2
62,4,15,SSG,한화,12,4
63,4,15,삼성,롯데,4,6
64,4,15,키움,KIA,2,5
65,4,16,KT,LG,5,12
66,4,16,두산,NC,0,4
67,4,16,SSG,한화,10,1
68,4,16,삼성,롯데,3,0
69,4,16,키움,KIA,6,7
70,4,18,KIA,KT,5,0
71,4,18,LG,한화,2,3
72,4,18,NC,롯데,8,3
73,4,18,삼성,두산,3,3
74,4,18,키움,SSG,4,7
75,4,19,KIA,KT,1,3
76,4,19,LG,한화,0,3
77,4,19,NC,롯데,8,2
78,4,19,삼성,두산,1,2
79,4,19,키움,SSG,3,5
80,4,20,KIA,KT,9,2
81,4,20,LG,한화,4,3
82,4,20,NC,롯데,5,4
83,4,20,삼성,두산,2,4
84,4,20,키움,SSG,5,3
85,4,21,한화,KT,7,2
86,4,21,KIA,LG,2,6
87,4,21,롯데,키움,1,4
88,4,21,NC,삼성,4,4
89,4,21,두산,SSG,4,9
90,4,22,한화,KT,9,11
91,4,22,KIA,LG,5,4
92,4,22,롯데,키움,3,2
93,4,22,NC,삼성,14,6
94,4,22,두산,SSG,4,8
95,4,23,한화,KT,14,1
96,4,23,KIA,LG,1,7
97,4,23,롯데,키움,5,6
98,4,23,NC,삼성,6,3
