,Unnamed: 0,월,일,원정,홈,원정점수,홈점수
0,0,4,1,한화,키움,2,3
1,1,4,1,KIA,SSG,1,4
2,2,4,1,LG,KT,6,11
3,3,4,1,롯데,두산,10,12
4,4,4,1,NC,삼성,8,0
5,5,4,2,한화,키움,6,7
6,6,4,2,KIA,SSG,9,5
7,7,4,2,LG,KT,10,9
8,8,4,2,롯데,두산,2,0
9,9,4,2,NC,삼성,6,8
10,10,4,4,한화,삼성,6,7
11,11,4,4,LG,키움,7,1
12,12,4,4,롯데,SSG,1,3
13,13,4,4,NC,두산,0,1
14,14,4,5,LG,키움,1,2
15,15,4,5,NC,두산,9,3
16,16,4,6,한화,삼성,8,1
17,17,4,6,LG,키움,5,0
18,18,4,6,NC,두산,2,6
19,19,4,7,KT,롯데,7,1
20,20,4,7,두산,KIA,4,1
21,21,4,7,SSG,한화,7,3
22,22,4,7,삼성,LG,2,7
23,23,4,7,키움,NC,0,2
24,24,4,8,KT,롯데,7,3
25,25,4,8,두산,KIA,6,7
26,26,4,8,SSG,한화,7,5
27,27,4,8,삼성,LG,1,2
28,28,4,8,키움,NC,5,11
29,29,4,9,KT,롯데,3,5
30,30,4,9,두산,KIA,3,2
31,31,4,9,SSG,한화,3,0
32,32,4,9,삼성,LG,2,3
33,33,4,9,키움,NC,1,6
34,34,4,11,한화,KIA,5,4
35,35,4,11,KT,NC,0,1
36,36,4,11,LG,롯데,5,6
37,37,4,11,SSG,삼성,5,4
38,38,4,11,키움,두산,4,6
39,39,4,12,한화,KIA,0,2
40,40,4,12,KT,NC,1,5
41,41,4,12,LG,롯데,12,8
42,42,4,12,SSG,삼성,3,0
43,43,4,13,한화,KIA,5,1
44,44,4,13,KT,NC,10,3
45,45,4,13,LG,롯데,7,8
46,46,4,13,SSG,삼성,9,11
47,47,4,13,키움,두산,9,2
48,48,4,14,한화,KT,7,7
49,49,4,14,KIA,키움,2,9
50,50,4,14,롯데,삼성,7,9
51,51,4,14,NC,SSG,1,2
52,52,4,14,두산,LG,4,13
53,53,4,15,한화,KT,7,2
54,54,4,15,KIA,키움,1,6
55,55,4,15,롯데,삼성,9,5
56,56,4,15,NC,SSG,1,0
57,57,4,15,두산,LG,1,3
58,58,4,16,한화,KT,2,14
59,59,4,16,KIA,키움,0,2
60,60,4,16,롯데,삼성,1,9
61,61,4,16,NC,SSG,10,5
62,62,4,16,두산,LG,10,5
63,63,4,18,KIA,롯데,5,7
64,64,4,18,NC,LG,6,4
65,65,4,18,두산,한화,2,0
66,66,4,18,SSG,KT,2,4
67,67,4,18,삼성,키움,6,4
68,68,4,19,KIA,롯데,6,0
69,69,4,19,NC,LG,5,7
70,70,4,19,두산,한화,6,7
71,71,4,19,SSG,KT,2,5
72,72,4,19,삼성,키움,9,5
73,73,4,20,KIA,롯데,3,5
