,투수명,이닝,피안타,실점,자책,4사구,삼진,피홈런,타자,타수,투구수,경기,승리,패전,세이브,평균자책,연도,월,일,소속팀,상대팀,경기장,matchid
0,김이환,3,3,7,7,6,3,2,17,10,78,5.0,1.0,2.0,0.0,6.0,2020,06,02,한화,키움,홈,20200602WOHH02020
1,이현호,1 ⅓,2,1,1,1,1,0,7,5,27,5.0,0.0,0.0,0.0,2.08,2020,06,02,한화,키움,홈,20200602WOHH02020
2,송윤준,0 ⅔,2,1,1,2,0,0,6,4,24,3.0,0.0,0.0,0.0,10.13,2020,06,02,한화,키움,홈,20200602WOHH02020
3,윤규진,2,5,3,2,1,2,0,12,10,36,2.0,0.0,0.0,0.0,7.36,2020,06,02,한화,키움,홈,20200602WOHH02020
4,이태양,1,1,0,0,0,0,0,4,4,13,5.0,0.0,0.0,0.0,9.53,2020,06,02,한화,키움,홈,20200602WOHH02020
5,안영명,1,4,3,3,0,1,0,7,7,22,9.0,1.0,1.0,0.0,6.75,2020,06,02,한화,키움,홈,20200602WOHH02020
6,한현희,7,7,3,2,0,5,0,27,27,95,5.0,2.0,1.0,0.0,5.6,2020,06,02,한화,키움,원정,20200602WOHH02020
7,김성민,1,1,0,0,0,1,0,4,4,16,8.0,0.0,0.0,0.0,8.22,2020,06,02,한화,키움,원정,20200602WOHH02020
8,양현,1,0,0,0,0,1,0,3,3,8,9.0,1.0,1.0,1.0,5.4,2020,06,02,한화,키움,원정,20200602WOHH02020
9,양현종,6,2,1,1,2,4,0,22,20,84,6.0,4.0,2.0,0.0,4.22,2020,06,03,KIA,롯데,홈,20200603LTHT02020
10,김명찬,1,0,0,0,1,2,0,4,3,19,5.0,0.0,0.0,0.0,0.0,2020,06,03,KIA,롯데,홈,20200603LTHT02020
11,고영창,1,0,0,0,0,0,0,3,3,9,10.0,0.0,1.0,0.0,4.82,2020,06,03,KIA,롯데,홈,20200603LTHT02020
12,홍건희,1,1,1,1,0,0,1,4,4,12,9.0,0.0,0.0,0.0,6.55,2020,06,03,KIA,롯데,홈,20200603LTHT02020
13,샘슨,4 ⅓,9,6,6,5,3,0,25,20,84,2.0,0.0,2.0,0.0,9.39,2020,06,03,KIA,롯데,원정,20200603LTHT02020
14,박시영,0 ⅓,2,3,3,1,1,0,4,3,13,12.0,0.0,0.0,0.0,10.45,2020,06,03,KIA,롯데,원정,20200603LTHT02020
15,고효준,0 ⅓,1,1,1,1,0,1,3,2,15,6.0,0.0,0.0,0.0,18.0,2020,06,03,KIA,롯데,원정,20200603LTHT02020
16,송승준,2,2,1,1,1,0,0,9,8,30,7.0,0.0,1.0,0.0,4.73,2020,06,03,KIA,롯데,원정,20200603LTHT02020
17,김대우,1,0,0,0,0,2,0,4,4,17,9.0,0.0,1.0,0.0,7.71,2020,06,03,KIA,롯데,원정,20200603LTHT02020
18,소형준,7,2,0,0,3,2,0,25,22,96,5.0,4.0,1.0,0.0,5.34,2020,06,03,KT,두산,홈,20200603OBKT02020
19,전유수,1 ⅔,3,2,2,1,1,0,9,8,29,9.0,0.0,0.0,0.0,5.79,2020,06,03,KT,두산,홈,20200603OBKT02020
20,손동현,0 ⅓,1,0,0,0,1,0,2,2,10,5.0,0.0,0.0,0.0,2.25,2020,06,03,KT,두산,홈,20200603OBKT02020
21,이용찬,5,9,4,4,0,3,2,24,24,96,5.0,1.0,3.0,0.0,8.44,2020,06,03,KT,두산,원정,20200603OBKT02020
22,문대원,2,5,3,0,0,0,0,11,11,35,2.0,0.0,0.0,0.0,0.0,2020,06,03,KT,두산,원정,20200603OBKT02020
23,이승진,1,0,0,0,1,0,0,5,4,17,1.0,0.0,0.0,0.0,0.0,2020,06,03,KT,두산,원정,20200603OBKT02020
24,최성영,3 ⅔,6,4,3,3,1,1,20,17,63,2.0,0.0,0.0,0.0,5.14,2020,06,03,NC,SK,홈,20200603SKNC02020
25,박진우,2 ⅔,3,0,0,0,2,0,11,11,37,14.0,1.0,0.0,0.0,1.98,2020,06,03,NC,SK,홈,20200603SKNC02020
26,임정호,0 ⅔,0,0,0,1,1,0,3,2,12,12.0,1.0,0.0,0.0,2.35,2020,06,03,NC,SK,홈,20200603SKNC02020
27,배재환,1,0,0,0,0,1,0,3,3,15,13.0,1.0,0.0,0.0,2.45,2020,06,03,NC,SK,홈,20200603SKNC02020
28,원종현,1,2,2,2,0,0,1,5,5,20,12.0,1.0,1.0,8.0,4.09,2020,06,03,NC,SK,홈,20200603SKNC02020
29,이건욱,3,7,5,5,2,2,1,18,15,63,4.0,1.0,1.0,0.0,4.63,2020,06,03,NC,SK,원정,20200603SKNC02020
30,김택형,0 ⅓,1,2,2,1,1,1,3,2,9,6.0,0.0,0.0,0.0,22.09,2020,06,03,NC,SK,원정,20200603SKNC02020
31,박민호,1 ⅔,4,1,1,1,0,0,10,9,37,13.0,0.0,0.0,0.0,3.38,2020,06,03,NC,SK,원정,20200603SKNC02020
32,김주온,2,1,0,0,1,0,0,6,5,19,8.0,0.0,3.0,0.0,4.32,2020,06,03,NC,SK,원정,20200603SKNC02020
33,이원준,1,1,0,0,0,2,0,4,4,16,4.0,0.0,0.0,0.0,1.59,2020,06,03,NC,SK,원정,20200603SKNC02020
34,켈리,5,7,8,8,4,3,1,24,20,80,5.0,2.0,1.0,0.0,6.12,2020,06,03,LG,삼성,홈,20200603SSLG02020
35,김대현,2,2,2,2,2,1,1,9,7,37,7.0,1.0,0.0,0.0,8.1,2020,06,03,LG,삼성,홈,20200603SSLG02020
36,최동환,2,3,2,1,0,2,0,10,10,28,7.0,0.0,0.0,0.0,4.0,2020,06,03,LG,삼성,홈,20200603SSLG02020
37,허윤동,5,8,3,3,1,0,1,23,21,80,2.0,2.0,0.0,0.0,2.7,2020,06,03,LG,삼성,원정,20200603SSLG02020
38,권오준,0 ⅓,2,2,2,0,1,0,3,3,14,6.0,0.0,1.0,0.0,7.04,2020,06,03,LG,삼성,원정,20200603SSLG02020
39,노성호,0 ⅔,1,0,0,0,1,0,3,3,9,10.0,0.0,0.0,0.0,0.93,2020,06,03,LG,삼성,원정,20200603SSLG02020
40,이승현,2,2,1,1,0,3,1,8,8,29,11.0,0.0,1.0,0.0,4.26,2020,06,03,LG,삼성,원정,20200603SSLG02020
41,김윤수,1,1,0,0,0,2,0,4,4,12,9.0,0.0,1.0,0.0,3.38,2020,06,03,LG,삼성,원정,20200603SSLG02020
42,서폴드,7,9,6,4,4,3,0,35,30,111,6.0,2.0,3.0,0.0,3.07,2020,06,03,한화,키움,홈,20200603WOHH02020
43,김범수,1 ⅓,0,0,0,0,1,0,4,4,12,10.0,1.0,3.0,0.0,5.79,2020,06,03,한화,키움,홈,20200603WOHH02020
44,윤대경,0 ⅔,1,0,0,0,1,0,3,3,14,1.0,0.0,0.0,0.0,0.0,2020,06,03,한화,키움,홈,20200603WOHH02020
45,조영건,5,4,2,2,2,2,1,20,18,76,2.0,1.0,0.0,0.0,3.0,2020,06,03,한화,키움,원정,20200603WOHH02020
46,김재웅,1,0,0,0,0,2,0,3,3,13,11.0,0.0,1.0,0.0,5.06,2020,06,03,한화,키움,원정,20200603WOHH02020
47,김태훈,1,0,0,0,0,0,0,3,3,16,9.0,2.0,0.0,0.0,1.13,2020,06,03,한화,키움,원정,20200603WOHH02020
48,이영준,0 ⅔,2,0,0,0,0,0,4,4,20,12.0,0.0,2.0,0.0,7.0,2020,06,03,한화,키움,원정,20200603WOHH02020
49,조상우,1 ⅓,1,0,0,0,2,0,5,5,16,8.0,1.0,0.0,6.0,0.0,2020,06,03,한화,키움,원정,20200603WOHH02020
