,연도,선수,팀,구종,상대%,타구 속도,상하 각도,타율,장타율,땅볼%,라인드라이브%,뜬공%,팝플라이%,강한 타구%,안타,안타 타구 속도,홈런,홈런 타구 속도,장타,장타 타구 속도
0,2023,강현우,KT,전체,100.0,134.9,16.9,0.194,0.282,32.8,36.2,19.0,12.1,22.4,20,143.1,1,154.5,7,147.6
1,2023,이주형,키움,전체,100.0,137.9,19.7,0.326,0.507,28.6,34.1,24.6,12.7,34.9,70,143.0,6,156.3,23,154.6
2,2023,안권수,롯데,전체,100.0,130.5,16.6,0.272,0.325,30.6,40.0,20.6,8.8,9.4,72,133.0,2,151.0,9,138.5
3,2023,양찬열,두산,전체,100.0,120.6,22.6,0.25,0.321,26.9,28.8,28.8,15.4,9.6,21,129.9,0,0.0,4,140.6
4,2023,러셀,키움,전체,100.0,137.2,18.6,0.286,0.4,30.2,35.3,24.5,10.1,24.5,63,140.7,4,153.1,16,148.6
5,2023,김지찬,삼성,전체,100.0,120.0,15.4,0.29,0.33,38.3,36.3,14.4,10.9,0.5,81,123.6,1,138.1,7,135.4
6,2023,황성빈,롯데,전체,100.0,121.0,20.5,0.211,0.265,31.6,30.5,20.0,17.9,2.1,35,127.4,0,0.0,7,133.5
7,2023,최인호,한화,전체,100.0,134.2,19.2,0.298,0.427,33.0,26.4,28.6,12.1,18.7,39,139.7,2,150.3,10,149.8
8,2023,박정현,한화,전체,100.0,131.6,25.3,0.181,0.295,25.9,36.2,17.2,20.7,24.1,19,142.0,2,148.9,8,151.7
9,2023,전의산,SSG,전체,100.0,135.0,20.0,0.201,0.336,31.8,29.4,22.4,16.5,29.4,27,141.4,4,160.6,10,156.8
10,2023,최지훈,SSG,전체,100.0,134.0,22.5,0.269,0.358,28.0,32.9,19.3,19.9,18.0,124,140.6,2,152.7,29,145.4
11,2023,김휘집,키움,전체,100.0,130.2,23.5,0.249,0.374,23.0,37.5,21.8,17.7,19.0,92,138.4,8,152.3,30,149.6
12,2023,김동진,삼성,전체,100.0,128.1,9.6,0.275,0.324,46.6,32.8,17.2,3.4,15.5,28,134.0,0,0.0,5,144.1
13,2023,김현준,삼성,전체,100.0,128.0,14.5,0.266,0.335,37.1,37.1,17.2,8.6,6.0,104,131.6,3,148.6,16,144.3
14,2023,피렐라,삼성,전체,100.0,139.9,20.2,0.292,0.44,31.6,33.2,19.0,16.2,39.7,152,147.0,16,153.5,44,154.4
15,2023,추신수,SSG,전체,100.0,138.6,19.5,0.252,0.396,28.1,36.1,22.5,13.3,28.5,96,143.2,12,155.8,30,149.9
16,2023,조형우,SSG,전체,100.0,131.5,27.5,0.185,0.286,26.6,30.4,16.5,26.6,21.5,22,146.3,2,144.1,7,144.7
17,2023,김주원,NC,전체,100.0,129.7,23.7,0.233,0.34,26.1,29.6,25.7,18.6,24.1,94,136.2,10,154.1,21,150.3
18,2023,알포드,KT,전체,100.0,139.6,24.2,0.289,0.456,24.2,32.7,23.9,19.2,34.7,142,146.7,15,157.1,49,154.8
19,2023,박찬혁,키움,전체,100.0,132.3,16.7,0.201,0.266,37.5,38.6,8.0,15.9,27.3,31,141.2,1,153.7,8,148.6
20,2023,이재현,삼성,전체,100.0,131.4,25.0,0.252,0.385,21.4,34.2,24.8,19.5,10.9,108,139.2,12,146.9,31,145.3
21,2023,김영웅,삼성,전체,100.0,133.9,21.3,0.189,0.322,26.8,26.8,32.1,14.3,16.1,17,142.1,2,149.3,8,146.9
22,2023,렉스,롯데,전체,100.0,137.6,22.0,0.25,0.354,25.2,34.5,23.5,16.8,35.3,48,142.2,4,151.4,10,147.9
23,2023,윤동희,롯데,전체,100.0,132.5,19.1,0.284,0.351,28.5,34.5,22.9,14.1,18.5,105,137.4,2,150.0,20,142.7
24,2023,김도영,KIA,전체,100.0,137.9,18.4,0.298,0.446,35.5,28.6,22.3,13.6,34.1,97,146.1,7,159.5,30,154.3
25,2023,소크라테스,KIA,전체,100.0,135.8,21.4,0.287,0.463,28.7,33.4,20.9,17.0,32.4,153,145.6,20,157.9,52,154.8
26,2023,오스틴,LG,전체,100.0,138.3,24.0,0.313,0.513,25.6,31.9,22.0,20.5,32.7,162,145.1,22,162.4,55,154.6
27,2023,로하스,두산,전체,100.0,141.1,29.5,0.237,0.464,18.0,30.4,21.2,30.4,36.0,91,149.1,19,157.1,45,153.8
28,2023,도슨,키움,전체,100.0,137.1,17.4,0.336,0.454,36.3,30.6,21.3,11.9,26.3,77,136.7,3,160.5,19,143.7
29,2023,김동헌,키움,전체,100.0,124.9,22.8,0.242,0.313,31.2,24.6,23.9,20.3,11.6,51,135.4,2,154.3,9,145.4
30,2023,구드럼,롯데,전체,100.0,137.8,18.7,0.293,0.378,29.7,35.6,24.8,9.9,30.7,48,141.7,0,0.0,14,140.5
31,2023,김민석,롯데,전체,100.0,131.2,17.4,0.258,0.345,35.8,32.3,19.9,11.9,14.2,99,134.9,3,149.5,27,139.4
32,2023,윌리엄스,한화,전체,100.0,138.0,21.4,0.244,0.403,26.8,35.7,19.6,17.9,38.7,63,145.3,9,158.2,23,154.4
33,2023,문현빈,한화,전체,100.0,132.5,19.1,0.265,0.361,30.8,34.2,21.3,13.7,22.8,113,138.8,5,157.0,29,149.2
34,2023,에레디아,SSG,전체,100.0,134.7,19.4,0.323,0.461,27.9,38.7,19.8,13.6,29.7,153,142.0,12,154.2,41,148.8
35,2023,마틴,NC,전체,100.0,139.0,24.5,0.283,0.455,23.3,28.8,27.4,20.5,28.1,123,143.9,17,152.1,39,149.2
36,2023,정훈,롯데,전체,100.0,132.3,18.9,0.276,0.438,29.7,30.5,25.8,14.1,17.2,53,138.8,6,151.7,19,144.0
37,2023,오태곤,SSG,전체,100.0,136.6,20.1,0.239,0.375,29.3,32.9,20.4,17.4,31.7,65,146.5,7,157.9,22,151.5
