이름,id,연도,팀명,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,생년월일
황기선,10182,1983,해태  ,2.31,19,0,0,4,4,1,0,0.500,265,66 1/3,50,3,14,7,35,27,17,1958-06-02
황기선,10182,1984,해태  ,3.76,38,2,0,4,7,1,0,0.364,536,124 1/3,110,10,55,9,65,70,52,1958-06-02
황기선,10182,1985,해태,6.49,17,0,0,0,1,0,0,0.000,159,34 2/3,40,3,19,2,15,27,25,1958-06-02
황기선,10182,1986,OB,4.44,11,0,0,0,0,0,0,-,108,24 1/3,26,1,15,2,6,14,12,1958-06-02
황기선,10182,1987,OB,0.00,2,0,0,0,0,0,0,-,9,1 2/3,3,0,0,0,2,3,0,1958-06-02
황태환,10082,1982,OB    ,3.86,27,2,0,6,5,3,0,0.545,365,86 1/3,76,12,37,11,42,43,37,1952-08-06
황태환,10082,1983,OB    ,2.65,39,0,0,6,6,14,0,0.500,449,105 1/3,105,11,40,5,60,46,31,1952-08-06
황태환,10082,1984,OB    ,2.48,17,0,0,0,2,0,0,0.000,159,40,36,3,15,2,19,12,11,1952-08-06
황태환,10082,1985,OB,3.53,35,1,1,4,8,1,0,0.333,402,97,79,6,40,2,50,42,38,1952-08-06
황태환,10082,1986,OB,2.45,28,0,0,3,3,3,0,0.500,300,73 1/3,69,7,21,1,36,23,20,1952-08-06
황태환,10082,1987,OB,5.48,28,0,0,2,3,5,0,0.400,280,65 2/3,73,6,20,1,20,42,40,1952-08-06
황태환,10082,1988,OB,6.52,23,1,0,0,2,0,0,0.000,221,49 2/3,58,7,21,1,11,38,36,1952-08-06
황태환,10082,1989,OB,0.00,2,0,0,0,0,0,0,-,6,1,2,0,1,0,1,0,0,1952-08-06
소형준,50030,2020,KT,3.86,26,0,0,13,6,0,0,0.684,572,133,141,6,45,6,92,63,57,2001-09-16
소형준,50030,2021,KT,4.16,24,0,0,7,7,0,0,0.500,521,119,123,6,51,4,85,67,55,2001-09-16
소형준,50030,2022,KT,3.05,27,0,0,13,6,0,0,0.684,703,171 1/3,158,8,39,5,117,68,58,2001-09-16
소형준,50030,2023,KT,11.45,3,0,0,0,0,0,0,-,59,11,22,1,3,3,4,14,14,2001-09-16
이강준,50036,2020,KT,6.35,4,0,0,0,0,0,0,-,33,5 2/3,9,1,5,3,3,4,4,2001-12-14
이강준,50036,2021,롯데,10.80,15,0,0,1,0,0,0,1.000,48,8 1/3,11,1,13,2,4,11,10,2001-12-14
이강준,50036,2022,롯데,10.24,13,0,0,0,0,0,1,-,57,9 2/3,9,1,20,0,6,11,11,2001-12-14
데스파이네,50040,2020,KT,4.33,35,0,0,15,8,0,0,0.652,906,207 2/3,233,18,68,8,152,105,100,1987-04-04
데스파이네,50040,2021,KT,3.39,33,0,0,13,10,0,0,0.565,819,188 2/3,175,10,78,7,165,81,71,1987-04-04
데스파이네,50040,2022,KT,4.53,30,0,0,8,12,0,0,0.400,725,163,198,14,48,9,123,94,82,1987-04-04
유영찬,50106,2023,LG,3.44,67,0,0,6,3,1,12,0.667,305,68,55,4,40,7,55,27,26,1997-03-07
