,연도,선수,팀,구종,체인지업_구사%,체인지업_구속,체인지업_상하_무브먼트,체인지업_좌우_무브먼트,체인지업_분당_회전수,체인지업_좌우_릴리스포인트,체인지업_상하_릴리스포인트,체인지업_타구_속도,체인지업_상하_각도,체인지업_피안타율,체인지업_피장타율,체인지업_땅볼%,체인지업_라인드라이브%,체인지업_뜬공%,체인지업_팝플라이%,체인지업_강한_타구%
0,2023,주권,KT,체인지업,56.0,126.2,17.6,-18.2,1723.6,-37.2,165.3,131.3,19.1,0.204,0.255,28.0,40.0,20.0,12.0,13.3
1,2023,엄상백,KT,체인지업,53.5,128.5,12.2,-25.7,1938.9,-64.4,143.4,132.1,22.7,0.256,0.361,30.6,26.8,22.9,19.7,12.7
2,2023,이재학,NC,체인지업,46.1,121.6,6.7,-29.1,1906.0,-61.0,164.3,130.6,23.9,0.178,0.297,24.4,36.0,19.8,19.8,11.6
3,2023,신민혁,NC,체인지업,41.1,126.4,19.2,-23.9,2040.8,-21.3,174.8,126.1,27.3,0.23,0.375,23.0,22.2,34.9,19.8,11.9
4,2023,김동혁,키움,체인지업,40.0,120.9,-1.9,-29.0,1842.6,-71.1,115.0,135.5,13.6,0.265,0.338,39.5,36.8,10.5,13.2,18.4
5,2023,임기영,KIA,체인지업,39.3,124.7,0.6,-27.8,1800.1,-80.1,141.2,132.2,17.5,0.185,0.269,32.9,34.1,22.0,11.0,14.6
6,2023,고영표,KT,체인지업,39.1,115.6,-15.0,-19.9,1520.3,-64.7,113.3,130.7,15.7,0.185,0.258,37.0,36.3,17.0,9.6,19.3
7,2023,김진호,NC,체인지업,34.7,128.1,10.7,-24.8,1825.8,-37.8,168.7,127.5,11.1,0.269,0.308,46.2,46.2,0.0,7.7,23.1
8,2023,임찬규,LG,체인지업,32.4,126.9,17.1,-24.4,2006.1,-32.2,171.8,129.3,16.1,0.248,0.379,41.2,27.7,20.2,10.9,15.1
9,2023,슐서,KT,체인지업,32.2,129.4,12.2,-17.5,1504.0,-42.9,182.4,137.7,15.2,0.27,0.349,28.1,43.8,15.6,12.5,31.3
10,2023,페냐,한화,체인지업,31.3,132.7,11.5,-18.7,1574.3,-67.4,185.4,129.3,18.7,0.175,0.25,32.0,37.9,14.6,15.5,18.4
11,2023,박치국,두산,체인지업,27.6,130.9,-1.2,-24.2,1696.7,-45.7,128.8,135.5,20.9,0.25,0.339,21.6,43.2,21.6,13.5,21.6
12,2023,최성영,NC,체인지업,27.4,124.2,17.3,21.8,1837.3,72.9,171.8,130.7,16.3,0.266,0.391,40.5,23.8,23.8,11.9,11.9
13,2023,엘리아스,SSG,체인지업,27.4,136.1,16.0,22.6,1999.8,51.1,172.7,133.5,14.2,0.342,0.45,38.7,40.0,12.0,9.3,16.0
14,2023,박영현,KT,체인지업,27.3,125.3,15.2,-20.1,1705.2,-37.8,155.6,128.5,21.3,0.27,0.349,30.0,35.0,17.5,17.5,17.5
15,2023,최준용,롯데,체인지업,26.9,132.9,12.3,-25.7,2017.0,-75.4,165.1,136.0,22.6,0.283,0.37,16.7,37.5,25.0,20.8,25.0
16,2023,원태인,삼성,체인지업,26.2,124.1,17.9,-19.7,1761.9,-40.1,172.9,127.3,25.7,0.203,0.362,25.8,23.6,25.8,24.7,10.1
17,2023,함덕주,LG,체인지업,25.6,125.5,11.0,21.6,1626.5,60.3,180.9,126.3,26.2,0.113,0.145,12.1,36.4,39.4,12.1,15.2
18,2023,양현종,KIA,체인지업,24.9,129.2,16.4,20.3,1774.5,56.3,181.2,133.4,12.1,0.26,0.373,40.2,38.2,15.7,5.9,19.6
19,2023,윤대경,한화,체인지업,24.4,123.5,20.0,-14.0,1645.8,-51.0,183.2,130.3,28.0,0.208,0.396,21.2,27.3,30.3,21.2,9.1
20,2023,백정현,삼성,체인지업,23.7,124.5,25.1,17.0,2010.1,46.9,172.2,130.6,15.8,0.215,0.269,39.2,29.4,13.7,17.6,15.7
21,2023,이지강,LG,체인지업,23.4,128.7,16.4,-18.7,1705.6,-23.5,169.4,125.6,19.1,0.221,0.235,31.0,35.7,23.8,9.5,7.1
22,2023,반즈,롯데,체인지업,23.0,126.8,11.6,25.5,1871.2,48.2,170.8,131.1,20.5,0.277,0.418,25.8,34.0,26.8,13.4,20.6
23,2023,김광현,SSG,체인지업,22.9,127.7,22.1,15.8,1844.4,41.5,175.5,131.4,22.5,0.306,0.433,22.0,35.2,24.2,18.7,14.3
24,2023,박신지,두산,체인지업,22.9,125.2,20.4,-26.3,2189.2,-63.3,176.7,131.0,28.9,0.368,0.474,7.1,42.9,35.7,14.3,14.3
25,2023,박명근,LG,체인지업,22.1,129.1,0.3,-25.8,1775.7,-75.8,125.7,132.7,14.3,0.267,0.333,36.8,42.1,15.8,5.3,21.1
26,2023,정우람,한화,체인지업,21.7,117.3,21.4,24.9,2016.2,61.1,180.7,132.1,23.0,0.412,0.676,16.7,33.3,33.3,16.7,10.0
27,2023,뷰캐넌,삼성,체인지업,21.3,132.0,19.9,-21.4,2044.9,-61.6,184.9,132.6,22.7,0.233,0.286,26.4,33.3,19.5,20.7,10.3
28,2023,수아레즈,삼성,체인지업,21.3,134.1,13.7,-22.9,1910.4,-41.8,178.8,133.6,9.6,0.37,0.457,51.8,30.4,10.7,7.1,23.2
29,2023,맥키니,키움,체인지업,20.9,128.7,18.8,19.7,1858.6,42.4,175.2,138.6,20.7,0.27,0.492,26.3,26.3,36.8,10.5,28.9
30,2023,윤영철,KIA,체인지업,20.4,125.7,24.3,20.8,2088.8,67.1,177.2,126.6,19.3,0.179,0.253,31.4,31.4,23.5,13.7,15.7
31,2023,와이드너,삼성,체인지업,20.0,133.1,13.2,-22.9,1860.9,-56.5,154.8,128.6,21.9,0.255,0.349,26.5,32.4,26.5,14.7,10.3
32,2023,박정수,두산,체인지업,19.8,125.7,2.0,-26.7,1799.2,-60.7,140.9,128.1,20.7,0.207,0.31,38.1,28.6,9.5,23.8,9.5
33,2023,김상수,롯데,체인지업,19.7,126.2,15.0,-16.7,1538.8,-57.0,174.5,129.3,20.5,0.22,0.32,22.6,41.9,19.4,16.1,12.9
34,2023,김윤식,LG,체인지업,19.6,118.4,19.4,10.7,1430.1,35.7,187.5,136.8,18.0,0.262,0.308,32.6,28.3,30.4,8.7,17.4
35,2023,최채흥,삼성,체인지업,18.8,121.4,15.5,13.9,1367.8,66.8,183.8,134.8,17.7,0.333,0.41,34.5,27.6,31.0,6.9,17.2
36,2023,백승건,SSG,체인지업,18.8,129.1,27.4,16.1,2160.6,42.5,167.5,124.3,32.7,0.333,0.458,25.0,12.5,31.3,31.3,6.3
37,2023,김재웅,키움,체인지업,18.6,128.3,30.0,15.1,2262.3,11.7,170.0,129.5,23.0,0.239,0.326,28.6,28.6,17.9,25.0,14.3
38,2023,최원태,LG,체인지업,18.6,129.4,17.7,-23.7,2019.5,-39.0,163.2,127.4,19.9,0.203,0.325,29.1,36.7,15.2,19.0,12.7
39,2023,장원준,두산,체인지업,18.5,125.7,7.7,21.8,1548.1,50.5,172.7,132.1,15.8,0.357,0.429,31.3,46.9,9.4,12.5,15.6
40,2023,요키시,키움,체인지업,18.3,132.3,18.4,29.2,2372.2,65.6,174.0,133.1,11.0,0.327,0.347,41.4,41.4,10.3,6.9,27.6
41,2023,스트레일리,롯데,체인지업,16.9,132.0,7.0,-23.1,1717.0,-70.4,177.7,132.2,14.4,0.286,0.393,46.7,26.7,16.7,10.0,13.3
42,2023,후라도,키움,체인지업,16.8,132.4,11.5,-24.2,1872.9,-32.4,179.2,130.6,15.1,0.184,0.245,36.4,36.4,18.2,9.1,14.3
43,2023,쿠에바스,KT,체인지업,16.3,131.8,21.3,-21.8,2127.3,-43.9,170.0,127.9,23.3,0.174,0.209,27.3,29.5,25.0,18.2,13.6
44,2023,이로운,SSG,체인지업,15.9,124.3,18.7,-17.2,1708.5,-0.2,181.7,123.1,37.0,0.069,0.103,7.1,21.4,42.9,28.6,7.1
45,2023,곽빈,두산,체인지업,15.7,128.9,11.9,-25.4,1916.9,-47.7,174.6,129.2,20.9,0.233,0.329,26.7,35.6,24.4,13.3,15.6
46,2023,산체스,한화,체인지업,15.3,138.3,19.6,28.6,2510.7,48.6,173.9,135.8,15.9,0.242,0.355,37.0,26.1,28.3,8.7,23.9
47,2023,태너,NC,체인지업,14.7,124.8,8.5,18.3,1354.5,70.2,183.2,134.1,13.7,0.222,0.25,33.3,45.8,12.5,8.3,20.8
48,2023,오원석,SSG,체인지업,13.1,127.8,19.2,19.9,1876.7,61.7,170.9,124.2,29.7,0.241,0.407,23.7,26.3,26.3,23.7,10.5
49,2023,페디,NC,체인지업,12.8,140.0,8.2,-16.9,1424.2,-44.2,173.5,135.0,14.8,0.18,0.25,36.8,34.2,21.1,7.9,15.8
50,2023,윌커슨,롯데,체인지업,12.3,134.1,17.2,-19.1,1850.8,-67.8,172.3,135.0,10.5,0.283,0.326,44.0,36.0,20.0,0.0,28.0
51,2023,배제성,KT,체인지업,12.2,122.9,25.7,-3.8,1729.9,-32.3,188.2,131.4,20.3,0.288,0.37,29.1,32.7,18.2,20.0,14.5
52,2023,주현상,한화,체인지업,12.2,130.8,14.7,-16.6,1560.0,-52.8,176.0,138.7,19.2,0.208,0.25,42.1,21.1,21.1,15.8,21.1
53,2023,이승현,삼성,체인지업,11.8,119.3,21.1,-19.2,1813.0,-31.2,187.1,124.9,23.7,0.273,0.636,23.5,17.6,47.1,11.8,11.8
54,2023,하준영,NC,체인지업,11.7,129.5,20.8,23.7,2135.3,64.3,174.3,132.8,9.2,0.32,0.52,42.9,35.7,21.4,0.0,28.6
55,2023,이용준,NC,체인지업,11.5,122.7,18.3,-20.3,1785.9,-56.9,181.9,127.4,17.5,0.296,0.37,31.6,47.4,10.5,10.5,15.8
56,2023,이의리,KIA,체인지업,11.2,132.7,21.6,22.6,2184.6,62.7,175.7,122.7,16.2,0.154,0.231,41.7,29.2,12.5,16.7,4.2
57,2023,켈리,LG,체인지업,10.7,133.7,19.0,-21.1,2028.2,-28.2,195.2,133.1,21.4,0.309,0.441,20.0,43.6,21.8,14.5,20.0
58,2023,문승원,SSG,체인지업,8.8,127.0,18.1,-22.1,1958.9,-52.8,167.3,132.4,13.4,0.364,0.515,45.8,29.2,16.7,8.3,16.7
59,2023,플럿코,LG,체인지업,8.8,132.6,20.0,-22.3,2123.0,-39.9,180.1,132.4,27.6,0.206,0.235,13.6,36.4,36.4,13.6,13.6
60,2023,파노니,KIA,체인지업,8.7,133.4,17.3,23.8,2039.8,50.6,163.3,136.2,18.0,0.375,0.5,36.4,27.3,18.2,18.2,27.3
61,2023,브랜든,두산,체인지업,8.5,131.3,12.9,22.3,1796.4,73.6,175.8,137.1,15.8,0.357,0.5,38.9,38.9,11.1,11.1,27.8
62,2023,맥카티,SSG,체인지업,8.1,133.8,18.3,18.2,1854.6,44.3,176.2,142.2,18.3,0.357,0.714,20.0,40.0,35.0,5.0,35.0
63,2023,안우진,키움,체인지업,8.0,135.7,23.7,-16.6,2074.5,-17.5,174.6,129.3,21.7,0.188,0.292,40.9,27.3,13.6,18.2,9.1
64,2023,최원준,두산,체인지업,6.6,121.8,2.2,-26.0,1684.2,-87.9,109.4,144.8,16.0,0.25,0.333,29.4,41.2,29.4,0.0,35.3
65,2023,벤자민,KT,체인지업,4.6,132.5,20.8,26.7,2402.7,70.6,185.8,126.0,23.7,0.3,0.533,27.3,22.7,36.4,13.6,9.1
66,2022,주권,KT,체인지업,57.7,126.8,15.2,-16.6,1556.1,-57.8,164.2,134.6,16.5,0.294,0.422,40.3,27.8,19.4,12.5,19.4
67,2022,이재학,NC,체인지업,48.2,124.4,11.3,-26.1,1853.4,-69.9,154.0,126.0,23.4,0.183,0.287,28.1,31.1,17.8,23.0,7.4
68,2022,고영표,KT,체인지업,46.1,118.1,-15.2,-19.9,1585.4,-61.4,109.4,130.7,9.2,0.217,0.301,47.0,35.5,12.0,5.4,18.7
69,2022,김진호,NC,체인지업,39.4,128.3,9.3,-24.0,1749.9,-37.2,167.7,127.9,19.2,0.239,0.313,27.0,43.2,10.8,18.9,16.2
70,2022,임기영,KIA,체인지업,38.0,124.1,2.3,-26.5,1727.4,-71.5,140.2,127.9,20.3,0.244,0.393,28.0,30.3,28.0,13.6,11.4
71,2022,김동혁,키움,체인지업,37.9,122.4,1.8,-30.6,1959.3,-74.0,125.2,131.0,10.0,0.225,0.275,46.2,30.8,23.1,0.0,3.8
72,2022,신민혁,NC,체인지업,37.5,126.6,18.9,-23.7,2025.2,-39.9,172.3,130.4,22.1,0.249,0.433,28.1,27.4,29.6,14.8,17.8
73,2022,로니,KIA,체인지업,36.9,137.9,13.7,-22.2,1906.8,-37.4,163.6,128.0,14.9,0.211,0.324,48.6,13.5,24.3,13.5,21.6
74,2022,엄상백,KT,체인지업,35.5,129.0,13.7,-23.0,1846.8,-61.5,141.7,129.9,23.3,0.291,0.5,23.3,30.0,31.3,15.3,11.3
75,2022,최하늘,삼성,체인지업,33.1,122.6,0.6,-30.9,1983.8,-74.3,136.2,129.9,18.5,0.326,0.478,26.5,35.3,26.5,11.8,11.8
76,2022,정우람,한화,체인지업,31.6,120.8,21.9,25.8,2132.5,61.8,181.0,132.8,25.4,0.364,0.591,27.8,22.2,22.2,27.8,22.2
77,2022,장지훈,SSG,체인지업,30.0,126.9,1.7,-21.8,1503.9,-57.2,158.6,139.3,15.3,0.254,0.423,35.8,37.7,17.0,9.4,30.2
78,2022,페냐,한화,체인지업,28.4,134.6,13.6,-19.5,1712.7,-64.5,186.6,122.7,13.3,0.15,0.15,46.4,21.4,21.4,10.7,7.1
79,2022,신정락,한화,체인지업,27.3,114.1,-8.1,-24.7,1546.0,-57.3,108.4,132.5,16.4,0.273,0.432,27.5,35.0,35.0,2.5,7.5
80,2022,원태인,삼성,체인지업,26.1,124.6,20.6,-16.0,1745.4,-39.1,172.4,129.6,24.4,0.193,0.254,27.0,30.6,23.4,18.9,9.9
