,연도,선수,팀,구종,커터_구사%,커터_구속,커터_상하_무브먼트,커터_좌우_무브먼트,커터_분당_회전수,커터_좌우_릴리스포인트,커터_상하_릴리스포인트,커터_타구_속도,커터_상하_각도,커터_피안타율,커터_피장타율,커터_땅볼%,커터_라인드라이브%,커터_뜬공%,커터_팝플라이%,커터_강한_타구%
0,2023,파노니,KIA,커터,46.2,138.3,19.7,3.7,1467.1,52.4,163.2,126.4,22.0,0.222,0.285,36.4,21.5,23.4,18.7,18.7
1,2023,뷰캐넌,삼성,커터,37.8,141.3,13.0,1.0,1089.4,-61.5,185.1,131.3,15.9,0.23,0.266,35.4,36.8,17.4,10.4,18.1
2,2023,최민준,SSG,커터,37.2,138.8,16.5,-0.8,1292.8,-44.9,176.8,135.1,18.0,0.34,0.474,28.1,46.9,9.4,15.6,26.6
3,2023,맥카티,SSG,커터,31.5,137.1,13.7,-3.5,1134.7,53.9,178.2,132.6,20.0,0.253,0.319,28.7,34.0,22.3,14.9,20.2
4,2023,쿠에바스,KT,커터,27.7,138.1,16.1,5.0,1314.1,-50.7,170.0,134.1,22.7,0.25,0.327,25.3,28.0,30.7,16.0,20.0
5,2023,신민혁,NC,커터,27.5,135.5,17.0,0.7,1277.2,-30.7,170.3,133.2,23.4,0.238,0.357,23.4,28.7,30.9,17.0,22.3
6,2023,브랜든,두산,커터,27.1,138.0,10.7,-1.6,915.1,64.9,184.5,131.0,16.7,0.268,0.28,29.8,38.3,23.4,8.5,14.9
7,2023,메디나,KIA,커터,24.0,136.4,7.9,3.0,684.3,-72.9,173.5,122.3,21.5,0.196,0.304,28.6,32.1,14.3,25.0,10.7
8,2023,벤자민,KT,커터,23.7,136.1,11.8,5.2,1030.7,71.9,187.7,137.8,19.6,0.224,0.32,35.5,27.6,22.4,14.5,30.3
9,2023,이건욱,SSG,커터,21.3,135.6,15.8,-3.9,1257.1,-18.9,177.5,133.0,20.4,0.217,0.217,41.7,8.3,33.3,16.7,25.0
10,2023,플럿코,LG,커터,19.8,138.5,17.0,-2.0,1314.0,-43.6,179.9,127.4,22.8,0.287,0.34,28.1,33.3,10.5,28.1,15.8
11,2023,페디,NC,커터,19.4,142.5,11.8,3.9,1010.0,-40.2,177.7,123.6,19.1,0.207,0.233,39.0,24.7,20.8,15.6,5.2
12,2023,고우석,LG,커터,18.9,145.6,9.0,-4.9,866.1,-63.4,160.8,132.1,9.5,0.371,0.429,46.7,40.0,0.0,13.3,20.0
13,2023,윌커슨,롯데,커터,18.4,138.7,16.3,0.2,1253.6,-66.5,174.3,124.7,26.8,0.3,0.5,24.3,32.4,18.9,24.3,18.9
14,2023,류진욱,NC,커터,16.4,139.4,11.1,0.3,897.2,-53.2,165.0,133.7,20.7,0.186,0.186,35.7,28.6,21.4,14.3,21.4
15,2023,맥키니,키움,커터,15.4,135.2,23.7,2.2,1743.0,42.7,176.5,135.8,21.3,0.333,0.548,33.3,40.7,7.4,18.5,33.3
16,2023,이로운,SSG,커터,15.2,136.4,9.5,3.3,887.9,-9.4,173.2,143.3,24.9,0.345,0.69,22.7,27.3,36.4,13.6,27.3
17,2023,나균안,롯데,커터,13.2,135.8,17.9,-2.5,1373.9,-36.0,175.2,137.6,14.1,0.333,0.406,37.8,44.4,8.9,8.9,37.8
18,2023,산체스,KIA,커터,12.6,131.1,5.9,5.6,637.0,-36.6,162.8,131.2,15.5,0.421,0.474,29.4,41.2,23.5,5.9,17.6
19,2023,후라도,키움,커터,11.2,138.2,16.8,1.8,1302.7,-27.5,187.1,131.1,21.6,0.316,0.395,35.1,22.8,21.1,21.1,15.8
20,2023,송명기,NC,커터,10.5,133.4,15.7,-8.6,1307.0,-97.7,152.0,133.9,24.4,0.25,0.341,21.9,37.5,25.0,15.6,21.9
21,2023,이재학,NC,커터,9.1,129.7,14.5,-18.1,1592.7,-65.2,154.0,127.4,31.3,0.333,0.333,11.8,35.3,23.5,29.4,0.0
22,2023,엄상백,KT,커터,8.5,138.4,11.8,-3.6,1028.4,-61.7,148.0,137.5,14.9,0.257,0.343,35.3,35.3,23.5,5.9,35.3
23,2023,장재영,키움,커터,8.3,138.5,6.8,7.6,903.0,-32.9,175.5,130.8,13.1,0.259,0.407,38.5,38.5,23.1,0.0,0.0
24,2023,박세웅,롯데,커터,5.5,134.6,4.4,3.3,520.6,-25.1,172.1,133.7,15.9,0.2,0.267,47.1,11.8,29.4,11.8,23.5
25,2022,조요한,SSG,커터,49.1,147.3,18.4,-8.8,1639.9,-49.3,175.8,133.2,14.1,0.179,0.179,40.0,28.0,24.0,8.0,24.0
26,2022,소형준,KT,커터,35.8,140.0,16.8,2.2,1365.8,-40.1,173.2,129.9,15.3,0.267,0.349,39.8,28.3,22.3,9.6,18.7
27,2022,파노니,KIA,커터,34.3,139.2,19.7,3.7,1502.0,65.6,171.3,129.0,17.6,0.305,0.415,29.5,39.7,14.1,16.7,10.3
28,2022,뷰캐넌,삼성,커터,33.8,139.5,14.6,2.7,1193.0,-55.4,186.5,131.4,10.7,0.311,0.382,45.2,31.5,17.7,5.6,21.0
29,2022,모리만도,SSG,커터,26.9,134.4,12.0,-3.3,987.9,56.9,181.7,131.3,23.5,0.225,0.263,31.5,27.8,22.2,18.5,18.5
30,2022,루친스키,NC,커터,25.7,140.7,10.8,5.0,969.6,-74.5,170.8,130.5,19.7,0.275,0.409,33.0,27.2,24.3,15.5,15.5
31,2022,류진욱,NC,커터,22.9,138.9,15.6,0.6,1233.8,-65.7,166.9,132.5,19.8,0.306,0.417,28.0,36.0,24.0,12.0,24.0
32,2022,벤자민,KT,커터,14.8,135.1,13.5,5.3,1125.0,71.3,189.0,137.0,17.9,0.333,0.491,27.9,39.5,25.6,7.0,25.6
33,2022,나균안,롯데,커터,13.5,135.9,18.8,-5.4,1457.0,-37.5,174.4,134.6,18.3,0.3,0.52,39.5,23.7,21.1,15.8,26.3
34,2022,데스파이네,KT,커터,9.6,139.4,13.5,4.1,1172.9,-39.5,176.2,122.9,24.4,0.415,0.561,34.3,17.1,28.6,20.0,14.3
35,2022,플럿코,LG,커터,8.3,139.1,16.3,0.3,1263.8,-43.6,177.8,132.3,18.1,0.206,0.309,43.6,17.9,25.6,12.8,15.4
36,2022,놀린,KIA,커터,6.5,135.9,14.6,4.6,1145.2,41.4,177.4,133.8,12.6,0.326,0.465,34.8,39.1,21.7,4.3,21.7
37,2021,뷰캐넌,삼성,커터,29.3,139.0,12.8,4.1,1070.6,-60.6,189.0,130.9,7.4,0.238,0.326,57.0,19.0,18.2,5.8,18.2
38,2021,루친스키,NC,커터,26.7,139.0,8.0,3.4,739.7,-77.5,169.9,130.7,17.3,0.23,0.345,35.5,26.4,23.6,14.5,18.2
