,name,id,birthday,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
0,황태환,10082,1952-08-06,1982,OB,30,27,2,0,6,6,5,3,0,86.1,43,37,365,76,,,12,37,2,11,42,0,4,3.86,4.85,1.31,100.9,80.2,1.08,
1,황태환,10082,1952-08-06,1983,OB,31,39,0,0,2,6,6,14,0,105.1,46,31,449,105,,,11,40,2,5,60,0,0,2.65,3.5,1.38,123.6,93.5,2.02,
2,황태환,10082,1952-08-06,1984,OB,32,17,0,0,3,0,2,0,0,40.0,12,11,159,36,,,3,15,0,2,19,0,0,2.48,3.44,1.28,135.7,97.6,0.92,
3,황태환,10082,1952-08-06,1985,OB,33,35,1,1,6,4,8,1,0,97.0,42,38,402,79,,,6,40,2,2,50,0,2,3.53,3.23,1.23,101.1,110.5,2.1,
4,황태환,10082,1952-08-06,1986,OB,34,28,0,0,1,3,3,3,0,73.1,23,20,300,69,,,7,21,1,1,36,0,1,2.45,3.19,1.23,121.1,93.1,1.64,
5,황태환,10082,1952-08-06,1987,OB,35,28,0,0,4,2,3,5,0,65.2,42,40,280,73,,,6,20,1,1,20,2,2,5.48,3.96,1.42,62.7,86.8,0.26,
6,황태환,10082,1952-08-06,1988,OB,36,23,1,0,3,0,2,0,0,49.2,38,36,221,58,,,7,21,0,1,11,0,0,6.52,5.3,1.59,57.7,71.0,-0.15,
7,황태환,10082,1952-08-06,1989,OB,37,2,0,0,0,0,0,0,0,1.0,0,0,6,2,,,0,1,0,0,1,0,0,0.0,3.6,3.0,,101.7,0.04,
8,황기선,10182,1958-06-02,1983,해태,25,19,0,0,3,4,4,1,0,66.1,27,17,265,50,,,3,14,1,7,34,1,2,2.31,2.53,0.97,141.1,128.9,1.74,
9,황기선,10182,1958-06-02,1984,해태,26,38,2,0,6,4,7,1,0,124.1,70,52,536,110,,,10,55,5,9,65,0,5,3.76,3.57,1.33,87.6,92.5,1.17,
10,황기선,10182,1958-06-02,1985,해태,27,17,0,0,2,0,1,0,0,34.2,27,25,159,40,,,3,19,3,2,15,0,1,6.49,4.03,1.7,53.8,86.5,0.07,
11,황기선,10182,1958-06-02,1986,OB,28,11,0,0,1,0,0,0,0,24.1,14,12,108,26,,,1,15,0,2,6,2,1,4.44,4.21,1.69,67.0,70.5,0.09,
12,황기선,10182,1958-06-02,1987,OB,29,2,0,0,0,0,0,0,0,1.2,3,0,9,3,,,0,0,0,0,2,1,1,0.0,0.07,1.8,,5094.7,-0.03,
13,소형준,50030,2001-09-16,2020,KT,19,26,0,0,24,13,6,0,0,133.0,63,57,572,141,23.0,0.0,6,45,0,6,92,0,2,3.86,3.91,1.4,124.6,122.0,2.37,0.3
14,소형준,50030,2001-09-16,2021,KT,20,24,0,0,24,7,7,0,0,119.0,67,55,521,123,17.0,0.0,6,51,1,4,85,0,5,4.16,3.92,1.46,108.0,113.3,1.02,-0.52
15,소형준,50030,2001-09-16,2022,KT,21,27,0,0,27,13,6,0,0,171.1,68,58,703,158,16.0,6.0,8,39,1,5,117,0,6,3.05,3.33,1.15,135.2,122.3,4.28,1.41
16,소형준,50030,2001-09-16,2023,KT,22,3,0,0,3,0,0,0,0,11.0,14,14,59,22,4.0,0.0,1,3,0,3,4,0,2,11.45,5.53,2.27,36.9,75.0,-0.53,-0.52
17,이강준,50036,2001-12-14,2020,KT,19,4,0,0,0,0,0,0,0,5.2,4,4,33,9,1.0,1.0,1,5,0,3,3,0,0,6.35,9.03,2.47,75.6,52.3,0.03,-0.05
18,이강준,50036,2001-12-14,2021,"KT,롯데",20,15,0,0,0,1,0,0,0,8.1,11,10,48,11,1.0,0.0,1,12,0,3,4,0,2,10.8,9.33,2.76,41.9,47.7,-0.43,-0.3
19,이강준,50036,2001-12-14,2021,롯데,20,11,0,0,0,0,0,0,0,5.2,7,6,34,7,1.0,0.0,1,9,0,2,4,0,2,9.53,10.04,2.82,47.7,44.5,-0.26,-0.38
20,이강준,50036,2001-12-14,2021,KT,20,4,0,0,0,1,0,0,0,2.2,4,4,14,4,0.0,0.0,0,3,0,1,0,0,0,13.5,7.83,2.63,33.3,56.4,-0.16,0.08
21,이강준,50036,2001-12-14,2022,롯데,21,13,0,0,0,0,0,0,1,9.2,11,11,57,9,0.0,0.0,1,20,0,0,6,0,1,10.24,9.65,3.0,40.6,42.3,-0.28,-0.15
22,데스파이네,50040,1987-04-04,2020,KT,33,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36.0,1.0,18,68,1,8,152,0,18,4.33,4.3,1.45,110.9,110.7,3.21,0.38
23,데스파이네,50040,1987-04-04,2021,KT,34,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30.0,3.0,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4.01,0.79
24,데스파이네,50040,1987-04-04,2022,KT,35,30,0,0,29,8,12,0,0,163.0,94,82,725,198,27.0,0.0,14,48,2,9,123,1,7,4.53,3.96,1.51,90.9,102.9,0.99,-1.34
25,유영찬,50106,1997-03-07,2023,LG,26,67,0,0,0,6,3,1,12,68.0,27,26,305,55,14.0,1.0,4,40,2,7,55,0,8,3.44,4.58,1.4,118.6,89.5,1.55,-0.12
26,성재헌,50109,1997-12-22,2020,LG,23,4,0,0,0,0,0,0,0,4.1,2,2,20,6,1.0,0.0,0,1,0,1,1,0,0,4.15,4.48,1.62,111.4,106.0,0.09,0.06
27,이민호,50126,2001-08-30,2020,LG,19,20,0,0,16,4,4,0,0,97.2,46,40,434,94,19.0,0.0,5,44,1,10,67,1,4,3.69,4.48,1.41,125.6,104.4,1.79,0.54
28,이민호,50126,2001-08-30,2021,LG,20,25,0,0,22,8,9,0,0,115.0,58,55,477,89,17.0,0.0,13,45,1,14,100,0,6,4.3,4.58,1.17,100.2,93.7,1.35,0.13
29,이민호,50126,2001-08-30,2022,LG,21,26,0,0,26,12,8,0,0,119.1,77,73,540,146,23.0,5.0,14,43,0,7,73,0,9,5.51,4.9,1.58,72.2,80.5,-0.73,-0.9
30,이민호,50126,2001-08-30,2023,LG,22,5,0,0,5,0,2,0,0,19.2,13,11,91,22,4.0,0.0,1,10,0,0,7,0,0,5.03,4.92,1.63,81.1,83.4,-0.2,-0.43
31,김윤식,50157,2000-04-03,2020,LG,20,23,0,0,11,2,4,0,2,67.2,50,47,308,87,16.0,1.0,7,24,0,6,38,1,2,6.25,5.11,1.64,74.0,90.5,-0.28,-1.24
32,김윤식,50157,2000-04-03,2021,LG,21,35,0,0,3,7,4,0,1,66.2,37,32,301,65,9.0,2.0,3,36,2,6,56,2,0,4.32,4.04,1.52,99.8,108.1,0.53,-0.54
33,김윤식,50157,2000-04-03,2022,LG,22,23,0,0,23,8,5,0,0,114.1,46,42,483,125,22.0,1.0,5,27,2,1,81,0,4,3.31,3.17,1.33,120.2,126.4,2.13,1.2
34,김윤식,50157,2000-04-03,2023,LG,23,17,0,0,16,6,4,0,0,74.2,35,35,320,86,13.0,2.0,4,25,0,3,42,0,4,4.22,4.14,1.49,96.7,98.9,1.0,0.4
35,권휘,50203,2000-12-07,2020,두산,20,14,0,0,0,0,1,0,1,13.2,8,8,63,16,2.0,0.0,1,6,0,2,10,0,2,5.27,4.8,1.61,87.9,96.9,0.13,-0.47
