,연도,선수,팀,구종,직구_구사%,직구_구속,직구_상하_무브먼트,직구_좌우_무브먼트,직구_분당_회전수,직구_좌우_릴리스포인트,직구_상하_릴리스포인트,직구_타구_속도,직구_상하_각도,직구_피안타율,직구_피장타율,직구_땅볼%,직구_라인드라이브%,직구_뜬공%,직구_팝플라이%,직구_강한_타구%
0,2023,김서준,삼성,직구,78.2,141.6,24.9,-24.9,2622.8,-60.3,163.5,134.8,27.2,0.32,0.4,13.0,52.2,4.3,30.4,17.4
1,2023,김동규,키움,직구,76.2,144.4,31.0,-12.1,2510.5,-11.7,184.1,131.3,21.3,0.364,0.636,27.3,9.1,54.5,9.1,18.2
2,2023,김승현,KIA,직구,74.7,144.9,22.7,-3.5,1753.2,-58.9,170.4,129.2,24.2,0.257,0.4,30.8,26.9,19.2,23.1,19.2
3,2023,김기훈,KIA,직구,74.2,143.7,33.7,14.1,2722.3,46.4,180.1,136.1,27.4,0.222,0.278,30.2,19.0,22.2,28.6,22.2
4,2023,김재영,한화,직구,71.7,137.4,6.2,-26.4,1973.6,-90.3,111.3,129.5,21.0,0.37,0.63,25.0,35.0,25.0,15.0,20.0
5,2023,김재윤,KT,직구,71.2,142.6,30.9,-14.0,2576.0,-69.4,174.6,134.9,31.0,0.209,0.294,19.2,26.0,24.0,30.8,22.1
6,2023,박세진,KT,직구,69.5,140.2,28.9,27.0,2957.4,41.3,161.4,135.6,20.9,0.29,0.419,33.3,26.7,20.0,20.0,33.3
7,2023,손주영,LG,직구,69.3,143.2,23.9,7.9,1906.1,50.1,187.8,116.3,23.1,0.323,0.323,25.0,50.0,6.3,18.8,0.0
8,2023,박승주,키움,직구,68.5,141.8,33.4,-10.5,2586.7,-30.8,177.1,132.5,29.4,0.255,0.451,19.5,24.4,24.4,31.7,31.7
9,2023,이병헌,두산,직구,68.4,144.2,24.7,11.5,2114.2,38.2,168.6,135.7,22.8,0.254,0.394,24.4,37.8,20.0,17.8,24.4
10,2023,문성현,키움,직구,68.3,141.6,36.1,-2.2,2662.9,-8.8,171.5,134.6,21.8,0.265,0.338,27.1,33.3,25.0,14.6,22.9
11,2023,장현식,KIA,직구,66.9,146.4,27.0,-12.2,2271.2,-44.0,176.4,138.6,21.7,0.298,0.444,25.3,34.9,25.3,14.5,27.7
12,2023,이종민,키움,직구,66.0,137.4,29.7,20.6,2578.9,51.5,177.6,135.3,23.9,0.325,0.425,29.0,29.0,22.6,19.4,35.5
