,연도,선수,팀,구종,포크_구사%,포크_구속,포크_상하_무브먼트,포크_좌우_무브먼트,포크_분당_회전수,포크_좌우_릴리스포인트,포크_상하_릴리스포인트,포크_타구_속도,포크_상하_각도,포크_피안타율,포크_피장타율,포크_땅볼%,포크_라인드라이브%,포크_뜬공%,포크_팝플라이%,포크_강한_타구%
0,2023,서진용,SSG,포크,49.4,129.4,5.1,-14.9,1125.5,-36.0,183.0,135.5,16.0,0.213,0.25,36.4,36.4,18.2,9.1,28.6
1,2023,조민석,NC,포크,47.9,133.7,9.0,-17.7,1425.9,-40.1,170.9,141.9,13.3,0.259,0.352,31.8,45.5,13.6,9.1,45.5
2,2023,구승민,롯데,포크,45.6,132.1,10.2,-23.5,1812.8,-44.4,171.4,132.3,18.4,0.268,0.33,30.2,33.3,23.8,12.7,27.0
3,2023,이용찬,NC,포크,45.2,129.8,2.3,-20.2,1408.1,-57.1,173.2,131.8,14.4,0.267,0.376,43.4,30.2,18.9,7.5,17.0
4,2023,김진성,LG,포크,44.3,125.5,13.1,-15.1,1381.2,1.9,198.3,130.3,19.9,0.143,0.188,31.6,31.6,19.3,17.5,15.8
5,2023,장민재,한화,포크,42.8,123.7,6.9,-5.5,709.5,-56.1,184.1,136.7,22.2,0.282,0.479,21.3,41.0,24.6,13.1,21.3
6,2023,김원중,롯데,포크,42.2,132.7,2.2,-18.8,1360.6,-54.8,185.9,131.9,16.4,0.204,0.272,31.6,47.4,10.5,10.5,26.3
7,2023,이상동,KT,포크,41.0,128.3,16.0,-13.5,1490.0,-46.9,175.7,131.4,25.5,0.213,0.333,21.9,40.6,18.8,18.8,12.5
8,2023,최동환,LG,포크,36.8,128.6,12.1,-13.1,1284.8,-39.6,181.9,128.0,19.0,0.232,0.261,31.9,34.0,17.0,17.0,14.9
9,2023,김민우,한화,포크,36.3,131.0,13.3,1.5,1052.5,-30.1,187.2,134.1,16.2,0.284,0.441,35.9,34.4,17.2,12.5,20.3
10,2023,박상원,한화,포크,36.3,133.7,0.1,-1.7,477.6,-54.5,181.0,128.8,9.5,0.202,0.238,43.8,43.8,9.4,3.1,28.1
11,2023,나균안,롯데,포크,35.6,129.4,8.6,-14.7,1248.5,-34.8,175.7,132.3,19.9,0.259,0.358,28.7,32.7,25.7,12.9,17.8
12,2023,조이현,KT,포크,31.8,126.4,11.7,-9.9,1088.6,-19.6,181.0,137.4,18.9,0.283,0.383,27.8,36.1,22.2,13.9,22.2
13,2023,이태양,한화,포크,31.1,125.8,11.4,-10.1,1115.1,-18.5,189.2,134.3,16.8,0.289,0.43,33.3,36.7,20.0,10.0,16.7
14,2023,윤명준,롯데,포크,30.1,131.3,12.5,-21.8,1768.1,-50.8,175.7,129.0,21.7,0.188,0.375,25.0,37.5,25.0,12.5,12.5
15,2023,김규연,한화,포크,29.4,129.3,7.9,-15.4,1225.2,-41.6,177.8,130.0,1.1,0.0,0.0,60.0,40.0,0.0,0.0,20.0
16,2023,류진욱,NC,포크,29.0,137.5,6.9,-21.7,1694.1,-45.2,166.7,134.8,8.2,0.155,0.19,48.1,37.0,11.1,3.7,33.3
17,2023,이인복,롯데,포크,29.0,130.4,3.8,-18.1,1309.0,-30.2,181.7,136.7,17.0,0.214,0.238,47.4,21.1,15.8,15.8,26.3
18,2023,김태훈,삼성,포크,29.0,132.9,8.8,-13.8,1237.8,-20.9,183.9,134.0,11.6,0.233,0.397,38.6,38.6,15.9,6.8,15.9
19,2023,알칸타라,두산,포크,28.5,134.6,7.8,-15.6,1298.0,-32.2,178.3,133.2,17.9,0.207,0.308,30.3,36.7,25.7,7.3,24.8
20,2023,김도규,롯데,포크,27.2,125.1,6.7,-14.6,1118.1,-14.1,198.4,132.4,9.5,0.423,0.462,46.7,40.0,6.7,6.7,20.0
21,2023,황동재,삼성,포크,26.5,126.7,16.1,-15.8,1578.1,-49.3,185.1,136.5,30.1,0.313,0.719,27.3,27.3,9.1,36.4,18.2
22,2023,노경은,SSG,포크,25.9,131.2,16.2,-18.6,1739.5,-21.4,187.1,127.4,16.0,0.226,0.298,28.6,34.3,34.3,2.9,14.3
23,2023,김시훈,NC,포크,25.2,133.8,13.4,-18.7,1641.2,-34.1,185.6,128.8,14.4,0.26,0.301,34.3,42.9,17.1,5.7,17.1
24,2023,구창모,NC,포크,23.7,131.7,12.3,21.0,1697.6,67.5,176.9,131.9,7.7,0.226,0.283,54.8,25.8,16.1,3.2,19.4
25,2023,이정용,LG,포크,20.5,129.3,12.5,-16.3,1469.6,-33.9,187.3,127.8,18.7,0.224,0.289,37.8,22.2,22.2,17.8,8.9
26,2023,김명신,두산,포크,19.5,127.2,9.5,-22.8,1686.9,-33.3,177.1,131.5,21.7,0.246,0.351,28.9,31.6,18.4,21.1,18.4
27,2023,송명기,NC,포크,19.3,131.7,9.2,-20.3,1581.0,-89.3,155.4,132.8,13.8,0.244,0.39,40.7,40.7,13.0,5.6,18.5
28,2023,홍정우,삼성,포크,18.9,130.0,18.2,-17.1,1737.0,-47.5,181.1,136.1,10.7,0.314,0.486,53.6,21.4,14.3,10.7,28.6
29,2023,정해영,KIA,포크,18.4,133.9,18.0,-14.2,1638.3,-55.7,187.0,134.9,16.0,0.2,0.225,38.5,26.9,15.4,19.2,23.1
30,2023,유영찬,LG,포크,17.2,135.2,12.4,-22.9,1894.5,-31.5,177.4,135.7,14.4,0.135,0.135,38.9,33.3,11.1,16.7,22.2
31,2023,김영규,NC,포크,17.1,133.4,14.4,12.8,1433.5,52.6,189.6,136.4,16.9,0.161,0.161,42.9,21.4,21.4,14.3,28.6
32,2023,정찬헌,키움,포크,16.6,126.0,7.5,-14.0,1105.2,-27.9,179.9,141.4,14.4,0.302,0.372,37.5,45.8,8.3,8.3,25.0
33,2023,임창민,키움,포크,16.5,132.9,18.3,-20.1,1910.4,-60.7,178.7,132.8,19.6,0.316,0.316,22.2,48.1,22.2,7.4,14.8
34,2023,김상수,롯데,포크,16.3,127.0,2.8,-14.5,1063.5,-59.5,175.2,133.6,13.2,0.257,0.371,41.7,33.3,16.7,8.3,16.7
35,2023,김동주,두산,포크,16.0,133.6,9.4,-14.7,1327.1,-57.1,200.8,133.6,18.7,0.219,0.297,30.0,33.3,26.7,10.0,23.3
36,2023,오승환,삼성,포크,15.0,135.5,16.8,-22.6,2029.8,-64.4,167.6,132.5,13.1,0.057,0.086,40.0,40.0,13.3,6.7,13.3
37,2023,박세웅,롯데,포크,12.2,129.3,7.5,-12.3,1039.3,-27.1,169.2,127.1,17.6,0.155,0.172,39.3,25.0,17.9,17.9,3.6
38,2023,최승용,두산,포크,10.9,128.9,11.5,15.5,1391.5,57.0,179.6,142.3,10.3,0.164,0.197,48.5,30.3,15.2,6.1,24.2
39,2023,정철원,두산,포크,10.0,129.4,11.5,-12.2,1268.5,-13.2,187.3,127.7,18.8,0.135,0.135,42.1,21.1,26.3,10.5,5.3
40,2023,문승원,SSG,포크,6.7,132.3,14.1,-19.8,1723.4,-36.8,167.6,127.8,3.8,0.276,0.345,50.0,50.0,0.0,0.0,12.5
41,2022,이용찬,NC,포크,46.6,130.7,3.6,-19.4,1386.2,-59.6,172.8,129.8,16.3,0.202,0.258,37.9,33.3,15.2,13.6,16.7
42,2022,김원중,롯데,포크,46.4,132.1,5.1,-17.7,1313.6,-51.3,186.1,132.2,14.2,0.17,0.295,42.4,27.3,18.2,12.1,15.2
43,2022,서진용,SSG,포크,43.6,130.4,6.1,-12.6,1038.9,-30.4,181.2,137.5,13.1,0.221,0.31,43.1,32.8,12.1,12.1,27.6
44,2022,구승민,롯데,포크,42.6,131.9,9.9,-20.7,1633.6,-41.7,168.6,133.9,14.9,0.204,0.252,34.7,38.8,18.4,8.2,30.6
45,2022,장민재,한화,포크,42.3,123.3,7.4,-4.1,670.9,-58.9,183.9,133.0,15.0,0.205,0.325,37.1,36.4,18.9,7.7,17.5
46,2022,김진성,LG,포크,40.6,125.9,10.3,-15.7,1318.7,-0.1,196.3,126.9,21.3,0.202,0.287,31.4,21.6,35.3,11.8,13.7
47,2022,김도규,롯데,포크,33.3,125.9,6.0,-7.7,753.3,-11.9,200.2,133.9,17.0,0.286,0.39,27.5,42.5,20.0,10.0,15.0
48,2022,이태양,SSG,포크,32.5,127.6,16.6,-16.7,1635.1,-21.4,188.7,136.3,15.6,0.239,0.342,39.8,32.7,15.3,12.2,18.4
49,2022,나균안,롯데,포크,31.9,128.7,8.8,-14.4,1212.8,-36.5,175.5,133.8,13.0,0.246,0.339,40.0,36.3,20.0,3.8,21.3
50,2022,홍정우,삼성,포크,30.2,129.0,16.9,-15.2,1601.1,-50.5,179.1,131.2,26.4,0.167,0.267,23.5,17.6,35.3,23.5,11.8
51,2022,김명신,두산,포크,29.6,129.6,5.6,-20.9,1516.2,-32.5,172.7,132.8,12.9,0.19,0.329,44.1,29.4,20.6,5.9,20.6
52,2022,황동재,삼성,포크,29.2,126.4,14.1,-18.3,1596.0,-41.1,187.9,139.6,16.8,0.315,0.528,30.4,37.5,25.0,7.1,28.6
53,2022,김민우,한화,포크,28.5,131.4,14.8,1.6,1119.9,-28.5,187.3,132.7,15.2,0.167,0.259,42.3,26.1,18.0,13.5,22.5
54,2022,임창민,두산,포크,28.5,133.2,15.8,-19.1,1817.7,-55.9,180.0,138.0,12.4,0.233,0.302,47.8,30.4,13.0,8.7,21.7
55,2022,김태훈,키움,포크,27.4,133.4,10.1,-11.9,1183.2,-23.2,183.5,135.0,15.6,0.204,0.241,37.0,29.6,22.2,11.1,22.2
56,2022,이승현,삼성,포크,19.9,130.4,14.2,-10.6,1314.4,-6.6,184.4,127.9,22.8,0.276,0.345,21.1,42.1,15.8,21.1,15.8
57,2022,류진욱,NC,포크,17.6,136.7,10.8,-17.8,1574.3,-60.7,170.7,131.3,11.2,0.268,0.293,40.0,40.0,20.0,0.0,6.7
