,연도,선수,팀,구종,슬라이더_구사%,슬라이더_구속,슬라이더_상하_무브먼트,슬라이더_좌우_무브먼트,슬라이더_분당_회전수,슬라이더_좌우_릴리스포인트,슬라이더_상하_릴리스포인트,슬라이더_타구_속도,슬라이더_상하_각도,슬라이더_피안타율,슬라이더_피장타율,슬라이더_땅볼%,슬라이더_라인드라이브%,슬라이더_뜬공%,슬라이더_팝플라이%,슬라이더_강한_타구%
0,2023,이준영,KIA,슬라이더,73.1,131.1,8.3,-0.2,674.5,31.6,185.5,127.5,24.6,0.218,0.267,22.6,38.7,17.7,21.0,9.7
1,2023,임준섭,SSG,슬라이더,54.4,127.3,-1.2,-3.3,430.7,36.8,192.1,137.5,6.8,0.296,0.338,51.3,35.9,12.8,0.0,25.6
2,2023,고효준,SSG,슬라이더,51.7,129.9,2.2,-0.5,443.0,51.9,172.8,133.9,19.1,0.265,0.345,31.0,31.0,26.8,11.3,18.3
3,2023,김영현,KT,슬라이더,49.4,130.4,11.4,5.3,946.7,-31.5,167.6,136.3,17.6,0.2,0.277,31.4,28.6,31.4,8.6,20.0
4,2023,진해수,LG,슬라이더,47.3,126.7,2.7,-3.0,525.1,55.5,194.2,134.8,18.6,0.267,0.367,23.5,47.1,23.5,5.9,17.6
5,2023,김성진,키움,슬라이더,46.7,129.3,11.6,5.7,974.1,-82.8,164.1,132.4,25.6,0.179,0.321,24.5,30.6,20.4,24.5,22.4
6,2023,하준영,NC,슬라이더,45.3,133.2,9.8,0.4,761.7,65.9,172.7,126.9,23.5,0.253,0.358,38.9,14.8,22.2,24.1,11.1
7,2023,최지광,삼성,슬라이더,45.0,134.2,8.9,3.6,781.2,-57.3,170.1,136.0,30.5,0.25,0.429,14.3,33.3,28.6,23.8,33.3
8,2023,이명종,키움,슬라이더,43.7,122.2,-0.5,3.3,423.0,-44.2,164.0,136.8,15.1,0.322,0.467,37.5,31.3,21.9,9.4,20.3
9,2023,김민,KT,슬라이더,43.7,129.4,-0.9,4.6,507.7,-52.0,177.5,138.0,11.0,0.217,0.3,44.4,37.0,14.8,3.7,37.0
10,2023,강재민,한화,슬라이더,42.9,123.0,9.0,17.6,1303.0,-64.6,114.5,126.7,30.6,0.222,0.319,19.0,23.8,33.3,23.8,4.8
11,2023,김선기,키움,슬라이더,42.7,131.0,13.1,9.2,1164.5,-55.0,171.5,131.0,22.4,0.259,0.388,22.6,41.5,20.8,15.1,13.2
12,2023,최지강,두산,슬라이더,42.5,133.8,3.2,2.9,478.1,-57.1,161.5,133.5,21.3,0.195,0.268,28.1,31.3,28.1,12.5,9.4
13,2023,하영민,키움,슬라이더,42.3,137.5,13.8,3.4,1119.0,-45.2,163.9,131.0,23.9,0.218,0.322,29.8,29.8,19.1,21.3,10.6
14,2023,전상현,KIA,슬라이더,41.7,134.6,14.7,1.4,1101.6,-32.7,175.9,131.2,22.2,0.145,0.157,26.0,30.0,26.0,18.0,10.0
15,2023,이영하,두산,슬라이더,40.1,135.4,9.3,1.9,757.3,-44.1,199.8,126.8,22.3,0.18,0.26,26.1,34.8,21.7,17.4,4.3
16,2023,강효종,LG,슬라이더,39.0,133.9,1.2,1.3,423.3,-62.0,172.5,134.9,17.7,0.286,0.405,25.0,43.8,25.0,6.3,28.1
17,2023,홍건희,두산,슬라이더,38.9,134.2,5.6,1.4,549.1,-53.4,182.6,134.6,21.9,0.202,0.247,36.6,26.8,14.6,22.0,24.4
18,2023,김동주,두산,슬라이더,38.7,132.6,7.9,-1.4,713.3,-75.3,185.5,133.1,20.8,0.239,0.318,33.3,25.5,25.5,15.7,19.6
19,2023,임정호,NC,슬라이더,38.5,129.1,13.8,1.7,1041.7,45.7,152.2,129.3,21.4,0.213,0.35,25.5,31.4,29.4,13.7,19.6
20,2023,김범수,한화,슬라이더,38.0,136.3,5.6,4.7,700.1,44.3,164.5,137.8,14.5,0.243,0.301,34.0,38.0,20.0,8.0,24.0
21,2023,앤더슨,KIA,슬라이더,37.9,136.9,5.9,8.1,777.3,-62.9,184.4,133.8,21.3,0.248,0.408,29.9,31.2,23.4,15.6,16.9
22,2023,이상민,삼성,슬라이더,37.3,125.0,3.2,1.0,425.5,61.7,170.9,133.5,21.4,0.37,0.593,26.7,26.7,33.3,13.3,26.7
23,2023,임창민,키움,슬라이더,37.2,131.2,10.9,0.5,825.7,-64.0,178.1,130.7,22.0,0.268,0.268,19.4,47.2,13.9,19.4,19.4
24,2023,최채흥,삼성,슬라이더,36.5,127.9,7.6,-3.6,662.5,69.4,184.9,129.2,22.2,0.3,0.438,25.5,36.4,21.8,16.4,21.8
25,2023,김광현,SSG,슬라이더,36.4,130.8,8.0,-7.9,881.9,44.4,175.0,130.1,24.7,0.257,0.362,24.5,28.8,27.3,19.4,19.4
26,2023,한승주,한화,슬라이더,36.3,126.5,2.6,11.0,962.4,-55.5,173.4,129.0,20.8,0.163,0.25,29.3,31.0,20.7,19.0,15.5
27,2023,백승건,SSG,슬라이더,35.8,130.6,8.5,-5.5,782.7,49.1,172.0,130.3,21.6,0.255,0.468,29.6,33.3,14.8,22.2,14.8
28,2023,배제성,KT,슬라이더,35.4,128.1,11.7,6.5,996.1,-24.7,188.0,133.9,18.4,0.271,0.355,38.5,26.9,16.2,18.5,19.2
29,2023,문승원,SSG,슬라이더,35.4,135.0,9.1,-1.8,777.6,-50.5,167.3,137.3,12.9,0.291,0.364,42.6,28.7,21.8,6.9,28.7
30,2023,김영규,NC,슬라이더,35.0,134.7,10.1,0.8,803.9,56.3,185.6,133.6,12.3,0.217,0.315,39.6,35.8,11.3,13.2,18.9
31,2023,이민호,LG,슬라이더,34.4,132.5,11.1,2.2,899.4,-54.9,165.2,128.5,31.5,0.185,0.222,6.7,46.7,20.0,26.7,20.0
32,2023,윤영철,KIA,슬라이더,34.2,128.2,10.1,0.4,749.5,64.8,178.9,132.7,20.3,0.217,0.344,30.0,31.8,24.5,13.6,19.1
33,2023,김서현,한화,슬라이더,34.0,133.7,-2.4,7.8,721.2,-77.5,158.3,125.6,11.4,0.167,0.167,50.0,30.0,10.0,10.0,10.0
34,2023,남지민,한화,슬라이더,33.8,129.8,0.1,11.3,847.5,-35.8,188.0,128.4,17.2,0.367,0.429,35.5,29.0,19.4,16.1,9.7
35,2023,태너,NC,슬라이더,33.3,124.8,5.7,-10.1,904.7,76.8,180.5,127.7,25.3,0.151,0.194,16.1,35.7,28.6,19.6,10.7
36,2023,원종현,키움,슬라이더,33.0,132.2,9.8,8.1,950.4,-52.6,151.1,136.0,17.2,0.522,0.913,22.2,50.0,16.7,11.1,38.9
37,2023,반즈,롯데,슬라이더,32.8,128.6,1.3,-8.0,705.3,48.8,179.5,130.5,17.0,0.203,0.237,28.2,39.8,22.3,9.7,16.5
38,2023,장원준,두산,슬라이더,32.5,127.0,5.8,2.9,495.0,53.3,169.5,135.7,21.5,0.269,0.385,35.5,29.0,12.9,22.6,22.6
39,2023,백승현,LG,슬라이더,32.3,138.2,13.2,1.5,1057.1,-19.6,172.1,141.6,20.8,0.163,0.204,30.0,35.0,20.0,15.0,50.0
40,2023,김대우,삼성,슬라이더,32.3,121.2,5.1,1.3,442.1,-71.2,56.0,133.5,29.6,0.226,0.429,19.3,26.3,29.8,24.6,19.3
41,2023,진승현,롯데,슬라이더,32.2,129.1,9.0,1.9,705.2,-19.1,181.0,122.9,22.7,0.16,0.16,46.2,7.7,23.1,23.1,7.7
42,2023,황동하,KIA,슬라이더,32.2,131.1,13.5,-4.3,1034.4,-31.5,172.1,129.4,29.3,0.231,0.385,14.3,33.3,23.8,28.6,9.5
43,2023,박승주,키움,슬라이더,31.5,132.3,13.4,1.5,987.1,-33.1,178.8,132.0,20.9,0.261,0.391,40.0,26.7,13.3,20.0,6.7
44,2023,최원태,LG,슬라이더,31.1,136.9,16.1,0.2,1218.5,-37.9,164.0,134.2,17.4,0.327,0.447,34.8,32.1,25.0,8.0,27.7
45,2023,최원준,두산,슬라이더,30.4,126.7,9.6,-4.0,807.0,-87.2,106.3,133.0,26.2,0.264,0.418,19.8,30.2,27.9,22.1,20.9
46,2023,김기중,한화,슬라이더,30.1,130.2,11.3,7.2,1029.4,44.8,185.6,134.0,24.3,0.293,0.467,22.4,32.7,26.5,18.4,20.4
47,2023,이선우,KT,슬라이더,29.8,119.2,2.7,12.1,849.4,-86.1,111.0,132.1,20.4,0.22,0.366,17.9,28.6,50.0,3.6,14.3
48,2023,오원석,SSG,슬라이더,29.7,130.6,11.5,0.1,923.1,63.7,169.9,131.0,21.1,0.278,0.35,29.5,35.7,17.8,17.1,14.7
49,2023,최승용,두산,슬라이더,29.5,130.2,10.7,-0.3,809.6,59.8,176.0,134.8,19.7,0.264,0.336,34.1,29.5,19.3,17.0,19.3
50,2023,이승현,삼성,슬라이더,29.5,126.9,1.5,-1.2,440.9,45.9,196.0,132.1,18.5,0.205,0.295,35.7,28.6,21.4,14.3,7.1
51,2023,이용준,NC,슬라이더,28.8,125.4,2.3,0.8,383.6,-57.8,184.2,129.3,17.9,0.215,0.338,35.9,28.2,25.6,10.3,17.9
52,2023,문성현,키움,슬라이더,28.6,130.1,11.7,7.2,976.7,-20.0,171.8,132.8,12.1,0.211,0.316,40.7,37.0,11.1,11.1,22.2
53,2023,박신지,두산,슬라이더,28.5,129.5,4.7,-1.9,475.5,-65.4,179.0,135.4,25.2,0.231,0.269,23.5,23.5,35.3,17.6,17.6
54,2023,최지민,KIA,슬라이더,28.2,131.7,7.3,4.1,650.5,58.0,169.2,138.5,14.5,0.163,0.204,39.1,34.8,13.0,13.0,21.7
55,2023,노경은,SSG,슬라이더,28.0,135.5,14.5,0.9,1122.1,-29.0,187.1,130.2,17.0,0.247,0.355,30.3,34.8,19.7,15.2,15.2
56,2023,김대유,KIA,슬라이더,27.9,127.1,10.9,5.2,855.1,90.7,146.3,124.4,19.6,0.241,0.379,20.0,35.0,40.0,5.0,5.0
57,2023,윤석원,키움,슬라이더,27.8,125.0,8.0,-1.9,672.2,41.5,181.0,139.4,14.9,0.387,0.516,34.8,34.8,21.7,8.7,30.4
58,2023,스트레일리,롯데,슬라이더,27.4,130.5,4.1,4.6,544.6,-69.0,183.3,133.4,21.0,0.194,0.194,39.3,26.2,8.2,26.2,16.4
59,2023,오승환,삼성,슬라이더,27.3,133.3,13.8,-1.1,1035.3,-73.0,164.8,135.0,29.1,0.219,0.484,14.3,37.1,25.7,22.9,22.9
60,2023,이승현,삼성,슬라이더,27.2,130.8,14.6,2.2,1086.0,-24.5,187.2,131.7,21.0,0.3,0.367,34.8,32.6,17.4,15.2,17.4
61,2023,백정현,삼성,슬라이더,27.2,124.4,12.3,1.0,892.9,49.4,175.4,134.5,19.9,0.264,0.341,36.5,27.0,23.8,12.7,15.9
62,2023,이병헌,두산,슬라이더,27.1,132.0,2.8,-4.3,551.7,44.0,168.8,132.3,20.5,0.233,0.333,13.3,46.7,40.0,0.0,20.0
63,2023,이형범,두산,슬라이더,26.9,137.5,10.7,-0.5,898.9,-27.7,167.2,128.2,17.7,0.25,0.393,40.0,25.0,25.0,10.0,30.0
64,2023,정철원,두산,슬라이더,26.9,131.8,0.5,0.5,393.9,-18.2,189.3,128.2,18.9,0.246,0.319,38.6,25.0,15.9,20.5,13.6
65,2023,안우진,키움,슬라이더,26.2,142.2,17.0,-0.6,1376.5,-19.4,174.5,133.6,17.9,0.178,0.289,35.4,29.2,24.6,10.8,21.5
66,2023,최성영,NC,슬라이더,26.1,125.4,10.1,0.2,729.1,69.3,173.7,133.9,19.4,0.299,0.373,23.9,37.0,30.4,8.7,23.9
67,2023,주현상,한화,슬라이더,25.9,134.6,10.6,7.0,1018.1,-55.8,173.1,130.5,26.0,0.148,0.167,25.9,25.9,25.9,22.2,14.8
68,2023,유영찬,LG,슬라이더,25.8,134.9,8.6,-0.1,756.2,-33.5,179.4,128.3,18.0,0.14,0.2,38.1,28.6,19.0,14.3,14.3
69,2023,원태인,삼성,슬라이더,25.3,132.6,13.1,3.1,1016.3,-42.2,172.4,132.3,19.2,0.299,0.381,20.7,44.8,23.0,11.5,18.4
70,2023,정찬헌,키움,슬라이더,25.0,127.7,13.2,4.3,1018.2,-32.4,173.7,134.9,20.5,0.322,0.424,34.7,30.6,18.4,16.3,18.4
71,2023,송영진,SSG,슬라이더,24.9,130.2,1.9,7.0,658.3,-38.2,180.9,137.8,19.8,0.25,0.409,24.0,36.0,32.0,8.0,16.0
72,2023,장현식,KIA,슬라이더,24.5,133.4,10.9,1.2,840.1,-45.1,179.9,128.1,20.8,0.222,0.333,18.2,39.4,36.4,6.1,15.2
73,2023,한승혁,한화,슬라이더,24.3,135.0,16.8,2.9,1289.2,-39.0,177.7,127.8,23.0,0.294,0.529,31.8,22.7,18.2,27.3,4.5
74,2023,김도규,롯데,슬라이더,24.2,126.0,6.9,1.3,596.3,-24.9,193.9,136.3,16.9,0.2,0.32,31.3,31.3,31.3,6.3,18.8
75,2023,와이드너,삼성,슬라이더,24.1,128.8,6.0,13.4,1074.7,-64.8,161.5,127.1,24.5,0.265,0.373,24.6,21.1,40.4,14.0,12.3
76,2023,구창모,NC,슬라이더,23.9,132.1,11.4,1.7,867.3,71.5,174.8,131.7,13.1,0.195,0.293,52.4,23.8,23.8,0.0,14.3
77,2023,곽빈,두산,슬라이더,23.7,136.0,8.5,-6.0,818.7,-48.8,173.1,137.1,21.4,0.184,0.286,26.0,24.0,38.0,12.0,24.0
78,2023,심재민,롯데,슬라이더,23.5,127.9,3.2,-2.4,590.1,34.5,181.3,136.2,16.6,0.327,0.364,42.9,28.6,16.7,11.9,21.4
79,2023,플럿코,LG,슬라이더,23.4,125.5,5.2,12.3,965.2,-43.6,181.6,126.5,27.8,0.216,0.315,22.4,31.0,17.2,29.3,10.3
80,2023,양창섭,삼성,슬라이더,23.4,130.3,8.9,0.9,694.3,-45.5,175.1,130.8,23.3,0.417,0.75,28.6,28.6,19.0,23.8,23.8
81,2023,벤자민,KT,슬라이더,23.3,126.9,-1.3,-12.0,885.6,81.3,186.5,131.2,15.9,0.185,0.225,39.3,32.6,15.7,12.4,13.5
82,2023,박세웅,롯데,슬라이더,23.2,133.6,4.8,5.9,815.2,-28.2,170.1,131.5,21.4,0.25,0.308,30.1,38.4,11.0,20.5,12.3
83,2023,김강률,두산,슬라이더,23.2,132.9,4.7,4.1,564.7,-25.6,184.7,142.1,14.7,0.176,0.353,44.4,22.2,22.2,11.1,22.2
84,2023,장재영,키움,슬라이더,23.1,133.3,-0.4,10.0,853.8,-35.9,175.7,131.7,16.1,0.259,0.352,38.7,35.5,12.9,12.9,29.0
85,2023,손동현,KT,슬라이더,23.0,125.6,4.6,6.2,672.1,-35.3,165.3,141.2,12.6,0.289,0.447,46.4,21.4,25.0,7.1,35.7
86,2023,최이준,롯데,슬라이더,22.6,131.9,4.8,0.7,510.2,-37.0,172.9,135.2,17.6,0.2,0.3,21.4,35.7,42.9,0.0,28.6
87,2023,황동재,삼성,슬라이더,22.5,129.6,5.9,-5.2,678.9,-50.7,184.5,141.7,23.0,0.28,0.52,37.5,0.0,50.0,12.5,50.0
88,2023,수아레즈,삼성,슬라이더,22.2,135.3,14.2,1.0,1132.3,-41.0,180.1,127.5,18.6,0.183,0.268,34.1,22.7,25.0,18.2,9.1
89,2023,박정수,두산,슬라이더,22.0,130.0,8.5,-3.8,782.6,-64.6,134.6,128.9,25.1,0.276,0.31,21.1,31.6,26.3,21.1,15.8
90,2023,산체스,한화,슬라이더,21.7,136.0,4.1,1.5,618.5,57.5,170.9,133.0,15.0,0.254,0.458,35.9,39.1,17.2,7.8,18.8
91,2023,우규민,삼성,슬라이더,21.5,128.5,7.3,-7.2,784.1,-94.9,111.9,123.6,32.2,0.455,0.591,16.7,44.4,11.1,27.8,11.1
92,2023,이의리,KIA,슬라이더,20.8,132.3,4.2,2.1,497.8,65.6,176.1,131.7,19.2,0.184,0.235,34.1,31.8,27.3,6.8,15.9
93,2023,김윤식,LG,슬라이더,19.8,125.5,4.6,2.8,586.4,42.3,179.7,136.1,20.8,0.389,0.611,32.5,30.0,25.0,12.5,15.0
94,2023,김재윤,KT,슬라이더,19.8,124.0,2.1,5.8,527.7,-69.3,177.6,130.6,12.3,0.283,0.283,35.5,48.4,6.5,9.7,12.9
95,2023,쿠에바스,KT,슬라이더,19.7,127.7,5.5,22.1,1565.4,-53.4,172.5,122.9,28.0,0.172,0.183,19.6,25.5,31.4,23.5,2.0
96,2023,브랜든,두산,슬라이더,19.4,130.1,6.1,-13.3,1077.6,74.2,177.2,125.4,19.4,0.181,0.301,35.1,29.7,18.9,16.2,13.5
97,2023,엘리아스,SSG,슬라이더,19.1,125.8,-3.1,-12.7,943.5,59.9,177.1,127.4,23.8,0.18,0.28,28.6,31.0,16.7,23.8,9.5
98,2023,함덕주,LG,슬라이더,19.0,123.0,7.7,-3.8,733.9,57.6,180.8,127.0,16.8,0.091,0.121,26.7,40.0,20.0,13.3,20.0
99,2023,홍정우,삼성,슬라이더,18.7,128.4,10.2,3.8,807.5,-52.9,180.0,133.7,30.0,0.25,0.4,13.3,20.0,46.7,20.0,6.7
100,2023,양현종,KIA,슬라이더,18.6,127.9,2.5,-3.3,443.5,56.4,181.4,131.2,16.0,0.197,0.248,34.7,34.7,20.0,10.7,12.0
101,2023,이태양,한화,슬라이더,18.4,130.8,17.7,3.4,1335.3,-21.9,185.9,129.0,22.8,0.277,0.446,24.5,36.7,14.3,24.5,10.2
102,2023,임기영,KIA,슬라이더,18.3,128.7,10.0,-5.5,821.5,-80.2,140.1,127.4,26.6,0.25,0.375,30.0,17.5,27.5,25.0,15.0
103,2023,김기훈,KIA,슬라이더,18.3,129.1,9.0,1.1,737.6,49.2,184.3,128.9,20.6,0.368,0.474,28.6,35.7,21.4,14.3,0.0
104,2023,장시환,한화,슬라이더,18.3,137.2,15.9,2.8,1240.8,-48.6,173.1,127.5,24.5,0.259,0.407,30.0,25.0,20.0,25.0,20.0
105,2023,알칸타라,두산,슬라이더,18.2,135.3,6.9,4.4,671.9,-32.0,182.0,135.6,19.3,0.285,0.385,34.1,34.1,16.5,15.3,21.2
106,2023,김진욱,롯데,슬라이더,18.1,126.8,2.4,0.6,409.2,40.9,180.9,142.2,16.0,0.286,0.286,20.0,60.0,20.0,0.0,20.0
107,2023,정해영,KIA,슬라이더,18.0,130.9,14.8,5.4,1178.9,-56.8,189.1,132.6,20.2,0.31,0.345,27.3,40.9,22.7,9.1,18.2
108,2023,김명신,두산,슬라이더,17.8,126.1,3.3,-0.6,413.7,-32.7,176.5,132.8,22.5,0.286,0.429,28.0,36.0,20.0,16.0,24.0
109,2023,이정용,LG,슬라이더,17.8,131.8,9.4,1.5,754.1,-39.4,183.0,136.9,9.5,0.412,0.485,40.9,47.7,2.3,9.1,25.0
110,2023,이우찬,LG,슬라이더,17.8,130.9,4.8,-2.5,630.8,54.5,181.8,124.4,11.4,0.263,0.263,50.0,37.5,0.0,12.5,12.5
111,2023,이재익,삼성,슬라이더,17.0,123.8,-0.5,-2.9,470.0,48.2,179.9,137.2,11.1,0.5,0.591,47.4,26.3,21.1,5.3,26.3
112,2023,윌커슨,롯데,슬라이더,16.8,132.3,4.5,3.4,482.8,-63.0,176.7,135.4,20.8,0.191,0.213,31.3,37.5,18.8,12.5,21.9
113,2023,문동주,한화,슬라이더,16.3,139.3,10.3,7.8,1049.3,-35.4,184.8,133.6,16.5,0.264,0.417,33.3,38.9,13.9,13.9,22.2
114,2023,박치국,두산,슬라이더,15.8,129.4,-0.8,4.8,487.0,-63.4,122.4,132.7,20.4,0.316,0.447,29.2,33.3,25.0,12.5,25.0
115,2023,김재웅,키움,슬라이더,15.6,130.6,10.5,-4.1,887.5,11.0,171.8,134.6,15.0,0.205,0.227,40.0,36.0,16.0,8.0,24.0
116,2023,송명기,NC,슬라이더,15.5,130.8,16.1,-3.4,1193.2,-89.6,152.1,133.7,26.2,0.25,0.417,21.7,28.3,30.4,19.6,26.1
117,2023,산체스,KIA,슬라이더,15.1,124.0,-0.6,22.9,1498.3,-43.8,158.5,128.1,18.6,0.255,0.392,20.0,48.0,20.0,12.0,12.0
118,2023,메디나,KIA,슬라이더,14.9,127.9,1.1,18.6,1266.2,-79.4,173.9,130.5,14.7,0.2,0.3,36.8,36.8,21.1,5.3,15.8
119,2023,이지강,LG,슬라이더,14.8,132.0,8.7,0.2,709.7,-29.3,169.2,134.5,18.1,0.27,0.432,39.1,26.1,21.7,13.0,17.4
120,2023,켈리,LG,슬라이더,14.7,138.5,12.2,-0.9,977.4,-29.7,194.6,134.0,17.1,0.193,0.23,39.1,26.1,21.7,13.0,17.4
121,2023,이로운,SSG,슬라이더,14.1,128.9,-0.9,-0.6,406.2,-12.0,175.1,131.4,23.1,0.268,0.366,25.0,25.0,40.0,10.0,20.0
122,2023,김시훈,NC,슬라이더,12.9,134.2,9.7,4.3,799.4,-39.0,183.2,141.2,16.5,0.333,0.619,27.3,45.5,18.2,9.1,45.5
123,2023,박영현,KT,슬라이더,12.5,126.7,3.5,6.4,600.5,-41.9,156.6,132.3,20.4,0.318,0.455,29.0,25.8,32.3,12.9,16.1
124,2023,정우영,LG,슬라이더,12.1,134.7,-4.5,7.3,999.4,-85.2,131.0,120.0,14.9,0.31,0.379,35.0,30.0,30.0,5.0,0.0
125,2023,구승민,롯데,슬라이더,10.9,134.1,6.2,2.8,615.5,-44.7,171.9,137.6,16.7,0.25,0.25,40.0,40.0,6.7,13.3,20.0
126,2023,맥카티,SSG,슬라이더,7.7,126.4,4.7,-14.7,1076.1,52.4,181.0,125.8,23.5,0.214,0.286,27.3,22.7,36.4,13.6,4.5
127,2023,엄상백,KT,슬라이더,7.2,133.6,8.3,1.7,864.7,-61.9,146.0,126.7,18.2,0.206,0.324,36.8,36.8,10.5,15.8,15.8
128,2023,임찬규,LG,슬라이더,5.2,129.9,11.9,1.4,902.1,-24.9,173.5,141.8,16.5,0.308,0.5,18.2,50.0,31.8,0.0,31.8
129,2023,후라도,키움,슬라이더,5.2,133.7,7.0,5.1,686.4,-23.3,187.2,137.2,15.4,0.108,0.108,37.5,31.3,25.0,6.3,31.3
130,2023,페냐,한화,슬라이더,4.0,129.7,0.3,7.7,636.7,-71.5,187.7,135.3,14.6,0.048,0.048,40.0,40.0,10.0,10.0,10.0
131,2022,서동민,SSG,슬라이더,78.4,127.4,12.1,0.8,917.1,-16.1,179.7,129.7,27.8,0.18,0.311,26.3,23.7,23.7,26.3,18.4
132,2022,이준영,KIA,슬라이더,62.8,129.7,5.8,-0.3,546.4,39.1,187.2,128.1,18.5,0.219,0.344,35.1,31.2,16.9,16.9,14.3
133,2022,김지용,두산,슬라이더,53.9,127.8,9.4,6.7,848.2,0.1,161.8,133.0,24.1,0.184,0.368,41.4,13.8,17.2,27.6,24.1
134,2022,고효준,SSG,슬라이더,53.5,133.8,8.9,-0.4,779.4,55.9,169.6,136.1,20.1,0.235,0.321,32.6,34.9,16.3,16.3,23.3
135,2022,최성훈,LG,슬라이더,51.3,125.8,-4.3,-7.2,676.6,64.2,167.4,134.8,14.9,0.083,0.167,35.1,27.0,37.8,0.0,24.3
136,2022,박시영,KT,슬라이더,47.2,129.9,6.0,8.2,790.1,-16.6,183.5,137.9,21.0,0.231,0.462,26.3,26.3,26.3,21.1,21.1
137,2022,하준영,NC,슬라이더,46.7,132.8,12.2,1.6,933.6,61.1,172.2,126.4,23.4,0.145,0.237,21.4,33.3,28.6,16.7,11.9
138,2022,강윤구,롯데,슬라이더,46.2,130.1,11.0,-0.7,820.0,12.4,170.5,134.7,16.2,0.214,0.286,42.1,26.3,15.8,15.8,10.5
139,2022,장원준,두산,슬라이더,45.5,129.6,7.9,5.9,733.9,54.0,169.9,131.1,12.6,0.333,0.361,32.1,50.0,10.7,7.1,14.3
