,연도,선수,팀,구종,투심_구사%,투심_구속,투심_상하_무브먼트,투심_좌우_무브먼트,투심_분당_회전수,투심_좌우_릴리스포인트,투심_상하_릴리스포인트,투심_타구_속도,투심_상하_각도,투심_피안타율,투심_피장타율,투심_땅볼%,투심_라인드라이브%,투심_뜬공%,투심_팝플라이%,투심_강한_타구%
0,2023,정우영,LG,투심,77.6,148.2,-2.7,-27.6,2178.4,-78.7,133.2,140.0,9.5,0.31,0.381,45.8,38.6,12.0,3.6,33.7
1,2023,박준표,KIA,투심,73.1,140.4,6.3,-25.3,1933.5,-43.2,146.1,139.9,13.8,0.26,0.377,54.2,25.0,8.3,12.5,37.5
2,2023,곽도규,KIA,투심,72.2,144.6,12.2,31.3,2514.8,79.2,152.3,135.7,11.1,0.273,0.333,37.5,37.5,25.0,0.0,12.5
3,2023,이재익,삼성,투심,71.2,137.4,16.9,20.6,1942.3,44.9,178.1,134.2,15.1,0.272,0.413,38.9,33.3,18.5,9.3,20.4
4,2023,박종훈,SSG,투심,59.1,131.3,-18.8,-13.8,1662.0,-46.1,59.9,139.5,9.3,0.312,0.434,48.0,38.0,12.0,2.0,30.0
5,2023,양현,키움,투심,57.6,128.7,-6.3,-22.3,1570.2,-90.4,106.6,142.4,11.9,0.368,0.487,44.6,35.6,13.9,5.9,33.7
6,2023,이선우,KT,투심,55.3,133.2,-0.9,-22.1,1579.2,-80.0,114.1,134.5,12.9,0.302,0.384,42.0,30.0,22.0,6.0,24.0
7,2023,요키시,키움,투심,48.5,141.7,24.4,28.7,2779.1,65.0,171.2,138.8,13.7,0.299,0.409,39.2,37.8,13.5,9.5,28.4
8,2023,이인복,롯데,투심,45.8,140.8,16.1,-22.2,2070.0,-33.3,179.1,140.1,16.7,0.405,0.608,30.4,48.2,14.3,7.1,35.7
9,2023,김성진,키움,투심,44.9,143.0,20.9,-21.2,2253.3,-68.7,169.1,139.6,18.9,0.329,0.451,34.4,26.2,26.2,13.1,27.9
10,2023,전사민,NC,투심,44.3,141.8,18.9,-20.6,2074.0,-58.0,188.2,140.4,13.6,0.367,0.367,52.2,21.7,13.0,13.0,17.4
11,2023,메디나,KIA,투심,42.2,146.4,15.3,-24.1,2206.6,-69.4,171.8,139.7,10.9,0.333,0.479,47.1,30.9,14.7,7.4,23.5
12,2023,임정호,NC,투심,41.0,137.2,13.0,26.5,2122.8,43.7,152.2,136.3,12.4,0.379,0.5,43.2,29.7,18.9,8.1,32.4
13,2023,이형범,두산,투심,40.8,141.6,16.9,-20.0,1991.8,-25.8,167.4,135.2,10.1,0.375,0.5,40.0,46.7,10.0,3.3,40.0
14,2023,김태훈,삼성,투심,38.1,143.1,23.6,-16.3,2188.9,-19.6,178.5,135.4,20.9,0.384,0.644,25.9,35.2,20.4,18.5,37.0
15,2023,장원준,두산,투심,37.6,135.5,10.9,22.7,1818.8,47.8,170.9,138.7,17.3,0.377,0.547,41.2,26.5,14.7,17.6,38.2
16,2023,정찬헌,키움,투심,36.6,134.0,21.5,-17.8,1985.4,-27.8,175.9,139.0,20.8,0.198,0.342,33.3,25.0,23.8,17.9,31.0
17,2023,페디,NC,투심,34.9,149.6,18.3,-16.5,1966.5,-34.3,178.2,134.3,14.2,0.244,0.304,40.8,34.0,11.7,13.6,20.4
18,2023,윤중현,KIA,투심,30.7,139.1,0.9,-27.6,2005.5,-89.6,121.9,147.3,7.0,0.263,0.289,52.6,31.6,15.8,0.0,47.4
19,2023,김대우,삼성,투심,26.5,130.8,-16.2,-18.6,1719.7,-73.9,63.4,141.4,15.4,0.426,0.574,30.3,45.5,18.2,6.1,24.2
20,2023,후라도,키움,투심,24.0,144.4,20.6,-20.6,2226.1,-23.6,184.2,136.4,12.7,0.259,0.321,46.8,30.9,7.4,14.9,23.4
21,2023,한승혁,한화,투심,21.2,145.5,20.7,-12.9,1892.7,-37.6,176.9,138.3,18.1,0.447,0.553,24.0,48.0,12.0,16.0,32.0
22,2023,와이드너,삼성,투심,20.5,143.3,13.8,-20.3,1876.0,-58.9,154.9,126.5,16.4,0.281,0.337,41.8,23.6,16.4,18.2,21.8
