,팀명,이름,포지션
0,한화,최인호,좌익수
1,한화,노수광,좌익수
2,한화,윌리엄스,좌익수
3,한화,문현빈,중견수
4,한화,이원석,중견수
5,한화,이상혁,중견수
6,한화,이진영,우익수
7,한화,김태연,우익수
8,한화,장운호,우익수
9,한화,노시환,3루수
10,한화,이도윤,유격수
11,한화,오선진,유격수
12,한화,이민준,유격수
13,한화,정은원,2루수
14,한화,채은성,1루수
15,한화,김인환,1루수
16,한화,페냐,선발투수
17,한화,문동주,선발투수
18,한화,산체스,선발투수
19,한화,김기중,선발투수
20,한화,송윤준,선발투수
21,한화,주현상,중계투수
22,한화,이태양,중계투수
23,한화,윤대경,중계투수
24,한화,한승주,중계투수
25,한화,장시환,중계투수
26,한화,최재훈,포수
27,한화,이재용,포수
28,한화,박상언,포수
29,한화,유상빈,지명타자
30,한화,이성곤,지명타자
31,한화,김건,지명타자
32,두산,로하스,좌익수
33,두산,송승환,좌익수
34,두산,정수빈,중견수
35,두산,김인태,우익수
36,두산,양찬열,우익수
37,두산,조수행,우익수
38,두산,허경민,3루수
39,두산,박준영,3루수
40,두산,전민재,3루수
41,두산,김재호,유격수
42,두산,권민석,유격수
43,두산,박계범,유격수
44,두산,강승호,2루수
45,두산,이유찬,2루수
46,두산,서예일,2루수
47,두산,양석환,1루수
48,두산,강진성,1루수
49,두산,신성현,1루수
50,두산,알칸타라,선발투수
51,두산,곽빈,선발투수
52,두산,브랜든,선발투수
53,두산,최승용,선발투수
54,두산,김동주,선발투수
55,두산,김명신,중계투수
56,두산,홍건희,중계투수
57,두산,박치국,중계투수
58,두산,정철원,중계투수
59,두산,최원준,중계투수
60,두산,양의지,포수
61,두산,박유연,포수
62,두산,안승한,포수
63,두산,김재환,지명타자
64,SSG,에레디아,좌익수
65,SSG,하재훈,좌익수
66,SSG,최지훈,중견수
67,SSG,김강민,중견수
68,SSG,최상민,중견수
69,SSG,한유섬,우익수
70,SSG,김정민,우익수
71,SSG,최정,3루수
72,SSG,김찬형,3루수
73,SSG,최경모,3루수
74,SSG,박성한,유격수
75,SSG,최주환,2루수
76,SSG,김성현,2루수
77,SSG,최준우,2루수
78,SSG,오태곤,1루수
79,SSG,강진성,1루수
80,SSG,전의산,1루수
81,SSG,김광현,선발투수
82,SSG,엘리아스,선발투수
83,SSG,맥카티,선발투수
84,SSG,김주한,선발투수
85,SSG,한두솔,선발투수
86,SSG,서진용,중계투수
87,SSG,노경은,중계투수
88,SSG,최민준,중계투수
89,SSG,이건욱,중계투수
90,SSG,고효준,중계투수
91,SSG,김민식,포수
92,SSG,이흥련,포수
93,SSG,조형우,포수
94,SSG,추신수,지명타자
95,SSG,류효승,지명타자
96,SSG,이정범,지명타자
97,KT,알포드,좌익수
98,KT,배정대,중견수
99,KT,정준영,중견수
100,KT,홍현빈,중견수
101,KT,김민혁,우익수
102,KT,안치영,우익수
