,이름,id,생년월일,연도,팀명,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
41,문상준,50007,2001-03-14,2023,KT,22,2B,2,5,5,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.2,0.2,0.2,0.4,0.191,-5.2,-0.05,-0.04
45,강현우,50066,2001-04-13,2023,KT,22,C,53,111,103,11,20,6,0,1,29,11,0,1,6,1,0,17,3,1,0,0.194,0.246,0.282,0.527,0.249,42.6,-0.12,-0.99
49,손호영,50150,1994-08-23,2023,LG,29,SS,27,45,44,8,9,0,0,1,12,6,2,1,1,0,0,12,5,0,0,0.205,0.222,0.273,0.495,0.232,35.0,-0.13,-0.1
53,이주형,50167,2001-04-02,2023,"LG,키움",22,CF,69,243,215,32,70,13,4,6,109,36,3,1,19,5,2,53,4,2,2,0.326,0.39,0.507,0.897,0.405,151.8,2.6,1.39
54,이주형,50167,2001-04-02,2023,LG,22,CF,18,16,15,2,4,2,0,0,6,2,0,0,0,1,0,5,0,0,0,0.267,0.313,0.4,0.713,0.333,103.2,0.07,-0.05
55,이주형,50167,2001-04-02,2023,키움,22,CF,51,227,200,30,66,11,4,6,103,34,3,1,19,4,2,48,4,2,2,0.33,0.396,0.515,0.911,0.41,155.4,2.37,1.45
59,안권수,50202,1993-04-19,2023,롯데,30,LF,95,309,268,42,72,6,1,2,86,29,16,7,30,1,1,40,4,7,3,0.269,0.341,0.321,0.662,0.311,85.3,0.74,-0.29
64,박지훈,50204,2000-09-07,2023,두산,23,1B,22,21,19,2,4,1,0,0,5,2,1,0,2,0,0,7,0,0,0,0.211,0.286,0.263,0.549,0.269,58.1,-0.09,0.03
69,양찬열,50293,1997-05-25,2023,두산,26,RF,44,99,88,15,21,2,2,0,27,6,3,2,9,1,0,23,1,0,1,0.239,0.313,0.307,0.62,0.299,76.0,0.02,-1.14
73,김병휘,50304,2001-02-16,2023,키움,22,2B,10,21,21,0,3,1,0,0,4,1,0,0,0,0,0,8,0,0,0,0.143,0.143,0.19,0.333,0.154,-19.3,-0.2,-0.25
