이름,생년월일,포지션
문상준,2001-03-14,2루수
강현우,2001-04-13,포수
손호영,1994-08-23,유격수
안권수,1993-04-19,좌익수
이주형,2001-04-02,중견수
박지훈,2000-09-07,1루수
양찬열,1997-05-25,우익수
김병휘,2001-02-16,2루수
러셀,1994-01-23,유격수
박주홍,2001-04-16,1루수
신준우,2001-06-21,유격수
김지찬,2001-03-08,2루수
황성빈,1997-12-19,좌익수
홍종표,2000-05-02,2루수
박정현,2001-07-27,유격수
최인호,2000-01-30,좌익수
전의산,2000-11-25,1루수
최지훈,1997-07-23,중견수
류효승,1996-07-16,지명타자
김한별,2001-01-18,유격수
박영빈,1997-07-16,지명타자
안재석,2002-02-15,유격수
김시앙,2001-10-31,포수
김휘집,2002-01-01,유격수
김동진,1996-12-18,2루수
김현준,2002-10-11,중견수
피렐라,1989-11-21,좌익수
손성빈,2002-01-14,포수
김선우,2001-01-18,포수
조현진,2002-09-10,유격수
장지승,1998-07-04,우익수
박형준,2001-06-28,투수
추신수,1982-07-13,지명타자
조형우,2002-04-04,포수
고명준,2002-07-08,1루수
김주원,2002-07-30,유격수
오장한,2002-05-20,우익수
오태양,2002-04-25,중견수
김병준,2003-07-03,중견수
알포드,1994-07-20,좌익수
박수종,1999-02-25,우익수
박찬혁,2003-04-25,좌익수
조민성,2003-10-22,1루수
김상민,2003-12-06,좌익수
이재현,2003-02-04,유격수
김영웅,2003-08-24,3루수
김동혁,2000-09-15,우익수
렉스,1993-11-12,우익수
윤동희,2003-09-18,우익수
김도영,2003-10-02,3루수
소크라테스,1992-09-06,중견수
윤도현,2003-05-07,3루수
이상혁,2001-09-14,중견수
유상빈,2000-05-09,지명타자
권광민,1997-12-12,좌익수
류현인,2000-11-08,3루수
손민석,2004-06-21,2루수
정준영,2004-01-26,중견수
송대현,2000-02-03,유격수
오스틴,1993-10-14,1루수
김범석,2004-05-21,1루수
로하스,1993-02-24,좌익수
송재선,2000-06-30,우익수
이승원,2004-07-02,유격수
김건희,2004-11-07,1루수
김동헌,2004-07-15,포수
도슨,1995-05-19,중견수
류승민,2004-10-11,우익수
김재상,2004-07-26,3루수
강준서,2000-10-13,좌익수
구드럼,1992-02-28,3루수
윤수녕,2000-03-01,우익수
김민석,2004-05-09,중견수
서동욱,2000-03-24,우익수
정대선,2004-11-16,2루수
배영빈,2000-06-26,유격수
오그레디,1992-05-17,좌익수
윌리엄스,1993-09-08,좌익수
문현빈,2004-04-20,중견수
이민준,2004-02-02,유격수
에레디아,1991-01-31,좌익수
김정민,2004-03-07,우익수
김건웅,2000-05-08,1루수
마틴,1995-09-05,중견수
박한결,2004-04-26,좌익수
정훈,1987-07-18,1루수
오태곤,1991-11-18,1루수
이상호,1989-02-05,2루수
유강남,1992-07-15,포수
이천웅,1988-10-20,중견수
고종욱,1989-01-11,좌익수
김헌곤,1988-11-09,중견수
류지혁,1994-01-13,3루수
박세혁,1990-01-09,포수
김재현,1993-03-18,포수
구자욱,1993-02-12,우익수
박해민,1990-02-24,중견수
신본기,1989-03-21,유격수
김준태,1994-07-31,포수
하주석,1994-02-25,유격수
박승욱,1992-12-04,2루수
김민식,1989-06-28,포수
최항,1994-01-03,1루수
한유섬,1989-08-09,우익수
박민우,1993-02-06,2루수
강진성,1993-10-19,1루수
노진혁,1989-07-15,유격수
나성범,1989-10-03,우익수
김성욱,1993-05-01,좌익수
강승호,1994-02-09,2루수
장승현,1994-03-07,포수
김인태,1994-07-03,우익수
이우성,1994-07-17,우익수
이흥련,1989-05-16,포수
장운호,1994-02-20,우익수
노수광,1990-08-06,좌익수
한승택,1994-06-21,포수
윤형준,1994-01-31,1루수
김준완,1991-01-20,좌익수
이상민,1990-11-04,투수
권희동,1990-12-30,좌익수
김민혁,1995-11-21,우익수
문상철,1991-04-06,지명타자
송민섭,1991-08-02,중견수
김병희,1990-12-06,3루수
안승한,1992-01-25,포수
안중열,1995-09-01,포수
신성현,1990-10-19,1루수
한석현,1994-05-17,좌익수
장준원,1995-11-21,유격수
양석환,1991-07-15,1루수
배정대,1995-06-12,중견수
이성곤,1992-03-25,지명타자
임지열,1995-08-22,1루수
임병욱,1995-09-30,우익수
김호재,1995-05-31,3루수
박계범,1996-01-11,유격수
송준석,1994-05-04,좌익수
오윤석,1992-02-24,1루수
이창진,1991-03-04,좌익수
강한울,1991-09-12,3루수
박찬호,1995-06-05,유격수
박준태,1991-07-26,우익수
지시완,1994-04-10,포수
김민수,1991-03-02,포수
조용호,1989-09-09,우익수
박대온,1995-08-28,포수
김태진,1995-10-07,3루수
김태훈,1996-03-31,좌익수
안익훈,1996-02-12,우익수
김재성,1996-10-30,포수
신민재,1996-01-21,2루수
김민혁,1996-05-03,1루수
송성문,1996-08-29,3루수
최정용,1996-10-24,2루수
전병우,1992-10-24,1루수
황대인,1996-02-10,1루수
김호령,1992-04-30,중견수
이도윤,1996-10-07,유격수
최승민,1996-07-01,중견수
김웅빈,1996-02-09,1루수
김기연,1997-09-07,포수
홍창기,1993-11-21,우익수
김주성,1998-01-30,유격수
서예일,1993-06-19,2루수
조수행,1993-08-30,우익수
홍성호,1997-07-15,우익수
주효상,1997-11-11,포수
안주형,1993-08-14,2루수
이성규,1993-08-03,중견수
최원준,1997-03-23,1루수
김규성,1997-03-08,2루수
이진영,1997-07-21,우익수
신범수,1998-01-25,포수
이시원,1996-07-24,우익수
김태연,1997-06-10,우익수
박상언,1997-03-03,포수
장진혁,1993-09-30,중견수
김인환,1994-01-28,1루수
김동엽,1990-07-24,지명타자
김찬형,1997-12-29,3루수
안상현,1997-01-27,2루수
박준영,1997-08-05,3루수
도태훈,1993-03-18,3루수
홍현빈,1997-08-29,중견수
안치영,1998-05-29,우익수
전준호,1998-07-01,포수
박유연,1998-12-20,포수
이유찬,1998-08-05,2루수
김혜성,1999-01-27,2루수
이정후,1998-08-20,중견수
이병규,1994-10-05,1루수
김성윤,1999-02-02,우익수
김민수,1998-03-18,3루수
박정우,1998-02-01,우익수
김석환,1999-02-28,1루수
이정훈,1994-12-07,지명타자
이정범,1998-04-10,지명타자
김수윤,1998-07-16,3루수
박성한,1998-03-30,유격수
천재환,1994-04-01,중견수
이재용,1999-02-28,포수
강백호,1999-07-29,지명타자
이재원,1999-07-17,좌익수
송찬의,1999-02-20,1루수
문성주,1997-02-20,좌익수
권민석,1999-02-20,유격수
전민재,1999-06-30,3루수
예진원,1999-03-16,좌익수
김수환,1998-03-20,1루수
공민규,1999-09-27,3루수
윤정빈,1999-06-24,1루수
이태훈,1995-04-03,1루수
이호연,1995-06-03,2루수
장두성,1999-09-16,중견수
정보근,1999-08-31,포수
한동희,1999-06-01,3루수
한준수,1999-02-13,포수
이원석,1999-03-31,중견수
정은원,2000-01-17,2루수
최상민,1999-08-20,중견수
오영수,2000-01-30,1루수
최준우,1999-03-25,2루수
최보성,1998-10-16,3루수
김형준,1999-11-02,포수
박민석,2000-04-13,유격수
강민성,1999-12-08,3루수
문보경,2000-07-19,3루수
송승환,2000-10-28,좌익수
김태근,1996-08-10,우익수
주성원,2000-08-30,우익수
김주형,1996-03-05,유격수
김대한,2000-12-06,우익수
이해승,2000-08-01,3루수
이병헌,1999-10-26,포수
이학주,1990-11-04,유격수
김도환,2000-04-14,포수
신윤후,1996-01-05,좌익수
고승민,2000-08-11,1루수
김건,2000-02-23,지명타자
오선우,1996-12-13,1루수
변우혁,2000-03-18,1루수
허관회,1999-02-12,포수
노시환,2000-12-03,3루수
유로결,2000-05-30,우익수
최경모,1996-06-17,3루수
하재훈,1990-10-29,좌익수
박주찬,1996-01-11,3루수
전사민,1999-07-06,투수
최정원,2000-06-24,2루수
서호철,1996-10-16,3루수
김강민,1982-09-13,중견수
최형우,1983-12-16,지명타자
박경수,1984-03-31,2루수
김재호,1985-03-21,유격수
이용규,1985-08-26,좌익수
박석민,1985-06-22,3루수
강민호,1985-08-18,포수
박병호,1986-07-10,1루수
오재일,1986-10-29,1루수
이원석,1986-10-21,1루수
최정,1987-02-28,3루수
양의지,1987-06-05,포수
최주환,1988-02-28,2루수
김현수,1988-01-12,지명타자
황재균,1987-07-28,3루수
