이름,id,연도,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,삼진,병살타,장타율,출루율,실책,생년월일
차영화,10005,1982,해태  ,0.259,76,323,282,46,73,9,1,1,87,12,32,10,31,3,20,3,0.000,0.000,5,1957-06-27
차영화,10005,1983,해태  ,0.266,86,252,229,20,61,6,2,1,74,23,16,11,13,2,17,3,0.000,0.000,7,1957-06-27
차영화,10005,1984,해태  ,0.204,70,185,162,16,33,3,1,0,38,12,11,6,15,1,24,2,0.000,0.000,11,1957-06-27
차영화,10005,1985,해태,0.239,107,266,238,21,57,7,0,0,64,12,13,5,11,1,21,6,0.000,0.000,7,1957-06-27
차영화,10005,1986,해태,0.199,85,192,176,18,35,4,0,0,39,3,3,5,9,1,9,5,0.000,0.000,8,1957-06-27
차영화,10005,1987,해태,0.200,39,83,70,9,14,4,0,0,18,6,5,1,5,1,3,4,0.000,0.000,3,1957-06-27
차영화,10005,1988,해태,0.214,54,85,70,6,15,0,0,0,15,5,0,3,6,2,6,1,0.000,0.000,3,1957-06-27
차영화,10005,1989,해태,0.222,15,9,9,0,2,0,0,0,2,2,0,0,0,0,0,1,0.000,0.000,2,1957-06-27
우용득,20001,1983,삼성  ,0.111,14,20,18,0,2,0,0,0,2,1,0,0,2,0,5,0,0.000,0.000,0,1950-02-13
손상대,30003,1982,삼성  ,0.211,12,22,19,1,4,0,0,0,4,2,1,0,1,1,5,0,0.000,0.000,1,1954-10-20
손상대,30003,1983,삼성  ,0.125,10,10,8,0,1,1,0,0,2,0,0,0,2,0,5,0,0.000,0.000,1,1954-10-20
손상대,30003,1984,삼성  ,0.333,6,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0.000,0.000,0,1954-10-20
손상대,30003,1985,삼성  ,0.000,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1954-10-20
유지훤,30004,1982,OB    ,0.252,80,299,274,29,69,14,2,4,99,38,12,6,15,2,15,5,0.000,0.000,25,1955-10-04
유지훤,30004,1983,OB    ,0.212,87,282,250,24,53,8,1,0,63,18,3,5,11,4,17,8,0.000,0.000,19,1955-10-04
유지훤,30004,1984,OB    ,0.208,66,142,130,13,27,1,0,3,37,20,2,3,4,3,13,6,0.000,0.000,7,1955-10-04
유지훤,30004,1985,OB,0.209,107,356,321,32,67,9,4,3,93,35,5,9,21,3,34,9,0.000,0.000,16,1955-10-04
유지훤,30004,1986,OB,0.270,100,367,330,31,89,8,2,2,107,37,8,2,17,8,27,6,0.000,0.000,31,1955-10-04
유지훤,30004,1987,OB,0.205,95,294,263,29,54,9,3,0,69,18,3,4,19,3,17,11,0.000,0.000,25,1955-10-04
유지훤,30004,1988,OB,0.201,95,267,239,15,48,5,3,0,59,21,5,1,19,0,18,9,0.000,0.000,14,1955-10-04
천보성,40002,1982,삼성  ,0.267,38,104,90,13,24,6,0,0,30,10,2,0,10,1,9,2,0.000,0.000,5,1953-06-11
천보성,40002,1983,삼성  ,0.247,71,199,174,23,43,8,1,6,71,25,3,1,16,1,17,2,0.000,0.000,4,1953-06-11
천보성,40002,1984,삼성  ,0.217,65,208,180,20,39,8,0,2,53,20,5,4,21,0,15,3,0.000,0.000,3,1953-06-11
김인식,40006,1982,MBC   ,0.259,79,355,309,47,80,9,0,3,98,26,35,7,17,18,14,7,0.000,0.000,15,1953-11-09
