이름,id,연도,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,삼진,병살타,장타율,출루율,실책,생년월일,포지션,희생플라이,WAR*
문상준,50007,2023,KT,0.2,2,5,5,1,1,0,0,0,1,0,0,0,0,0,4,0,0.2,0.2,1,2001-03-14,2루수,0.0,-0.05
강현우,50066,2023,KT,0.194,53,111,103,11,20,6,0,1,29,11,0,1,6,1,17,3,0.282,0.245,2,2001-04-13,포수,0.0,-0.12
손호영,50150,2023,LG,0.205,27,45,44,8,9,0,0,1,12,6,2,1,1,0,12,5,0.273,0.222,5,1994-08-23,유격수,0.0,-0.13
안권수,50202,2023,롯데,0.269,95,309,268,42,72,6,1,2,86,29,16,7,30,1,40,4,0.321,0.341,3,1993-04-19,좌익수,3.0,0.74
이주형,50167,2023,키움,0.326,69,243,215,32,70,13,4,6,109,36,3,1,19,5,53,4,0.507,0.39,0,2001-04-02,중견수,2.0,2.37
박지훈,50204,2023,두산,0.211,22,21,19,2,4,1,0,0,5,2,1,0,2,0,7,0,0.263,0.286,0,2000-09-07,1루수,0.0,-0.09
양찬열,50293,2023,두산,0.239,44,99,88,15,21,2,2,0,27,6,3,2,9,1,23,1,0.307,0.313,0,1997-05-25,우익수,1.0,0.02
김병휘,50304,2023,키움,0.143,10,21,21,0,3,1,0,0,4,1,0,0,0,0,8,0,0.19,0.143,1,2001-02-16,2루수,0.0,-0.2
러셀,50350,2023,키움,0.286,59,239,220,20,63,11,1,4,88,42,1,0,17,1,39,5,0.4,0.339,3,1994-01-23,유격수,1.0,1.36
박주홍,50357,2023,키움,0.122,27,57,49,5,6,0,1,0,8,2,1,0,5,0,26,0,0.163,0.196,0,2001-04-16,1루수,2.0,-0.58
신준우,50312,2023,키움,0.111,24,19,18,4,2,0,0,0,2,0,0,0,0,1,5,0,0.111,0.158,2,2001-06-21,유격수,0.0,-0.17
김지찬,50458,2023,삼성,0.292,99,355,291,59,85,4,2,1,96,18,13,1,48,9,36,1,0.33,0.408,16,2001-03-08,2루수,0.0,2.51
황성빈,50500,2023,롯데,0.212,74,191,170,22,36,5,2,0,45,8,9,5,12,1,27,1,0.265,0.268,1,1997-12-19,좌익수,0.0,-0.61
홍종표,50600,2023,KIA,0.0,40,12,7,10,0,0,0,0,0,0,0,0,3,1,1,0,0.0,0.364,0,2000-05-02,2루수,0.0,0.03
박정현,50709,2023,한화,0.181,53,113,105,12,19,6,0,2,31,4,0,0,3,2,36,2,0.295,0.218,9,2001-07-27,유격수,0.0,-0.31
