이름,id,생년월일,연도,팀명,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,포지션
소형준,50030,2001-09-16,2023,KT,22,3,0,0,3,0,0,0,0,11.0,14,14,59,22,4.0,0.0,1,3,0,3,4,0,2,11.45,5.53,2.27,36.9,75.0,-0.53,-0.52,선발
유영찬,50106,1997-03-07,2023,LG,26,67,0,0,0,6,3,1,12,68.0,27,26,305,55,14.0,1.0,4,40,2,7,55,0,8,3.44,4.58,1.4,118.6,89.5,1.55,-0.12,중계
이민호,50126,2001-08-30,2023,LG,22,5,0,0,5,0,2,0,0,19.2,13,11,91,22,4.0,0.0,1,10,0,0,7,0,0,5.03,4.92,1.63,81.1,83.4,-0.2,-0.43,선발
김윤식,50157,2000-04-03,2023,LG,23,17,0,0,16,6,4,0,0,74.2,35,35,320,86,13.0,2.0,4,25,0,3,42,0,4,4.22,4.14,1.49,96.7,98.9,1.0,0.4,선발
제환유,50211,2000-09-30,2023,두산,23,1,0,0,0,0,0,0,0,2.0,4,3,14,3,0.0,0.0,0,4,0,0,2,0,1,13.5,7.44,3.5,30.2,55.7,-0.11,-0.01,중계
이종민,50354,2001-06-04,2023,키움,22,11,0,0,2,0,1,0,0,13.2,13,11,72,22,7.0,0.0,0,6,0,1,10,0,0,7.24,3.52,2.05,56.7,117.1,-0.36,-0.71,중계
김동혁,50360,2001-12-27,2023,키움,22,35,0,0,2,1,7,0,6,39.1,34,33,192,51,9.0,3.0,1,18,0,6,24,2,0,7.55,4.38,1.75,54.4,93.7,-0.81,-1.16,선발
뷰캐넌,50404,1989-05-11,2023,삼성,34,30,1,0,30,12,8,0,0,188.0,71,53,784,174,26.0,2.0,4,43,1,6,139,1,7,2.54,3.01,1.15,166.9,138.1,5.1,2.12,선발
홍원표,50430,2001-03-27,2023,삼성,22,3,0,0,0,0,0,0,0,3.2,1,1,15,2,0.0,0.0,0,2,0,0,1,0,0,2.45,4.53,1.09,172.5,91.2,0.08,0.01,중계
황동재,50441,2001-11-03,2023,삼성,22,7,0,0,7,0,5,0,0,31.2,27,25,155,40,14.0,1.0,6,21,0,2,27,0,0,7.11,6.38,1.93,59.6,66.0,-0.58,-0.83,선발
허윤동,50449,2001-06-19,2023,삼성,22,7,0,0,1,0,1,0,0,10.2,12,12,60,16,7.0,0.0,0,12,0,0,8,0,0,10.13,5.32,2.63,41.8,77.5,-0.26,-0.44,선발
최준용,50556,2001-10-10,2023,롯데,22,47,0,0,0,2,3,0,14,47.2,15,13,210,50,6.0,0.0,2,18,1,1,40,0,1,2.45,3.44,1.43,169.5,119.7,1.56,-0.22,중계
스트레일리,50558,1988-12-01,2023,롯데,35,16,0,0,16,3,5,0,0,80.1,43,39,364,82,8.0,1.0,6,37,0,10,70,0,4,4.37,4.43,1.48,95.2,92.8,0.81,-0.27,선발
정해영,50662,2001-08-23,2023,KIA,22,52,0,0,0,3,4,23,1,49.1,18,16,218,53,9.0,1.0,3,20,3,1,30,0,0,2.92,4.11,1.48,141.5,99.9,1.76,0.7,중계
강재민,50705,1997-04-03,2023,한화,26,43,0,0,0,1,3,0,12,43.1,31,31,189,35,10.0,1.0,5,19,0,8,42,0,0,6.44,4.87,1.25,64.5,85.2,-0.37,-1.03,중계
남지민,50720,2001-02-12,2023,한화,22,16,0,0,7,1,7,0,0,37.2,31,27,186,54,12.0,0.0,0,13,1,6,23,0,3,6.45,3.66,1.78,64.4,113.6,-0.52,-1.29,선발
한승주,50726,2001-03-17,2023,한화,22,47,0,0,6,1,4,0,2,70.2,34,31,320,81,16.0,2.0,6,31,2,4,55,0,5,3.95,4.39,1.59,105.2,94.5,1.02,-0.76,선발
오원석,50859,2001-04-23,2023,SSG,22,28,1,0,27,8,10,0,0,144.2,92,84,648,158,22.0,2.0,11,69,0,9,88,0,11,5.23,4.83,1.57,80.1,87.3,-0.03,-1.2,선발
정구범,50995,2000-06-16,2023,NC,23,4,0,0,2,0,1,0,0,12.2,11,11,64,16,3.0,0.0,3,12,0,0,6,0,0,7.82,8.42,2.21,53.3,50.2,-0.23,-0.26,선발
김영현,51097,2002-08-18,2023,KT,21,31,0,0,0,0,0,1,1,33.0,22,20,150,30,7.0,0.0,4,20,1,1,35,0,2,5.45,4.72,1.52,77.4,88.6,-0.01,-0.36,중계
송승기,51111,2002-04-10,2023,LG,21,1,0,0,0,0,0,0,0,1.0,0,0,5,1,0.0,0.0,0,1,0,0,0,0,0,0.0,6.44,2.0,,64.2,0.04,0.0,중계
강효종,51143,2002-10-14,2023,LG,21,7,0,0,7,1,2,0,0,21.2,18,15,103,25,3.0,0.0,1,12,0,2,14,1,0,6.23,4.69,1.71,65.5,87.5,-0.45,-0.6,선발
김동주,51230,2002-02-14,2023,두산,21,18,0,0,17,3,6,0,0,78.1,37,36,334,73,14.0,4.0,5,35,0,4,59,1,4,4.14,4.26,1.38,98.5,95.2,1.29,0.25,선발
최승용,51264,2001-05-11,2023,두산,22,34,0,0,20,3,6,1,0,111.0,54,49,479,116,11.0,1.0,9,34,0,4,82,0,3,3.97,4.05,1.35,102.5,99.5,1.56,0.44,선발
