이름,id,연도,팀명,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,생년월일,포지션,WAR,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
유영찬,50106,2023,LG,3.44,67,0,0,6,3,1,12,0.667,305,68.0,55,4,40,7,55,27,26,1997-03-07,중계,1.55,8.0,3.44,4.58,1.4,118.6,89.5,-0.12
이민호,50126,2023,LG,5.03,5,0,0,0,2,0,0,0.0,91,19.7,22,1,10,0,7,13,11,2001-08-30,선발,-0.2,0.0,5.03,4.92,1.63,81.1,83.4,-0.43
김윤식,50157,2023,LG,4.22,17,0,0,6,4,0,0,0.6,320,74.7,86,4,25,3,42,35,35,2000-04-03,선발,1.0,4.0,4.22,4.14,1.49,96.7,98.9,0.4
이종민,50354,2023,키움,7.24,11,0,0,0,1,0,0,0.0,72,13.7,22,0,6,1,10,13,11,2001-06-04,중계,-0.36,0.0,7.24,3.52,2.05,56.7,117.1,-0.71
김동혁,50360,2023,키움,7.32,35,0,0,1,7,0,6,0.125,192,39.3,51,1,18,6,24,34,32,2001-12-27,선발,-0.81,0.0,7.55,4.38,1.75,54.4,93.7,-1.16
뷰캐넌,50404,2023,삼성,2.54,30,1,0,12,8,0,0,0.6,784,188.0,174,4,43,6,139,71,53,1989-05-11,선발,5.1,7.0,2.54,3.01,1.15,166.9,138.1,2.12
황동재,50441,2023,삼성,7.11,7,0,0,0,5,0,0,0.0,155,31.7,40,6,21,2,27,27,25,2001-11-03,선발,-0.58,0.0,7.11,6.38,1.93,59.6,66.0,-0.83
허윤동,50449,2023,삼성,10.13,7,0,0,0,1,0,0,0.0,60,10.7,16,0,12,0,8,12,12,2001-06-19,선발,-0.26,0.0,10.13,5.32,2.63,41.8,77.5,-0.44
최준용,50556,2023,롯데,2.45,47,0,0,2,3,0,14,0.4,210,47.7,50,2,18,1,40,15,13,2001-10-10,중계,1.56,1.0,2.45,3.44,1.43,169.5,119.7,-0.22
스트레일리,50558,2023,롯데,4.37,16,0,0,3,5,0,0,0.375,364,80.3,82,6,37,10,70,43,39,1988-12-01,선발,0.81,4.0,4.37,4.43,1.48,95.2,92.8,-0.27
정해영,50662,2023,KIA,2.92,52,0,0,3,4,23,1,0.429,218,49.3,53,3,20,1,30,18,16,2001-08-23,중계,1.76,0.0,2.92,4.11,1.48,141.5,99.9,0.7
강재민,50705,2023,한화,6.44,43,0,0,1,3,0,12,0.25,189,43.3,35,5,19,8,42,31,31,1997-04-03,중계,-0.37,0.0,6.44,4.87,1.25,64.5,85.2,-1.03
남지민,50720,2023,한화,6.45,16,0,0,1,7,0,0,0.125,186,37.7,54,0,13,6,23,31,27,2001-02-12,선발,-0.52,3.0,6.45,3.66,1.78,64.4,113.6,-1.29
한승주,50726,2023,한화,3.95,47,0,0,1,4,0,2,0.2,320,70.7,81,6,31,4,55,34,31,2001-03-17,선발,1.02,5.0,3.95,4.39,1.59,105.2,94.5,-0.76
오원석,50859,2023,SSG,5.23,28,1,0,8,10,0,0,0.444,648,144.7,158,11,69,9,88,92,84,2001-04-23,선발,-0.03,11.0,5.23,4.83,1.57,80.1,87.3,-1.2
정구범,50995,2023,NC,7.82,4,0,0,0,1,0,0,0.0,64,12.7,16,3,12,0,6,11,11,2000-06-16,선발,-0.23,0.0,7.82,8.42,2.21,53.3,50.2,-0.26
강효종,51143,2023,LG,6.23,7,0,0,1,2,0,0,0.333,103,21.7,25,1,12,2,14,18,15,2002-10-14,선발,-0.45,0.0,6.23,4.69,1.71,65.5,87.5,-0.6
김동주,51230,2023,두산,4.14,18,0,0,3,6,0,0,0.333,334,78.3,73,5,35,4,59,37,36,2002-02-14,선발,1.29,4.0,4.14,4.26,1.38,98.5,95.2,0.25
최승용,51264,2023,두산,3.97,34,0,0,3,6,1,0,0.333,479,111.0,116,9,34,4,82,54,49,2001-05-11,선발,1.56,3.0,3.97,4.05,1.35,102.5,99.5,0.44
김성진,51301,2023,키움,3.64,55,0,0,3,3,0,7,0.5,208,47.0,44,5,25,1,38,19,19,1997-11-14,중계,1.11,0.0,3.64,4.74,1.47,112.9,85.4,-0.47
장재영,51359,2023,키움,5.53,23,0,0,1,5,0,0,0.167,339,71.7,63,4,66,8,67,46,44,2002-05-10,선발,-0.04,8.0,5.53,5.4,1.8,74.3,75.6,-0.78
이승현,51454,2023,삼성,4.98,48,0,0,1,5,5,7,0.167,199,43.3,41,6,29,2,37,26,24,2002-05-19,중계,0.12,2.0,4.98,5.61,1.62,85.0,74.9,-1.6
김진욱,51516,2023,롯데,6.44,50,0,0,2,1,0,8,0.667,177,36.3,37,4,29,2,35,27,26,2002-07-05,중계,-0.32,3.0,6.44,5.51,1.82,64.6,74.4,-0.76
이의리,51648,2023,KIA,3.96,28,0,0,11,7,0,0,0.611,598,131.7,103,4,93,8,156,64,58,2002-06-16,선발,1.74,10.0,3.96,3.75,1.49,104.2,110.4,0.05
김규연,51713,2023,한화,2.75,23,0,0,0,1,1,0,0.0,85,19.7,16,0,10,2,20,7,6,2002-08-23,중계,0.54,2.0,2.75,3.24,1.32,151.2,127.9,0.02
김기중,51715,2023,한화,4.63,37,0,0,1,3,0,1,0.25,253,56.3,58,4,29,9,46,33,29,2002-11-16,선발,0.28,2.0,4.63,4.7,1.54,89.6,88.3,0.2
이용준,51948,2023,NC,4.3,24,0,0,3,4,0,0,0.429,304,67.0,60,5,44,2,50,39,32,2002-05-08,선발,0.23,1.0,4.3,4.98,1.55,96.9,84.5,-0.99
한재승,51994,2023,NC,4.66,11,0,0,0,1,0,0,0.0,44,9.7,9,2,5,0,10,5,5,2001-11-21,중계,0.1,1.0,3.72,5.62,1.45,111.8,75.6,-0.24
박영현,52060,2023,KT,2.75,68,0,0,3,3,4,32,0.5,308,75.3,63,3,23,2,79,25,23,2003-10-11,중계,2.75,1.0,2.75,2.7,1.14,153.7,155.9,1.8
벤자민,52043,2023,KT,3.54,29,0,0,15,6,0,0,0.714,684,160.0,149,12,45,3,157,79,63,1993-07-26,선발,2.39,11.0,3.54,3.34,1.21,119.2,125.5,0.37
플럿코,52145,2023,LG,2.41,21,0,0,11,3,0,0,0.786,510,123.3,115,5,31,3,101,37,33,1991-10-03,선발,3.86,2.0,2.41,3.13,1.18,169.5,131.0,1.61
최지강,52206,2023,두산,5.32,25,0,0,2,1,0,2,0.667,102,22.0,16,0,20,1,14,13,13,2001-07-23,중계,0.09,0.0,5.32,5.03,1.68,76.6,82.4,0.41
브랜든,52257,2023,두산,2.49,18,0,0,11,3,0,0,0.786,427,104.7,80,4,30,12,100,34,29,1994-06-03,선발,3.19,3.0,2.49,3.23,1.05,163.3,126.3,1.88
주승우,52330,2023,키움,9.56,11,0,0,0,1,0,0,0.0,90,16.0,20,1,21,2,8,18,17,2000-01-30,선발,-0.53,3.0,9.56,7.57,2.56,42.9,54.2,-0.43
윤석원,52395,2023,키움,4.5,21,0,0,2,0,0,2,1.0,110,24.0,29,2,8,0,8,17,12,2003-07-04,중계,-0.07,1.0,4.5,4.73,1.54,91.3,86.2,-0.03
이명종,52397,2023,키움,5.21,45,0,0,5,5,0,1,0.5,260,57.0,66,5,24,6,26,34,33,2002-12-05,선발,0.16,0.0,5.21,5.25,1.58,78.8,77.7,-1.16
수아레즈,52457,2023,삼성,3.92,19,0,0,4,7,0,0,0.364,479,108.0,129,3,32,2,88,54,47,1989-10-08,선발,1.46,6.0,3.92,3.12,1.49,108.1,133.1,0.51
김서준,52460,2023,삼성,7.04,8,0,0,0,1,0,1,0.0,39,7.7,9,0,6,2,2,6,6,2003-09-01,선발,-0.09,3.0,7.04,6.05,1.96,60.1,68.2,-0.41
반즈,52528,2023,롯데,3.28,30,0,0,11,10,0,0,0.524,734,170.3,171,6,56,15,147,68,62,1995-10-01,선발,3.6,7.0,3.28,3.41,1.33,127.0,121.3,1.54
