,타자명,타수,득점,안타,타점,홈런,볼넷,삼진,타율,연도,월,일,소속팀,상대팀,경기장,matchid
0,손아섭,4,1,1,0,0,0,1,0.312,2018,04,22,롯데,SSG,홈,20180422SKLT02018
1,전준우,1,0,0,0,0,0,0,0.226,2018,04,22,롯데,SSG,홈,20180422SKLT02018
2,문규현,4,1,2,1,0,0,0,0.225,2018,04,22,롯데,SSG,홈,20180422SKLT02018
3,채태인,4,1,1,1,0,0,2,0.286,2018,04,22,롯데,SSG,홈,20180422SKLT02018
4,이대호,4,0,2,0,0,0,1,0.388,2018,04,22,롯데,SSG,홈,20180422SKLT02018
5,이병규,3,1,1,0,0,1,1,0.324,2018,04,22,롯데,SSG,홈,20180422SKLT02018
6,민병헌,4,0,1,1,0,0,0,0.308,2018,04,22,롯데,SSG,홈,20180422SKLT02018
7,한동희,4,0,0,0,0,0,3,0.238,2018,04,22,롯데,SSG,홈,20180422SKLT02018
8,신본기,3,0,1,1,0,1,0,0.342,2018,04,22,롯데,SSG,홈,20180422SKLT02018
9,김사훈,2,0,0,0,0,0,0,0.261,2018,04,22,롯데,SSG,홈,20180422SKLT02018
10,김문호,1,0,0,0,0,0,0,0.277,2018,04,22,롯데,SSG,홈,20180422SKLT02018
11,나종덕,0,0,0,0,0,0,0,0.030,2018,04,22,롯데,SSG,홈,20180422SKLT02018
12,김동한,1,0,0,0,0,0,1,0.176,2018,04,22,롯데,SSG,홈,20180422SKLT02018
13,노수광,3,2,0,0,0,1,2,0.275,2018,04,22,롯데,SSG,원정,20180422SKLT02018
14,한동민,1,0,0,0,0,0,0,0.275,2018,04,22,롯데,SSG,원정,20180422SKLT02018
15,나주환,5,2,3,7,2,1,0,0.239,2018,04,22,롯데,SSG,원정,20180422SKLT02018
16,최정,4,1,1,0,0,1,2,0.278,2018,04,22,롯데,SSG,원정,20180422SKLT02018
17,김동엽,3,1,2,1,0,2,1,0.289,2018,04,22,롯데,SSG,원정,20180422SKLT02018
18,최승준,4,0,1,0,0,1,0,0.280,2018,04,22,롯데,SSG,원정,20180422SKLT02018
19,이재원,5,2,2,1,0,0,0,0.333,2018,04,22,롯데,SSG,원정,20180422SKLT02018
20,이성우,0,0,0,0,0,0,0,0.125,2018,04,22,롯데,SSG,원정,20180422SKLT02018
21,정의윤,5,0,2,1,0,0,0,0.231,2018,04,22,롯데,SSG,원정,20180422SKLT02018
22,정진기,0,0,0,0,0,0,0,0.265,2018,04,22,롯데,SSG,원정,20180422SKLT02018
