,월,일,원정,홈,원정점수,홈점수
30,3,24,한화,키움,3,6
31,3,24,KT,KIA,5,4
32,3,24,LG,NC,2,4
33,3,24,롯데,SSG,5,6
34,3,24,삼성,두산,6,3
35,3,25,한화,키움,4,1
36,3,25,KT,KIA,1,14
37,3,25,LG,NC,1,7
38,3,25,롯데,SSG,0,5
39,3,25,삼성,두산,4,5
40,3,27,한화,NC,6,9
41,3,27,KT,SSG,5,8
42,3,27,LG,키움,4,5
43,3,27,롯데,두산,0,5
44,3,27,삼성,KIA,0,17
45,3,28,한화,NC,6,2
46,3,28,KT,SSG,8,5
47,3,28,LG,키움,9,3
48,3,28,롯데,두산,5,6
49,3,28,삼성,KIA,6,0
50,3,29,한화,NC,1,4
51,3,29,KT,SSG,7,1
52,3,29,LG,키움,4,9
53,3,29,롯데,두산,1,4
54,3,29,삼성,KIA,0,7
55,3,30,KIA,LG,4,3
56,3,30,NC,롯데,7,5
57,3,30,SSG,한화,8,4
58,3,30,키움,삼성,10,8
59,3,30,두산,KT,6,2
60,3,31,KIA,LG,4,6
61,3,31,NC,롯데,10,5
62,3,31,두산,KT,8,20
63,3,31,SSG,한화,12,1
64,3,31,키움,삼성,4,2
65,4,1,KIA,LG,5,6
66,4,1,NC,롯데,2,3
67,4,1,두산,KT,4,9
68,4,1,SSG,한화,13,1
69,4,1,키움,삼성,5,6
70,4,3,KIA,SSG,3,13
71,4,3,KT,키움,7,1
72,4,3,LG,두산,4,5
73,4,3,롯데,한화,11,17
74,4,3,삼성,NC,3,4
75,4,4,KIA,SSG,9,6
76,4,4,KT,키움,2,10
77,4,4,LG,두산,3,6
78,4,4,롯데,한화,6,7
79,4,4,삼성,NC,1,4
80,4,5,KT,키움,3,4
81,4,5,삼성,NC,4,1
82,4,6,LG,롯데,14,6
83,4,6,키움,KIA,5,11
84,4,7,한화,KT,2,10
85,4,7,LG,롯데,2,7
86,4,7,NC,두산,3,6
87,4,7,삼성,SSG,3,4
88,4,7,키움,KIA,1,5
89,4,8,한화,KT,12,8
90,4,8,LG,롯데,4,2
91,4,8,NC,두산,10,11
92,4,8,삼성,SSG,12,4
93,4,8,키움,KIA,3,4
94,4,10,KIA,한화,3,4
95,4,10,KT,NC,5,4
96,4,10,두산,삼성,8,1
97,4,10,SSG,LG,4,1
98,4,10,키움,롯데,3,4
99,4,11,KIA,한화,4,6
100,4,11,KT,NC,12,4
101,4,11,두산,삼성,7,6
102,4,11,SSG,LG,0,3
103,4,11,키움,롯데,0,12
104,4,12,KIA,한화,4,15
105,4,12,KT,NC,7,2
106,4,12,두산,삼성,9,3
107,4,12,SSG,LG,4,5
108,4,12,키움,롯데,5,3
109,4,13,KT,LG,1,3
110,4,13,롯데,KIA,8,4
111,4,13,NC,SSG,2,4
112,4,13,두산,키움,12,0
113,4,13,삼성,한화,4,2
114,4,14,KT,LG,0,8
115,4,14,NC,SSG,0,7
116,4,14,두산,키움,6,7
117,4,14,삼성,한화,2,14
118,4,15,KT,LG,8,11
119,4,15,NC,SSG,2,3
120,4,15,두산,키움,3,2
121,4,15,삼성,한화,4,7
122,4,17,한화,두산,5,2
123,4,17,LG,KIA,4,5
124,4,17,NC,키움,3,2
125,4,17,SSG,KT,9,5
126,4,17,삼성,롯데,11,6
127,4,18,한화,두산,4,5
128,4,18,LG,KIA,3,4
129,4,18,NC,키움,1,0
130,4,18,SSG,KT,8,3
131,4,18,삼성,롯데,7,9
132,4,19,한화,두산,2,5
133,4,19,LG,KIA,4,8
134,4,19,NC,키움,3,6
135,4,19,SSG,KT,6,5
136,4,19,삼성,롯데,6,0
137,4,20,KIA,두산,4,6
138,4,20,KT,삼성,5,4
139,4,20,LG,NC,9,4
140,4,20,SSG,롯데,5,10
141,4,20,키움,한화,6,1
142,4,21,KIA,두산,5,10
143,4,21,KT,삼성,1,4
144,4,21,LG,NC,6,3
145,4,21,SSG,롯데,3,4
146,4,21,키움,한화,4,3
147,4,22,KIA,두산,14,4
148,4,22,KT,삼성,6,4
149,4,22,LG,NC,5,4
150,4,22,SSG,롯데,10,4
151,4,22,키움,한화,10,1
152,4,24,롯데,KT,14,8
153,4,24,NC,삼성,2,7
154,4,24,두산,SSG,10,9
155,4,24,키움,LG,2,8
156,4,25,한화,KIA,3,2
157,4,25,롯데,KT,5,4
158,4,25,NC,삼성,9,2
159,4,25,두산,SSG,6,7
160,4,25,키움,LG,1,2
161,4,26,한화,KIA,3,1
162,4,26,롯데,KT,2,5
163,4,26,NC,삼성,5,2
164,4,26,두산,SSG,4,5
165,4,26,키움,LG,1,11
166,4,27,한화,롯데,3,5
167,4,27,KIA,KT,8,3
168,4,27,두산,NC,6,2
169,4,27,SSG,키움,8,3
170,4,27,삼성,LG,2,9
171,4,28,한화,롯데,4,2
172,4,28,KIA,KT,2,9
173,4,28,두산,NC,1,5
174,4,28,SSG,키움,6,4
175,4,28,삼성,LG,4,6
176,4,29,한화,롯데,3,4
177,4,29,KIA,KT,3,5
178,4,29,두산,NC,7,1
179,4,29,SSG,키움,5,8
180,4,29,삼성,LG,8,7
181,5,1,KIA,롯데,0,4
182,5,1,KT,두산,2,4
183,5,1,LG,한화,5,6
184,5,1,SSG,삼성,12,3
185,5,1,키움,NC,13,4
186,5,2,KIA,롯데,12,6
187,5,2,LG,한화,3,4
188,5,2,SSG,삼성,7,4
189,5,2,키움,NC,8,13
190,5,3,KIA,롯데,4,5
191,5,3,KT,두산,3,2
192,5,3,LG,한화,3,7
193,5,3,SSG,삼성,4,8
194,5,3,키움,NC,13,9
195,5,4,한화,삼성,9,6
196,5,4,롯데,SSG,4,5
197,5,4,NC,KIA,6,5
198,5,4,두산,LG,11,8
199,5,4,키움,KT,11,1
200,5,5,한화,삼성,3,8
201,5,5,롯데,SSG,8,1
202,5,5,NC,KIA,4,12
203,5,5,두산,LG,3,0
204,5,5,키움,KT,10,1
205,5,6,NC,KIA,3,11
206,5,6,두산,LG,13,5
207,5,8,한화,키움,10,9
208,5,8,롯데,LG,4,2
209,5,8,두산,KIA,0,10
210,5,8,SSG,NC,0,9
211,5,8,삼성,KT,9,4
212,5,9,한화,키움,4,1
213,5,9,롯데,LG,2,3
214,5,9,두산,KIA,13,7
215,5,9,SSG,NC,6,5
216,5,9,삼성,KT,5,4
217,5,10,한화,키움,3,1
218,5,10,롯데,LG,7,2
219,5,10,두산,KIA,5,6
220,5,10,SSG,NC,6,2
221,5,10,삼성,KT,4,5
222,5,11,KIA,삼성,3,8
223,5,11,KT,롯데,2,6
224,5,11,LG,SSG,14,9
225,5,11,NC,한화,4,2
226,5,11,키움,두산,10,5
227,5,13,KIA,삼성,8,7
228,5,13,KT,롯데,1,3
229,5,13,LG,SSG,0,10
230,5,13,NC,한화,0,4
231,5,13,키움,두산,2,1
232,5,15,KIA,키움,2,1
233,5,15,KT,한화,3,0
234,5,15,LG,삼성,2,4
235,5,15,롯데,NC,5,3
236,5,15,SSG,두산,4,6
237,5,16,KIA,키움,7,8
238,5,16,KT,한화,4,5
239,5,16,LG,삼성,8,7
240,5,16,SSG,두산,3,5
241,5,17,KIA,키움,2,8
242,5,17,KT,한화,3,5
243,5,17,LG,삼성,8,5
244,5,17,롯데,NC,7,0
245,5,18,한화,LG,4,3
246,5,18,NC,KT,6,1
247,5,18,두산,롯데,7,1
248,5,18,SSG,KIA,1,5
249,5,18,삼성,키움,5,0
250,5,19,한화,LG,2,1
251,5,19,NC,KT,2,3
252,5,19,두산,롯데,2,15
253,5,19,SSG,KIA,1,2
254,5,19,삼성,키움,3,6
255,5,20,한화,LG,2,6
256,5,20,NC,KT,3,18
257,5,20,두산,롯데,7,6
258,5,20,SSG,KIA,3,8
259,5,20,삼성,키움,4,3
260,5,22,KT,KIA,5,8
261,5,22,롯데,삼성,4,10
262,5,22,NC,LG,1,6
263,5,22,두산,한화,7,8
264,5,22,키움,SSG,10,4
265,5,23,KT,KIA,9,8
266,5,23,롯데,삼성,4,6
267,5,23,NC,LG,2,12
268,5,23,두산,한화,3,5
269,5,23,키움,SSG,2,13
270,5,24,KT,KIA,13,1
271,5,24,롯데,삼성,2,9
272,5,24,NC,LG,0,4
273,5,24,두산,한화,7,1
274,5,24,키움,SSG,1,3
275,5,25,한화,SSG,1,5
276,5,25,KIA,NC,14,2
277,5,25,LG,KT,7,13
278,5,25,롯데,키움,2,13
279,5,25,삼성,두산,6,1
280,5,26,한화,SSG,2,7
281,5,26,KIA,NC,0,5
282,5,26,LG,KT,5,0
283,5,26,롯데,키움,2,3
284,5,26,삼성,두산,1,6
285,5,27,한화,SSG,7,5
286,5,27,KIA,NC,12,1
287,5,27,LG,KT,7,8
288,5,27,롯데,키움,6,4
289,5,27,삼성,두산,2,8
290,5,29,KT,삼성,14,4
291,5,29,LG,롯데,5,3
292,5,29,NC,한화,2,7
293,5,29,키움,KIA,12,8
294,5,30,KT,삼성,3,4
295,5,30,LG,롯데,15,5
296,5,30,NC,한화,4,10
297,5,30,SSG,두산,3,11
298,5,30,키움,KIA,6,1
299,5,31,KT,삼성,0,6
300,5,31,LG,롯데,11,10
301,5,31,NC,한화,5,4
302,5,31,SSG,두산,4,6
303,5,31,키움,KIA,0,5
304,6,1,한화,롯데,13,6
305,6,1,KT,SSG,1,8
306,6,1,두산,KIA,5,3
307,6,1,삼성,NC,5,3
308,6,1,키움,LG,1,3
309,6,2,한화,롯데,3,2
310,6,2,KT,SSG,1,6
311,6,2,두산,KIA,10,0
312,6,2,삼성,NC,6,4
313,6,2,키움,LG,6,10
314,6,3,한화,롯데,0,6
315,6,3,KT,SSG,6,3
316,6,3,두산,KIA,11,12
317,6,3,삼성,NC,8,7
318,6,3,키움,LG,0,8
319,6,5,한화,LG,3,7
320,6,5,KIA,KT,11,2
321,6,5,롯데,NC,12,6
322,6,5,두산,키움,6,13
323,6,5,삼성,SSG,2,6
324,6,6,한화,LG,5,1
325,6,6,KIA,KT,5,2
326,6,6,두산,키움,7,3
327,6,6,롯데,NC,10,5
328,6,6,삼성,SSG,2,7
329,6,7,한화,LG,5,6
330,6,7,KIA,KT,2,1
331,6,7,롯데,NC,4,5
332,6,7,두산,키움,3,0
333,6,7,삼성,SSG,6,2
334,6,8,KIA,롯데,6,9
335,6,8,LG,삼성,9,5
336,6,8,NC,두산,1,6
337,6,8,SSG,한화,5,7
338,6,8,키움,KT,11,5
339,6,9,KIA,롯데,7,5
340,6,9,LG,삼성,6,0
341,6,9,NC,두산,0,3
342,6,9,SSG,한화,4,2
343,6,9,키움,KT,2,5
344,6,10,LG,삼성,3,12
345,6,10,NC,두산,3,6
346,6,10,SSG,한화,3,4
347,6,10,키움,KT,6,1
