,타자명,타수,득점,안타,타점,홈런,볼넷,삼진,타율,연도,월,일,소속팀,상대팀,경기장,matchid
0,홍창기,3,1,2,0,0,0,0,0.325,2023,07,02,LG,KIA,홈,20230702HTLG02023
1,문성주,2,1,0,0,0,1,0,0.311,2023,07,02,LG,KIA,홈,20230702HTLG02023
2,김현수,3,0,1,1,0,1,0,0.299,2023,07,02,LG,KIA,홈,20230702HTLG02023
3,오스틴,4,0,2,0,0,0,0,0.300,2023,07,02,LG,KIA,홈,20230702HTLG02023
4,손호영,0,0,0,0,0,0,0,0.333,2023,07,02,LG,KIA,홈,20230702HTLG02023
5,김민성,0,0,0,0,0,0,0,0.290,2023,07,02,LG,KIA,홈,20230702HTLG02023
6,오지환,4,0,0,0,0,0,0,0.262,2023,07,02,LG,KIA,홈,20230702HTLG02023
7,박동원,4,1,2,1,1,0,1,0.275,2023,07,02,LG,KIA,홈,20230702HTLG02023
8,문보경,3,0,0,0,0,0,0,0.294,2023,07,02,LG,KIA,홈,20230702HTLG02023
9,박해민,3,0,0,0,0,0,0,0.286,2023,07,02,LG,KIA,홈,20230702HTLG02023
10,신민재,3,0,1,0,0,0,0,0.321,2023,07,02,LG,KIA,홈,20230702HTLG02023
11,최원준,4,0,1,0,0,0,1,0.233,2023,07,02,LG,KIA,원정,20230702HTLG02023
12,김도영,4,0,1,0,0,0,1,0.333,2023,07,02,LG,KIA,원정,20230702HTLG02023
13,나성범,4,0,2,0,0,0,1,0.333,2023,07,02,LG,KIA,원정,20230702HTLG02023
14,최형우,4,0,0,0,0,0,0,0.290,2023,07,02,LG,KIA,원정,20230702HTLG02023
15,소크라테,4,0,1,0,0,0,0,0.292,2023,07,02,LG,KIA,원정,20230702HTLG02023
16,황대인,3,1,1,0,0,1,0,0.232,2023,07,02,LG,KIA,원정,20230702HTLG02023
17,류지혁,4,0,1,0,0,0,1,0.268,2023,07,02,LG,KIA,원정,20230702HTLG02023
18,신범수,2,0,0,0,0,0,0,0.170,2023,07,02,LG,KIA,원정,20230702HTLG02023
19,고종욱,1,0,1,1,0,0,0,0.299,2023,07,02,LG,KIA,원정,20230702HTLG02023
20,한준수,1,0,0,0,0,0,1,0.000,2023,07,02,LG,KIA,원정,20230702HTLG02023
21,박찬호,3,0,1,0,0,0,0,0.270,2023,07,02,LG,KIA,원정,20230702HTLG02023
22,이우성,1,0,0,0,0,0,0,0.306,2023,07,02,LG,KIA,원정,20230702HTLG02023
23,김민혁,3,1,0,1,0,1,0,0.278,2023,07,02,KT,NC,홈,20230702NCKT02023
24,안치영,2,0,0,0,0,0,2,0.281,2023,07,02,KT,NC,홈,20230702NCKT02023
25,오윤석,1,0,0,0,0,0,0,0.230,2023,07,02,KT,NC,홈,20230702NCKT02023
26,조용호,1,1,0,0,0,0,0,0.222,2023,07,02,KT,NC,홈,20230702NCKT02023
27,알드,4,1,1,2,0,0,1,0.317,2023,07,02,KT,NC,홈,20230702NCKT02023
28,박병호,3,0,1,1,0,1,0,0.262,2023,07,02,KT,NC,홈,20230702NCKT02023
29,이상호,0,1,0,0,0,0,0,0.167,2023,07,02,KT,NC,홈,20230702NCKT02023
30,황재균,3,0,1,0,0,1,0,0.331,2023,07,02,KT,NC,홈,20230702NCKT02023
31,김상수,4,0,0,0,0,0,0,0.298,2023,07,02,KT,NC,홈,20230702NCKT02023
32,박경수,3,1,2,0,0,0,1,0.217,2023,07,02,KT,NC,홈,20230702NCKT02023
33,문상철,1,0,0,0,0,0,1,0.274,2023,07,02,KT,NC,홈,20230702NCKT02023
34,장준원,0,0,0,0,0,0,0,0.130,2023,07,02,KT,NC,홈,20230702NCKT02023
35,강현우,3,0,1,0,0,0,0,0.234,2023,07,02,KT,NC,홈,20230702NCKT02023
36,장성우,0,0,0,0,0,0,0,0.284,2023,07,02,KT,NC,홈,20230702NCKT02023
37,배정대,2,0,0,0,0,1,0,0.194,2023,07,02,KT,NC,홈,20230702NCKT02023
38,손아섭,4,0,1,0,0,0,1,0.321,2023,07,02,KT,NC,원정,20230702NCKT02023
39,김수윤,1,0,1,0,0,0,0,0.333,2023,07,02,KT,NC,원정,20230702NCKT02023
40,박민우,4,0,2,0,0,0,0,0.321,2023,07,02,KT,NC,원정,20230702NCKT02023
41,김한별,1,0,0,0,0,0,0,0.176,2023,07,02,KT,NC,원정,20230702NCKT02023
42,박건우,4,0,2,0,0,0,0,0.286,2023,07,02,KT,NC,원정,20230702NCKT02023
43,최정원,0,0,0,0,0,0,0,0.000,2023,07,02,KT,NC,원정,20230702NCKT02023
44,권희동,3,0,1,0,0,0,1,0.270,2023,07,02,KT,NC,원정,20230702NCKT02023
45,천재환,0,0,0,0,0,0,0,0.276,2023,07,02,KT,NC,원정,20230702NCKT02023
46,윤형준,3,0,1,0,0,0,1,0.267,2023,07,02,KT,NC,원정,20230702NCKT02023
47,서호철,4,0,0,0,0,0,1,0.323,2023,07,02,KT,NC,원정,20230702NCKT02023
48,마틴,3,0,0,0,0,1,1,0.266,2023,07,02,KT,NC,원정,20230702NCKT02023
49,박세혁,4,0,1,0,0,0,0,0.210,2023,07,02,KT,NC,원정,20230702NCKT02023
50,안중열,0,0,0,0,0,0,0,0.176,2023,07,02,KT,NC,원정,20230702NCKT02023
51,김주원,4,0,0,0,0,0,3,0.241,2023,07,02,KT,NC,원정,20230702NCKT02023
52,고승민,4,1,2,0,0,0,1,0.244,2023,07,02,롯데,두산,홈,20230702OBLT02023
53,윤동희,3,0,1,0,0,0,0,0.315,2023,07,02,롯데,두산,홈,20230702OBLT02023
54,안치홍,4,0,0,0,0,0,1,0.277,2023,07,02,롯데,두산,홈,20230702OBLT02023
55,렉스,4,0,1,1,0,0,3,0.250,2023,07,02,롯데,두산,홈,20230702OBLT02023
56,전준우,4,1,1,0,0,0,0,0.276,2023,07,02,롯데,두산,홈,20230702OBLT02023
57,박승욱,3,0,0,0,0,0,1,0.281,2023,07,02,롯데,두산,홈,20230702OBLT02023
58,한동희,3,0,0,0,0,0,2,0.224,2023,07,02,롯데,두산,홈,20230702OBLT02023
59,황성빈,2,0,1,1,0,0,0,0.226,2023,07,02,롯데,두산,홈,20230702OBLT02023
60,김민석,1,0,0,0,0,0,0,0.253,2023,07,02,롯데,두산,홈,20230702OBLT02023
61,손성빈,2,0,1,0,0,0,0,0.083,2023,07,02,롯데,두산,홈,20230702OBLT02023
62,유강남,1,0,0,0,0,0,0,0.225,2023,07,02,롯데,두산,홈,20230702OBLT02023
63,정수빈,4,0,0,0,0,0,1,0.257,2023,07,02,롯데,두산,원정,20230702OBLT02023
64,허경민,5,0,1,2,0,0,0,0.267,2023,07,02,롯데,두산,원정,20230702OBLT02023
65,김재환,4,0,1,0,0,1,1,0.253,2023,07,02,롯데,두산,원정,20230702OBLT02023
66,양의지,3,0,1,0,0,1,0,0.322,2023,07,02,롯데,두산,원정,20230702OBLT02023
67,조수행,0,1,0,0,0,1,0,0.165,2023,07,02,롯데,두산,원정,20230702OBLT02023
68,양석환,5,1,1,2,1,0,0,0.283,2023,07,02,롯데,두산,원정,20230702OBLT02023
69,강승호,4,0,1,0,0,0,2,0.250,2023,07,02,롯데,두산,원정,20230702OBLT02023
70,로하스,2,1,1,0,0,2,0,0.204,2023,07,02,롯데,두산,원정,20230702OBLT02023
71,양찬열,3,0,0,0,0,1,1,0.239,2023,07,02,롯데,두산,원정,20230702OBLT02023
72,장승현,0,0,0,0,0,0,0,0.185,2023,07,02,롯데,두산,원정,20230702OBLT02023
73,이유찬,2,1,1,0,0,2,1,0.246,2023,07,02,롯데,두산,원정,20230702OBLT02023
74,이형종,2,2,2,1,1,3,0,0.236,2023,07,02,키움,SSG,홈,20230702SKWO02023
75,김혜성,5,1,2,0,0,0,0,0.325,2023,07,02,키움,SSG,홈,20230702SKWO02023
76,이정후,5,1,1,1,0,0,1,0.308,2023,07,02,키움,SSG,홈,20230702SKWO02023
77,이원석,5,0,1,2,0,0,0,0.270,2023,07,02,키움,SSG,홈,20230702SKWO02023
78,송성문,3,0,0,0,0,1,0,0.250,2023,07,02,키움,SSG,홈,20230702SKWO02023
79,임지열,3,0,1,0,0,1,0,0.256,2023,07,02,키움,SSG,홈,20230702SKWO02023
80,이지영,2,0,1,0,0,0,1,0.278,2023,07,02,키움,SSG,홈,20230702SKWO02023
81,김웅빈,1,0,0,0,0,0,0,0.130,2023,07,02,키움,SSG,홈,20230702SKWO02023
82,김동헌,1,0,0,0,0,0,0,0.237,2023,07,02,키움,SSG,홈,20230702SKWO02023
83,김수환,1,0,0,0,0,1,0,0.167,2023,07,02,키움,SSG,홈,20230702SKWO02023
84,김준완,2,0,0,0,0,0,0,0.220,2023,07,02,키움,SSG,홈,20230702SKWO02023
85,김주형,3,1,1,0,0,0,2,0.077,2023,07,02,키움,SSG,홈,20230702SKWO02023
86,임병욱,1,0,0,0,0,0,1,0.246,2023,07,02,키움,SSG,홈,20230702SKWO02023
87,신준우,0,0,0,0,0,0,0,0.063,2023,07,02,키움,SSG,홈,20230702SKWO02023
88,추신수,3,1,2,1,0,3,1,0.244,2023,07,02,키움,SSG,원정,20230702SKWO02023
89,최주환,5,1,1,0,0,0,1,0.249,2023,07,02,키움,SSG,원정,20230702SKWO02023
90,안상현,1,0,0,0,0,0,0,0.286,2023,07,02,키움,SSG,원정,20230702SKWO02023
91,최정,3,0,0,0,0,2,0,0.312,2023,07,02,키움,SSG,원정,20230702SKWO02023
92,에레디아,5,0,1,2,0,0,3,0.332,2023,07,02,키움,SSG,원정,20230702SKWO02023
93,박성한,5,1,2,0,0,0,0,0.270,2023,07,02,키움,SSG,원정,20230702SKWO02023
94,최지훈,5,3,3,0,0,0,1,0.279,2023,07,02,키움,SSG,원정,20230702SKWO02023
95,한유섬,2,2,1,1,0,2,0,0.189,2023,07,02,키움,SSG,원정,20230702SKWO02023
96,오태곤,1,1,0,0,0,0,1,0.222,2023,07,02,키움,SSG,원정,20230702SKWO02023
97,강진성,3,0,2,3,0,1,0,0.293,2023,07,02,키움,SSG,원정,20230702SKWO02023
98,이재원,1,0,0,1,0,1,0,0.086,2023,07,02,키움,SSG,원정,20230702SKWO02023
99,김민식,1,0,0,1,0,0,0,0.240,2023,07,02,키움,SSG,원정,20230702SKWO02023
100,김준완,4,0,2,2,0,0,1,0.230,2023,07,04,키움,NC,홈,20230704NCWO02023
101,김혜성,3,2,2,1,0,2,1,0.328,2023,07,04,키움,NC,홈,20230704NCWO02023
102,이정후,4,1,1,1,0,1,0,0.307,2023,07,04,키움,NC,홈,20230704NCWO02023
103,이원석,2,0,0,0,0,0,0,0.268,2023,07,04,키움,NC,홈,20230704NCWO02023
104,박주홍,1,0,0,0,0,0,0,0.171,2023,07,04,키움,NC,홈,20230704NCWO02023
105,김수환,1,0,1,2,0,0,0,0.194,2023,07,04,키움,NC,홈,20230704NCWO02023
106,김웅빈,3,1,1,0,0,0,1,0.154,2023,07,04,키움,NC,홈,20230704NCWO02023
107,이형종,2,0,0,0,0,0,1,0.234,2023,07,04,키움,NC,홈,20230704NCWO02023
108,송성문,4,0,0,0,0,1,1,0.242,2023,07,04,키움,NC,홈,20230704NCWO02023
109,임지열,5,1,0,0,0,0,1,0.246,2023,07,04,키움,NC,홈,20230704NCWO02023
110,이지영,3,3,2,0,0,1,0,0.285,2023,07,04,키움,NC,홈,20230704NCWO02023
111,김주형,2,0,1,2,0,1,0,0.133,2023,07,04,키움,NC,홈,20230704NCWO02023
112,손아섭,5,0,1,0,0,0,2,0.319,2023,07,04,키움,NC,원정,20230704NCWO02023
113,서호철,4,1,2,0,0,1,2,0.326,2023,07,04,키움,NC,원정,20230704NCWO02023
114,박민우,5,1,2,0,0,0,1,0.323,2023,07,04,키움,NC,원정,20230704NCWO02023
115,권희동,3,0,0,1,0,1,0,0.261,2023,07,04,키움,NC,원정,20230704NCWO02023
116,마틴,5,0,1,1,0,0,2,0.264,2023,07,04,키움,NC,원정,20230704NCWO02023
117,윤형준,4,2,3,0,0,1,0,0.287,2023,07,04,키움,NC,원정,20230704NCWO02023
118,천재환,4,0,2,1,0,0,1,0.282,2023,07,04,키움,NC,원정,20230704NCWO02023
119,박세혁,3,0,1,0,0,1,1,0.212,2023,07,04,키움,NC,원정,20230704NCWO02023
120,김주원,3,0,0,1,0,0,2,0.238,2023,07,04,키움,NC,원정,20230704NCWO02023
121,김현준,5,1,3,0,0,0,1,0.306,2023,07,04,삼성,두산,홈,20230704OBSS02023
122,강한울,3,0,0,0,0,1,2,0.183,2023,07,04,삼성,두산,홈,20230704OBSS02023
123,피렐라,5,0,0,0,0,0,3,0.272,2023,07,04,삼성,두산,홈,20230704OBSS02023
124,강민호,4,1,1,2,1,1,1,0.312,2023,07,04,삼성,두산,홈,20230704OBSS02023
125,김성윤,0,0,0,0,0,0,0,0.167,2023,07,04,삼성,두산,홈,20230704OBSS02023
