,월,일,원정,홈,원정점수,홈점수
0,5,5,한화,SSG,3,0
1,5,5,롯데,KT,7,2
2,5,5,NC,삼성,4,0
3,5,5,두산,LG,2,8
4,5,5,키움,KIA,11,2
5,5,6,한화,SSG,2,5
6,5,6,롯데,KT,9,4
7,5,6,NC,삼성,4,3
8,5,6,두산,LG,5,2
9,5,6,키움,KIA,3,2
10,5,7,한화,SSG,8,4
11,5,7,롯데,KT,7,3
12,5,7,NC,삼성,8,2
13,5,7,두산,LG,9,3
14,5,7,키움,KIA,5,8
15,5,8,한화,키움,3,5
16,5,8,KIA,삼성,0,5
17,5,8,KT,두산,12,3
18,5,8,LG,NC,5,13
19,5,8,SSG,롯데,8,9
20,5,9,한화,키움,3,5
21,5,9,KIA,삼성,2,14
22,5,10,한화,키움,3,6
23,5,10,KIA,삼성,12,3
24,5,10,KT,두산,12,13
25,5,10,LG,NC,10,8
26,5,10,SSG,롯데,0,4
27,5,12,KIA,한화,2,1
28,5,12,KT,NC,6,7
29,5,12,두산,롯데,11,6
30,5,12,SSG,LG,5,9
31,5,12,삼성,키움,2,3
32,5,13,KIA,한화,4,3
33,5,13,KT,NC,4,5
34,5,13,두산,롯데,9,10
35,5,13,SSG,LG,2,14
36,5,13,삼성,키움,5,0
37,5,14,KIA,한화,1,4
38,5,14,KT,NC,0,1
39,5,14,두산,롯데,7,4
40,5,14,SSG,LG,2,3
41,5,14,삼성,키움,8,5
42,5,15,롯데,한화,1,2
43,5,15,NC,SSG,6,2
44,5,15,두산,KIA,13,4
45,5,15,삼성,KT,6,14
46,5,16,롯데,한화,5,1
47,5,16,키움,LG,1,3
48,5,16,NC,SSG,2,1
49,5,16,두산,KIA,4,13
50,5,16,삼성,KT,4,10
51,5,16,키움,LG,3,5
52,5,17,롯데,한화,4,5
53,5,17,NC,SSG,11,5
54,5,17,두산,KIA,6,4
55,5,17,삼성,KT,2,9
56,5,17,키움,LG,9,4
57,5,19,한화,KT,11,13
58,5,19,LG,삼성,10,6
59,5,19,롯데,KIA,2,9
60,5,19,NC,두산,5,4
61,5,19,SSG,키움,6,11
62,5,20,한화,KT,1,8
63,5,20,LG,삼성,1,3
64,5,20,롯데,KIA,0,6
65,5,20,NC,두산,1,2
66,5,20,SSG,키움,5,3
67,5,21,한화,KT,9,4
68,5,21,LG,삼성,2,0
69,5,21,롯데,KIA,1,6
70,5,21,NC,두산,12,6
71,5,21,SSG,키움,8,9
72,5,22,한화,NC,5,3
73,5,22,KIA,SSG,2,1
74,5,22,KT,LG,5,6
75,5,22,두산,삼성,12,7
76,5,22,키움,롯데,7,9
77,5,23,KT,LG,6,2
78,5,23,한화,NC,0,3
79,5,23,KIA,SSG,8,3
80,5,23,두산,삼성,10,6
81,5,23,키움,롯데,12,4
82,5,24,한화,NC,5,10
83,5,24,KIA,SSG,3,4
84,5,24,KT,LG,7,9
85,5,24,두산,삼성,0,13
86,5,24,키움,롯데,0,2
87,5,26,KIA,KT,4,1
88,5,26,LG,한화,3,0
89,5,26,SSG,두산,4,6
90,5,26,삼성,롯데,0,1
91,5,26,키움,NC,2,7
92,5,27,KIA,KT,0,5
93,5,27,LG,한화,15,4
94,5,27,SSG,두산,2,4
95,5,27,삼성,롯데,11,1
96,5,27,키움,NC,3,10
97,5,28,KIA,KT,5,6
98,5,28,LG,한화,3,0
99,5,28,SSG,두산,6,1
100,5,28,삼성,롯데,3,1
101,5,28,키움,NC,6,9
102,5,29,한화,SSG,6,8
103,5,29,KT,키움,1,5
104,5,29,LG,KIA,6,2
105,5,29,롯데,두산,2,4
106,5,29,NC,삼성,4,5
107,5,30,LG,KIA,6,10
108,5,30,한화,SSG,3,9
109,5,30,KT,키움,3,14
110,5,30,롯데,두산,4,5
111,5,30,NC,삼성,1,9
112,5,31,한화,SSG,4,6
113,5,31,KT,키움,12,8
114,5,31,LG,KIA,13,5
115,5,31,롯데,두산,8,3
116,5,31,NC,삼성,18,7
117,6,2,롯데,KIA,2,7
118,6,2,두산,KT,11,8
119,6,2,SSG,NC,8,2
120,6,2,삼성,LG,2,0
121,6,2,키움,한화,15,3
122,6,3,롯데,KIA,2,11
123,6,3,두산,KT,2,7
124,6,3,SSG,NC,6,8
125,6,3,삼성,LG,12,6
126,6,3,키움,한화,6,2
127,6,4,롯데,KIA,3,7
128,6,4,두산,KT,14,8
129,6,4,SSG,NC,0,10
130,6,4,삼성,LG,0,11
