,투수명,이닝,피안타,실점,자책,4사구,삼진,피홈런,타자,타수,투구수,경기,승리,패전,세이브,평균자책,연도,월,일,소속팀,상대팀,경기장,matchid
0,이정용,3,3,0,0,1,1,0,14,13,59,25.0,3.0,0.0,3.0,4.85,2023,07,02,LG,KIA,홈,20230702HTLG02023
1,정우영,1,0,0,0,0,0,0,3,3,15,39.0,1.0,4.0,0.0,4.24,2023,07,02,LG,KIA,홈,20230702HTLG02023
2,이우찬,2,2,0,0,0,0,0,6,6,21,16.0,1.0,1.0,0.0,2.89,2023,07,02,LG,KIA,홈,20230702HTLG02023
3,최동환,0 ⅓,2,1,1,0,1,0,3,3,12,20.0,0.0,0.0,0.0,2.75,2023,07,02,LG,KIA,홈,20230702HTLG02023
4,함덕주,1 ⅔,2,0,0,0,2,0,7,7,23,39.0,3.0,0.0,3.0,1.15,2023,07,02,LG,KIA,홈,20230702HTLG02023
5,고우석,1,0,0,0,0,1,0,3,3,12,17.0,2.0,3.0,6.0,3.31,2023,07,02,LG,KIA,홈,20230702HTLG02023
6,앤더슨,6,7,3,2,3,0,1,26,22,104,14.0,4.0,7.0,0.0,3.76,2023,07,02,LG,KIA,원정,20230702HTLG02023
7,정해영,1,0,0,0,0,0,0,3,3,13,21.0,3.0,1.0,6.0,3.26,2023,07,02,LG,KIA,원정,20230702HTLG02023
8,임기영,1,1,0,0,0,1,0,4,4,15,30.0,1.0,1.0,2.0,2.44,2023,07,02,LG,KIA,원정,20230702HTLG02023
9,고영표,6 ⅔,7,0,0,1,7,0,29,28,98,15.0,7.0,4.0,0.0,2.91,2023,07,02,KT,NC,홈,20230702NCKT02023
10,박영현,1 ⅓,1,0,0,1,1,0,6,4,20,36.0,2.0,2.0,1.0,1.98,2023,07,02,KT,NC,홈,20230702NCKT02023
11,손동현,1,1,0,0,0,0,0,3,3,3,32.0,3.0,3.0,1.0,4.11,2023,07,02,KT,NC,홈,20230702NCKT02023
12,신민혁,4 ⅓,4,1,1,2,3,0,18,16,83,12.0,3.0,3.0,0.0,4.04,2023,07,02,KT,NC,원정,20230702NCKT02023
13,김영규,1 ⅔,0,0,0,1,0,0,6,5,25,31.0,0.0,3.0,0.0,3.31,2023,07,02,KT,NC,원정,20230702NCKT02023
14,류진욱,1,0,0,0,0,1,0,3,3,11,29.0,0.0,3.0,0.0,1.93,2023,07,02,KT,NC,원정,20230702NCKT02023
15,임정호,0,0,2,1,1,0,0,2,1,7,33.0,0.0,1.0,0.0,3.24,2023,07,02,KT,NC,원정,20230702NCKT02023
16,배민서,1,2,2,2,0,1,0,5,5,17,4.0,0.0,0.0,0.0,3.86,2023,07,02,KT,NC,원정,20230702NCKT02023
17,스트레일리,5,5,2,2,3,3,0,22,19,81,15.0,3.0,5.0,0.0,4.13,2023,07,02,롯데,두산,홈,20230702OBLT02023
18,김상수,1,0,0,0,2,2,0,5,3,29,36.0,3.0,1.0,1.0,4.61,2023,07,02,롯데,두산,홈,20230702OBLT02023
19,김진욱,1,0,0,0,0,0,0,3,3,10,33.0,2.0,1.0,0.0,3.76,2023,07,02,롯데,두산,홈,20230702OBLT02023
20,구승민,1,2,2,2,0,1,1,5,5,17,36.0,0.0,4.0,3.0,4.32,2023,07,02,롯데,두산,홈,20230702OBLT02023
21,정성종,1,0,0,0,3,0,0,6,2,15,8.0,0.0,0.0,0.0,2.13,2023,07,02,롯데,두산,홈,20230702OBLT02023
22,알칸타라,6,7,2,2,0,5,0,23,22,101,16.0,8.0,3.0,0.0,1.97,2023,07,02,롯데,두산,원정,20230702OBLT02023
23,김명신,1 ⅔,0,0,0,0,1,0,5,5,19,30.0,2.0,2.0,0.0,3.32,2023,07,02,롯데,두산,원정,20230702OBLT02023
24,박치국,0 ⅔,0,0,0,0,1,0,2,2,6,37.0,3.0,0.0,2.0,3.16,2023,07,02,롯데,두산,원정,20230702OBLT02023
25,정철원,0 ⅔,0,0,0,0,1,0,2,2,7,35.0,4.0,2.0,2.0,4.21,2023,07,02,롯데,두산,원정,20230702OBLT02023
26,최원태,5,4,2,2,5,5,0,23,17,92,15.0,6.0,3.0,0.0,2.76,2023,07,02,키움,SSG,홈,20230702SKWO02023
27,양현,1,1,1,1,2,0,0,6,4,26,33.0,0.0,3.0,0.0,3.94,2023,07,02,키움,SSG,홈,20230702SKWO02023
28,김재웅,1,0,0,0,0,0,0,3,3,8,35.0,1.0,2.0,5.0,3.48,2023,07,02,키움,SSG,홈,20230702SKWO02023
